allocation_of,seed,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,trained_awbir,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue,recal_awbir
magnitude,401,0.00025,0.045336517503458997,0.5966372351093168,0.5161579434339614,0.17689596610726613,0.1546911427232276,0.1509851901900988,0.06671158648366195,0.00025,0.04901347586285324,0.5934391547170121,0.5139815348057082,0.17993097277259365,0.15781075948211318,0.15338288197805008,0.06232974530137431
magnitude,503,0.0,0.04655901139098956,0.5879569307692832,0.5309307278287163,0.17775789339128212,0.15560800569748542,0.15156772155366044,0.06817387878347302,0.0,0.04842592066109437,0.5853022225784065,0.5270311990276766,0.1805408958930626,0.15822696201067668,0.15390332535928855,0.06866787418389633
magnitude,613,0.00025,0.052197645988514244,0.5899327635680306,0.5148332041673745,0.18441774255400742,0.1620610470955607,0.15698124577710415,0.08542804767202619,0.00025,0.051818578116411745,0.5917925608263492,0.5163384268420917,0.18233049067767207,0.16026079996104284,0.15524278227205493,0.08240829820789922
magnitude,719,0.00025,0.058006861128485056,0.6161382255023089,0.5169180458981159,0.1820291813516919,0.16100342092608486,0.15545004656598674,0.06525869984435577,0.00025,0.05078561816493243,0.6323509868236893,0.5461251457965642,0.17360165080988293,0.15282089443216887,0.14803601102974745,0.052129894281842726
magnitude,823,0.0015,0.04672011523663312,0.5744619891919135,0.5115156367463387,0.17467358156352147,0.15304991995519926,0.14944303427621847,0.09527069268046609,0.0015,0.05106044237220674,0.5720753119779398,0.5080119025892638,0.1790891327769763,0.15742651400327484,0.15302678913825535,0.08685908856661191
magnitude,907,0.00025,0.04831220029946362,0.6103767814722822,0.5302346278623875,0.17910374171399351,0.1570087897104387,0.15296196198024142,0.06839010552235979,0.0005,0.05446257652432668,0.611570170328253,0.5303926695445443,0.18370738299154507,0.1618304998082577,0.15659502200471137,0.059678887260293245
magnitude,1013,0.00175,0.04689069577907924,0.6808351806006023,0.5833275723634318,0.1665747521046,0.14632600451659636,0.14226182867369114,0.04336642532106588,0.00025,0.047345577225602245,0.671111601563724,0.5740734450164257,0.16916966454228374,0.14857517211153923,0.14441847300085828,0.049933554691253226
magnitude,1109,0.00625,0.053334849604821745,0.5640847120718849,0.5045673730282353,0.19226639396650902,0.1687294181382127,0.16332517667683205,0.08007237765565207,0.0065,0.04921248649570706,0.5792499778925302,0.5081969801033787,0.1830682419970417,0.1604000413919882,0.15616405836270336,0.07240812796002681
magnitude,1201,0.00075,0.052216599382119366,0.5810038900350959,0.51362624059308,0.1817716988367634,0.1598544889002514,0.1549752561129271,0.09313052612897273,0.00075,0.05286101476469362,0.5804436930657118,0.5185586404741824,0.18302258906886287,0.1610003773975396,0.1558600098610325,0.08525159305072233
magnitude,1303,0.001,0.04847330414510718,0.60774793842737,0.5144315765783781,0.17670239769178794,0.15502669174534187,0.15125728164204452,0.07096497881503697,0.001,0.04816057315062262,0.6041558308339803,0.523204272145175,0.17677909461112834,0.15504038762379552,0.1510007121856796,0.06814067364734085
