source_index,target_index,source_class,target_class,source_family,target_family,transition_type,support,confusion_rate,mean_margin,margin_std,vulnerability_probability,operational_cost,stability,raw_weight,normalized_weight,cost_profile
16,32,DNS_Spoofing,VulnerabilityScan,spoofing_mitm,reconnaissance,cross_family_attack,26131,0.03382955110787953,5.604595008467265,3.818892726984372,0.019821594252129544,6.0,1.0,0.1609534360800272,0.001594784586555012,miss_sensitive
17,1,DictionaryBruteForce,BenignTraffic,brute_force,benign,attack_to_benign,1959,0.1260847371107708,-0.9972747226586568,2.1851722986585513,0.21357684113257328,12.0,1.0,2.0379694694600645,0.020192935155162652,miss_sensitive
17,16,DictionaryBruteForce,DNS_Spoofing,brute_force,spoofing_mitm,cross_family_attack,1959,0.34201123021949975,-0.47416949375604356,5.049708256906334,0.1265821431813671,6.0,1.0,1.4057801202026003,0.013928975499907079,miss_sensitive
17,27,DictionaryBruteForce,Recon-OSScan,brute_force,reconnaissance,cross_family_attack,1959,0.11944869831546708,-1.0212172978748284,1.9074284974071953,0.21875212834339008,6.0,1.0,1.0146024799765714,0.01005304661990943,miss_sensitive
18,5,DoS-HTTP_Flood,DDoS-HTTP_Flood,dos,ddos,cross_family_attack,10723,0.26643663153968106,0.7602999427962145,1.2068361529868374,0.9958673527399736,6.0,1.0,3.786911952838964,0.03752208688496549,miss_sensitive
18,11,DoS-HTTP_Flood,DDoS-SlowLoris,dos,ddos,cross_family_attack,10723,0.010258323230439242,6.561062884888831,2.3435771449303147,0.003012743503666691,6.0,1.0,0.0398132002023178,0.00039448352001951605,miss_sensitive
18,7,DoS-HTTP_Flood,DDoS-ICMP_Fragmentation,dos,ddos,cross_family_attack,10723,0.0020516646460878485,9.050129919502147,2.6779920404199484,0.00025001961405672434,6.0,1.0,0.0069050527804337195,6.841774870906914e-05,miss_sensitive
19,10,DoS-SYN_Flood,DDoS-SYN_Flood,dos,ddos,cross_family_attack,21673,0.046186499330964796,0.9718774797874692,0.7734630086472718,0.7335532115687085,6.0,1.0,2.3392191326990197,0.02317782526586213,miss_sensitive
19,12,DoS-SYN_Flood,DDoS-SynonymousIP_Flood,dos,ddos,cross_family_attack,21673,0.07811562773958382,1.998097126517961,2.6641639240357606,0.26287548866958366,6.0,1.0,1.0229733492275024,0.010135988205889705,miss_sensitive
19,11,DoS-SYN_Flood,DDoS-SlowLoris,dos,ddos,cross_family_attack,21673,0.0018456143588797122,11.945285056904662,2.2155130749266077,1.2581756168380372e-05,6.0,1.0,0.005574588345144278,5.523502812829047e-05,miss_sensitive
20,13,DoS-TCP_Flood,DDoS-TCP_Flood,dos,ddos,cross_family_attack,18572,0.18350204609088952,0.35595860888672204,0.5374598426119813,0.9988821785548435,6.0,1.0,3.547152673937199,0.03514646563829658,miss_sensitive
