module_path,channel_index,group_id
conv.10,93,conv.10:out:93
conv.10,105,conv.10:out:105
conv.10,206,conv.10:out:206
conv.10,23,conv.10:out:23
conv.10,202,conv.10:out:202
conv.10,116,conv.10:out:116
conv.10,228,conv.10:out:228
conv.10,67,conv.10:out:67
conv.10,227,conv.10:out:227
conv.10,250,conv.10:out:250
conv.10,55,conv.10:out:55
conv.10,28,conv.10:out:28
conv.7,120,conv.7:out:120
conv.10,142,conv.10:out:142
conv.10,139,conv.10:out:139
conv.10,198,conv.10:out:198
conv.10,239,conv.10:out:239
conv.10,209,conv.10:out:209
conv.10,159,conv.10:out:159
conv.10,141,conv.10:out:141
conv.10,219,conv.10:out:219
conv.10,199,conv.10:out:199
conv.10,84,conv.10:out:84
conv.10,89,conv.10:out:89
conv.10,195,conv.10:out:195
conv.10,131,conv.10:out:131
conv.10,236,conv.10:out:236
conv.10,123,conv.10:out:123
conv.7,86,conv.7:out:86
conv.10,213,conv.10:out:213
conv.10,110,conv.10:out:110
conv.10,200,conv.10:out:200
conv.10,230,conv.10:out:230
conv.10,5,conv.10:out:5
conv.10,162,conv.10:out:162
conv.10,235,conv.10:out:235
conv.10,52,conv.10:out:52
conv.10,53,conv.10:out:53
conv.10,3,conv.10:out:3
conv.10,240,conv.10:out:240
conv.10,156,conv.10:out:156
conv.10,129,conv.10:out:129
conv.10,18,conv.10:out:18
conv.10,9,conv.10:out:9
conv.7,126,conv.7:out:126
conv.10,157,conv.10:out:157
conv.10,22,conv.10:out:22
conv.10,15,conv.10:out:15
conv.10,140,conv.10:out:140
conv.10,14,conv.10:out:14
conv.3,109,conv.3:out:109
conv.10,98,conv.10:out:98
conv.10,153,conv.10:out:153
conv.10,113,conv.10:out:113
conv.10,215,conv.10:out:215
conv.10,31,conv.10:out:31
conv.10,210,conv.10:out:210
conv.10,176,conv.10:out:176
conv.10,237,conv.10:out:237
conv.10,166,conv.10:out:166
conv.10,150,conv.10:out:150
conv.7,119,conv.7:out:119
conv.10,63,conv.10:out:63
conv.10,167,conv.10:out:167
conv.10,120,conv.10:out:120
