architecture,method,regime,seed,raw_b2a,raw_a2b,raw_family_f1,raw_fine_f1,raw_awbir,raw_ece,raw_hsr_miss,raw_hsr_balanced,raw_hsr_fatigue,raw_teacher_correction_family,raw_teacher_degradation_family,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_ece,trained_hsr_miss,trained_hsr_balanced,trained_hsr_fatigue,trained_teacher_correction_family,trained_teacher_degradation_family,batch_b2a,batch_a2b,batch_family_f1,batch_fine_f1,batch_awbir,batch_ece,batch_hsr_miss,batch_hsr_balanced,batch_hsr_fatigue,batch_teacher_correction_family,batch_teacher_degradation_family,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_ece,recal_hsr_miss,recal_hsr_balanced,recal_hsr_fatigue,recal_teacher_correction_family,recal_teacher_degradation_family,final_is_collapse,collapse_epochs
shallow,taylor,minimal_ce,101,0.0945,0.038164002062919034,0.5970008703348264,0.39282624230886276,0.3346305025775901,0.3043743886694673,0.2347702536057048,0.2764066269905099,0.23485121441209586,0.07878397941129162,0.2903168730899148,0.0825,0.01942582086986419,0.8133617303747823,0.7134568972881069,0.07811915838141757,0.052608601713395806,0.11098600611227281,0.13114042142512466,0.1127971690525977,0.064790091684092,0.057873572462602545,0.2035,0.019924359635550972,0.6541207486990084,0.5555369698973593,0.24694258094136493,0.04827880794692254,0.16315479062784838,0.1959852018658517,0.17078816149268136,0.08489625221167765,0.184976676853788,0.06425,0.023912669761045214,0.8070419574426883,0.7102685148267431,0.08627768920430923,0.0530107130136858,0.11427403356388398,0.1338941611709828,0.11437831751648705,0.06750844458742158,0.06224867299340518,False,0
shallow,taylor,minimal_ce,211,0.0945,0.038164002062919034,0.5970008703348264,0.39282624230886276,0.3346305025775901,0.3043743886694673,0.2347702536057048,0.2764066269905099,0.23485121441209586,0.07878397941129162,0.2903168730899148,0.05925,0.024634691421695033,0.8077162199842828,0.7118935288718307,0.0680025217193012,0.0323519808395185,0.11377540078279985,0.13306417886440405,0.1134743445391668,0.0289207013028792,0.02211677658034422,0.181,0.023379749011517965,0.6380735835938478,0.5397360495482366,0.2722421496910275,0.057655315835340684,0.17167712187014103,0.20513109216663988,0.1775872607366897,0.08627955605597555,0.19935660286311727,0.062,0.023431321987278667,0.8079522921180121,0.711187417333859,0.07452532224570037,0.047389183307747045,0.11565063535467267,0.13559272961235322,0.1157053241113077,0.044587421585973945,0.0427698246742802,False,0
shallow,taylor,minimal_ce,307,0.0945,0.038164002062919034,0.5970008703348264,0.39282624230886276,0.3346305025775901,0.3043743886694673,0.2347702536057048,0.2764066269905099,0.23485121441209586,0.07878397941129162,0.2903168730899148,0.0695,0.022846828261990717,0.8118126894730239,0.7112310145070297,0.092101230299021,0.04506134533407748,0.11298589887941667,0.1326491877111147,0.11351294836737977,0.06741193501688918,0.06104230336175004,0.11975,0.03051401065841499,0.6606753998050809,0.5564681854264139,0.24618944929262093,0.049091513953659065,0.1707080049327114,0.2014508605436706,0.17228727682161815,0.08706771754865691,0.18996300466462923,0.069,0.022915592229671652,0.8103404188425927,0.7119802969832376,0.09213226964889495,0.0333042035898993,0.11281968795238861,0.13242721569889013,0.11331349525494612,0.06892391828856362,0.062103908637606564,False,0
shallow,taylor,minimal_ce,401,0.0945,0.038164002062919034,0.5970008703348264,0.39282624230886276,0.3346305025775901,0.3043743886694673,0.2347702536057048,0.2764066269905099,0.23485121441209586,0.07878397941129162,0.2903168730899148,0.0605,0.024634691421695033,0.7940563819077008,0.7036480499586752,0.0927835317433855,0.02276141665984063,0.11978446195914427,0.14029917966865046,0.11953997104712884,0.05798616696155702,0.06327810841241756,0.12175,0.03518996046071858,0.6509665060082755,0.5470903814199334,0.25842662582244813,0.06567344429733576,0.172726663449681,0.20303683448608653,0.17359819848801672,0.08956088145407753,0.1914749879363037,0.0655,0.023740759841842873,0.7929854786084962,0.6974599669434054,0.11041148959408385,0.021626236793938835,0.11994799206476864,0.14075920862152164,0.12011259449895448,0.07635515521955927,0.08296606080102943,False,0
shallow,taylor,minimal_ce,503,0.0945,0.038164002062919034,0.5970008703348264,0.39282624230886276,0.3346305025775901,0.3043743886694673,0.2347702536057048,0.2764066269905099,0.23485121441209586,0.07878397941129162,0.2903168730899148,0.05675,0.025494241017706722,0.7910043035229731,0.6812735261402658,0.1393414777774929,0.04035947641792298,0.12702670098118063,0.1487566350329741,0.12645649026861833,0.045504262506031845,0.06419494933247546,0.1725,0.0210073921265257,0.6545734772815688,0.5715685348184198,0.21329925107513079,0.04668711025652326,0.15778242453487748,0.18873733311886762,0.16381856200739905,0.07157793147820492,0.15788965739102462,0.0595,0.025184803163142512,0.7979539406757219,0.6941288727557818,0.11139407095595417,0.043609818501228075,0.12269047236073133,0.14366414669454722,0.12231622969277786,0.04198166318159884,0.0523242721569889,False,0
shallow,fisher,minimal_ce,101,0.13225,0.022915592229671652,0.6981417682453618,0.5395889790066178,0.23807105679552257,0.09521657786870756,0.1627674119350169,0.19358533054527907,0.16685861347917003,0.04486086536914911,0.13451825639375906,0.07675,0.021849750730617158,0.8006540413068871,0.702511622342416,0.07124687282405218,0.024625891167774094,0.11802182188622594,0.13901881936625382,0.11910406948689078,0.03514556860221972,0.03982628277304166,0.22525,0.014010658414990544,0.6345980591673405,0.5398872532941755,0.2626715566812962,0.056288466332692695,0.1662658838668168,0.2012449734598681,0.17608171143638413,0.08311082515682805,0.19538362554286634,0.0655,0.023809523809523808,0.8007998326333019,0.705026932980973,0.0728404857924644,0.05285167279834377,0.11722427751863172,0.13747788322341964,0.11741032652404697,0.044040534019623614,0.044796525655460835,False,0
shallow,fisher,minimal_ce,211,0.13225,0.022915592229671652,0.6981417682453618,0.5395889790066178,0.23807105679552257,0.09521657786870756,0.1627674119350169,0.19358533054527907,0.16685861347917003,0.04486086536914911,0.13451825639375906,0.06725,0.022846828261990717,0.8021737111123928,0.6969710996696246,0.09374617523983032,0.04631514750417995,0.11883679159294408,0.13962682966060802,0.1192729612353225,0.03741354350973138,0.04249638089110504,0.2975,0.009042461750042977,0.6209400363182674,0.5053283597147281,0.2128497110065372,0.05892436012125337,0.16658088038174898,0.2039472414347756,0.18076081711436384,0.0875824352581631,0.20797812449734598,0.06775,0.022795255286230016,0.8067352884510285,0.7058286508448303,0.08055793302543861,0.02933804524083668,0.11624711811699105,0.13653852340357084,0.11672671706610907,0.04614765964291459,0.04601898021553804,False,0
shallow,fisher,minimal_ce,307,0.13225,0.022915592229671652,0.6981417682453618,0.5395889790066178,0.23807105679552257,0.09521657786870756,0.1627674119350169,0.19358533054527907,0.16685861347917003,0.04486086536914911,0.13451825639375906,0.0805,0.02308750214887399,0.8082110221656267,0.7009807529610402,0.12137153436965771,0.03798906779376755,0.11347917001769342,0.13340839633263632,0.11454720926491876,0.08200096509570533,0.07619430593533859,0.23575,0.012910434932095581,0.6612112643025133,0.5504973559978904,0.23285766614489037,0.04591479462242236,0.16366548710524906,0.19853305452790734,0.17426089753900595,0.08991474987936304,0.19768377030722215,0.0805,0.02331098504383703,0.8052813173684775,0.6962494514216281,0.11347100170403095,0.0257058630676855,0.11676853788000642,0.13731381695351458,0.11776258645649026,0.06660768859578575,0.06749235965899952,False,0
shallow,fisher,minimal_ce,401,0.13225,0.022915592229671652,0.6981417682453618,0.5395889790066178,0.23807105679552257,0.09521657786870756,0.1627674119350169,0.19358533054527907,0.16685861347917003,0.04486086536914911,0.13451825639375906,0.08025,0.020973010142685232,0.7834844281816933,0.6840797792423574,0.09606264496259281,0.0459549153127384,0.12321189212374672,0.14547852662055655,0.12461315747144926,0.045086054367058065,0.06121923757439279,0.1485,0.022245143544782534,0.653882187535237,0.5547168957764996,0.22248881872988113,0.04483413676109773,0.16697496112808966,0.19907350812288885,0.1715763229853627,0.0867138491233714,0.1899308348077851,0.0735,0.022399862472064637,0.794337217324069,0.6984154825602441,0.09912242674504158,0.028229733144789448,0.11758886922953193,0.1383336014154737,0.11841080907189963,0.07175486569084767,0.07495576644683931,False,0
shallow,fisher,minimal_ce,503,0.13225,0.022915592229671652,0.6981417682453618,0.5395889790066178,0.23807105679552257,0.09521657786870756,0.1627674119350169,0.19358533054527907,0.16685861347917003,0.04486086536914911,0.13451825639375906,0.04875,0.029327832215918857,0.7872756519993614,0.6786140973684817,0.1471706917339207,0.0417734717788707,0.12966999088520723,0.1510567797973299,0.12802798777545438,0.04495737493968152,0.06477400675566994,0.20425,0.016176723396940002,0.632632394637977,0.5381837366796706,0.246748152798018,0.05975106363502419,0.16522036351938232,0.19917966865047448,0.17366414669454722,0.0893678623130127,0.1963808911050346,0.05625,0.026731992435963556,0.8034406232516368,0.7006083596607405,0.09630014826896052,0.04016367372384671,0.11921478741086268,0.13914106482226155,0.11840437510053081,0.04178864404053402,0.04352581631011742,False,0
