architecture,regime,normalisation,contrast,mean,ci_lo,ci_hi
deep,standard_ce,trained,magnitude-fisher,-0.0013691822287944827,-0.06015936806388477,0.05742100360629581
deep,standard_ce,trained,magnitude-saber_v2,-0.0012055359075792804,-0.09064416419778884,0.08823309238263027
deep,standard_ce,trained,taylor-fisher,-0.012149357361900546,-0.04607884060893025,0.021780125885129162
deep,standard_ce,trained,taylor-saber_v2,-0.011985711040685344,-0.07220675517001733,0.04823533308864664
deep,standard_ce,trained,fisher-saber_v2,0.0001636463212152023,-0.05463684203764758,0.054964134680077985
deep,standard_ce,recal,random-magnitude,-0.000658441893893566,-0.054468680362489245,0.05315179657470211
deep,standard_ce,recal,random-taylor,0.0192851995610888,-0.01600178738452072,0.05457218650669832
deep,standard_ce,recal,random-fisher,0.017440721093106158,-0.01656703360253543,0.05144847578874774
deep,standard_ce,recal,random-saber_v2,0.0015504638679023602,-0.035429595551412826,0.03853052328721755
deep,standard_ce,recal,magnitude-taylor,0.019943641454982366,-0.00503230328270643,0.04491958619267116
deep,standard_ce,recal,magnitude-fisher,0.018099162986999724,-0.055270010612006745,0.09146833658600619
deep,standard_ce,recal,magnitude-saber_v2,0.0022089057617959264,-0.05299140737570943,0.05740921889930129
deep,standard_ce,recal,taylor-fisher,-0.0018444784679826436,-0.05771637615861811,0.05402741922265283
deep,standard_ce,recal,taylor-saber_v2,-0.01773473569318644,-0.06024705467318492,0.024777583286812038
deep,standard_ce,recal,fisher-saber_v2,-0.015890257225203798,-0.04281675601478728,0.01103624156437968
shallow,full_ce,trained,random-magnitude,-0.01143385978965796,-0.053544414834526544,0.03067669525521062
shallow,full_ce,trained,random-taylor,-0.010314630621293942,-0.04903170001037058,0.028402438767782697
shallow,full_ce,trained,random-fisher,-0.004303450599884481,-0.02594804868108408,0.017341147481315114
shallow,full_ce,trained,random-saber_v2,-0.03096556556125385,-0.059409517196081424,-0.0025216139264262714
shallow,full_ce,trained,magnitude-taylor,0.0011192291683640194,-0.041689958023128866,0.0439284163598569
shallow,full_ce,trained,magnitude-fisher,0.007130409189773479,-0.03614941786841227,0.05041023624795923
shallow,full_ce,trained,magnitude-saber_v2,-0.01953170577159589,-0.05456426862482619,0.01550085708163441
shallow,full_ce,trained,taylor-fisher,0.00601118002140946,-0.03492926441775146,0.046951624460570385
shallow,full_ce,trained,taylor-saber_v2,-0.02065093493995991,-0.05549147012655569,0.014189600246635868
shallow,full_ce,trained,fisher-saber_v2,-0.02666211496136937,-0.05812749819699764,0.004803268274258903
shallow,full_ce,recal,random-magnitude,-0.0029783147549792945,-0.04128774237138647,0.03533111286142788
shallow,full_ce,recal,random-taylor,-0.003194166936828416,-0.04994065539816327,0.04355232152450643
shallow,full_ce,recal,random-fisher,-0.0011756728784688003,-0.030391183870573792,0.02803983811363619
shallow,full_ce,recal,random-saber_v2,-0.004132821290304717,-0.04332454580221502,0.035058903221605583
shallow,full_ce,recal,magnitude-taylor,-0.00021585218184912158,-0.023844290997274347,0.023412586633576104
shallow,full_ce,recal,magnitude-fisher,0.001802641876510494,-0.021602348573689117,0.025207632326710104
shallow,full_ce,recal,magnitude-saber_v2,-0.0011545065353254225,-0.009134243838555416,0.006825230767904571
shallow,full_ce,recal,taylor-fisher,0.0020184940583596158,-0.027467144378808296,0.031504132495527526
shallow,full_ce,recal,taylor-saber_v2,-0.0009386543534763009,-0.018539758501504577,0.016662449794551976
shallow,full_ce,recal,fisher-saber_v2,-0.0029571484118359167,-0.02866679717011902,0.02275250034644719
