architecture,method,seed,unit,fine_macro_f1,family_macro_f1,awbir,attack_to_benign_rate,benign_to_attack_rate,hsr_balanced_soc,ece15
shallow,magnitude,101,3,0.5362526223334344,0.5992153070201132,0.10345763482132837,0.04293891321241068,0.003,0.1642848012271507,0.12108733434165196
shallow,magnitude,101,4,0.5476123364132824,0.6243675852279353,0.10906453385070236,0.04615151342847937,0.0015,0.16580960902832306,0.13866523809224215
shallow,magnitude,101,5,0.5344848699676458,0.600869667117693,0.11368833619080362,0.06035708193552056,0.0015,0.17710596957688868,0.1471901812576287
shallow,magnitude,101,6,0.5319514382375544,0.6010071372742077,0.10464056578752916,0.04186804647372112,0.00125,0.1637807929000566,0.14952686737843032
shallow,magnitude,101,7,0.5163640777714215,0.5883396251439676,0.1153928064006502,0.05973161994655143,0.00075,0.1832563320611384,0.17355043444381554
shallow,magnitude,101,8,0.5135524166510215,0.6577967129061524,0.12126996699995514,0.04876708174598662,0.00075,0.17349756213363526,0.19980614873141073
shallow,magnitude,211,0,0.007002536609875677,0.047885019589470314,0.5503774840251935,0.0,1.0,0.5348934460656307,0.9211712017761929
shallow,magnitude,211,1,0.5347562329485617,0.639190150604273,0.1059358278821981,0.03715812816284756,0.022,0.15955150563357134,0.08069128085303863
shallow,magnitude,211,2,0.5367599642477515,0.6389321923515161,0.10792090721505485,0.055050131726085555,0.00325,0.17757710779569402,0.1127999477266382
shallow,magnitude,211,3,0.5169567248564122,0.5827680664922273,0.10570369109932257,0.05187543829722712,0.003,0.1762349117072369,0.14463067374464525
shallow,magnitude,211,4,0.5209824396871005,0.5770954933927199,0.11104378592560846,0.05753302628835693,0.001,0.17790580887858148,0.15495217677896375
shallow,magnitude,211,5,0.5355893283839663,0.6070432142720856,0.11189483289961022,0.054633157066772804,0.00225,0.17341173462865908,0.16098532264028811
shallow,magnitude,211,6,0.5439654102600422,0.6039961999732724,0.11836949922731164,0.048226910028240554,0.00175,0.1724420664341411,0.1519830467003792
shallow,magnitude,211,7,0.5352689226018785,0.6161777782574426,0.11446448756811353,0.053751824264134496,0.0015,0.17673709391720385,0.15753244747040626
shallow,magnitude,211,8,0.5375227276464506,0.5960619300071341,0.11069041065877859,0.054775307518811246,0.00125,0.17657822172714158,0.16487667771363235
shallow,magnitude,307,0,0.007002536609875677,0.047885019589470314,0.5503774840251935,0.0,1.0,0.5348934460656307,0.9211712017761929
shallow,magnitude,307,1,0.5524256934915517,0.6387430652166213,0.10004885678140267,0.045213320445025684,0.0245,0.15828965869870895,0.05783020771802612
shallow,magnitude,307,2,0.5457675245892034,0.6277705499872196,0.10491419437937552,0.05547658308220087,0.002,0.16991289421303482,0.1085863547694981
shallow,magnitude,307,3,0.5342660701315174,0.6163912516517127,0.10153426708384401,0.05108887246261443,0.00225,0.1711710889136429,0.09969547223894006
shallow,magnitude,307,4,0.25890748119906387,0.3293743029929078,0.2847957698836812,0.007116999298724436,0.6695,0.27786380818465695,0.1800964411110336
shallow,magnitude,307,5,0.5424201279865822,0.5682284915429556,0.12753754099552492,0.04448361479122837,0.00025,0.17409835466846843,0.14169186619601748
shallow,magnitude,307,6,0.504048360659151,0.5910308483332156,0.12145797515524126,0.05973161994655143,0.001,0.1816292617008455,0.17871352621628622
shallow,magnitude,307,7,0.4957094490446354,0.6023584766791991,0.12150414077337818,0.06010121112185137,0.00025,0.18404338854294114,0.1826318072797223
shallow,magnitude,307,8,0.266239111694055,0.37077371480030963,0.29560388579986974,0.04596197949242812,0.53025,0.2785084275305418,0.1826084945830181
shallow,magnitude,401,0,0.007002536609875677,0.047885019589470314,0.5503774840251935,0.0,1.0,0.5348934460656307,0.9211712017761929
shallow,magnitude,401,1,0.5516665208960329,0.6192100053188987,0.1323225433770676,0.04061712249578287,0.0255,0.160972224758496,0.07175138004844667
shallow,magnitude,401,2,0.42636660253620823,0.5235610340744314,0.13762090312029007,0.05420670571065749,0.063,0.19703073355124998,0.11454960716744365
shallow,magnitude,401,3,0.5665728789749725,0.6461574856296681,0.08240360165319233,0.029870548321676998,0.001,0.14181808221179307,0.08569792747972946
shallow,magnitude,401,4,0.5232254325374142,0.5936795532877897,0.1195242850586959,0.05308845548795512,0.0025,0.17177005533134895,0.11976294241669605
shallow,magnitude,401,5,0.5517149642192491,0.6210105141155206,0.10684334411949648,0.057978431038077365,0.0005,0.17591351509285807,0.1397960374755911
shallow,magnitude,401,6,0.5328333450200649,0.597608233720048,0.11133638535055328,0.05674646045374424,0.0005,0.17540037618012821,0.15201170606685532
shallow,magnitude,401,7,0.5398053826850634,0.6042471059468697,0.10321507635841344,0.044616288546464246,0.001,0.1628494731652088,0.14562078911596274
shallow,magnitude,401,8,0.5401632269200232,0.6335263648647619,0.11124619771032983,0.04524175053543337,0.00025,0.17013385438542028,0.16542097377407777
shallow,magnitude,503,0,0.007002536609875677,0.047885019589470314,0.5503774840251935,0.0,1.0,0.5348934460656307,0.9211712017761929
shallow,magnitude,503,1,0.5131575255778783,0.6070477697954806,0.13230645291364695,0.04710865980553818,0.02475,0.1766421358265919,0.11145963741246599
shallow,magnitude,503,2,0.5009091678717885,0.6017378411872312,0.10949818017202523,0.04583878243399481,0.00175,0.17325651467285114,0.14254681125075122
shallow,magnitude,503,3,0.5451684308842567,0.6213567591210067,0.10381395511596045,0.05325903603040125,0.0005,0.1726995489490696,0.12408304258162861
shallow,magnitude,503,4,0.5066384357465049,0.6291173504384784,0.1213884086223697,0.046530581300581866,0.001,0.17410931137123137,0.18475654450667006
shallow,magnitude,503,5,0.49812284571410054,0.5591313207109736,0.12755493232093926,0.057476166107541554,0.00075,0.18445791713080478,0.18067124944256466
shallow,magnitude,503,6,0.5278980998472889,0.5858913440482002,0.1112740185908672,0.05582722086389568,0.001,0.17714797027081317,0.15772791502685446
shallow,magnitude,503,7,0.5355440719702647,0.6099652336694886,0.1134591211921805,0.056670646879323744,0.00075,0.17270320118332388,0.1494916692416745
shallow,magnitude,503,8,0.5369820486907538,0.6182569321587296,0.10129217338577262,0.047051799624722807,0.0005,0.16591734993882506,0.15666887664908843
shallow,taylor,101,0,0.17300740128634884,0.25735805857833277,0.2886967815441129,0.009476696802562499,0.966,0.39284892533007065,0.46222657311290016
shallow,taylor,101,1,0.5459652458655779,0.633394974715967,0.10268167800708035,0.04752563446485093,0.012,0.16511933675425944,0.08189384618508026
shallow,taylor,101,2,0.5129026994342132,0.6000422913583976,0.12167000303092748,0.03412558518602756,0.017,0.16596848121838534,0.14450324105027695
shallow,taylor,101,3,0.5360498709391452,0.5942971120546857,0.11185369129624888,0.06323799776349956,0.00075,0.18043680721681488,0.1307084499866478
shallow,taylor,101,4,0.5524488754548923,0.6141441319527172,0.10824665325634954,0.04535547089706412,0.00275,0.16584613137086612,0.1308810208216059
shallow,taylor,101,5,0.5268053331134293,0.5829092931850793,0.1135701766919946,0.056149428555182804,0.00175,0.17370573948613063,0.15467704395232104
shallow,taylor,101,6,0.5371013883509563,0.5807783606127975,0.10456414306132272,0.04889027880441993,0.0025,0.16775807600299483,0.14233912972173698
shallow,taylor,101,7,0.5367909950926169,0.5989342842989386,0.10733429008687716,0.05166695096757074,0.001,0.16925549204725993,0.15015527580286306
shallow,taylor,101,8,0.5094315133924298,0.637643479684027,0.11923987084461901,0.05384659123216012,0.00125,0.17529446138675336,0.19642496936137008
shallow,taylor,211,0,0.17300740128634884,0.25735805857833277,0.2886967815441129,0.009476696802562499,0.966,0.39284892533007065,0.46222657311290016
shallow,taylor,211,1,0.5054074106332055,0.5816861284662035,0.12092964939415739,0.04679592881105362,0.00775,0.17362356421540875,0.11695705302656838
shallow,taylor,211,2,0.5312870724684573,0.604590611438975,0.12105328382200574,0.05376130096093706,0.001,0.1753419404320593,0.1295419467040516
shallow,taylor,211,3,0.5431457832795195,0.6191530897756837,0.11060387173942256,0.059305168590436115,0.00175,0.17654900385310715,0.14328144082002653
shallow,taylor,211,4,0.5539185024231812,0.626581567640383,0.10230639632298372,0.03143420329409981,0.00275,0.15351801464545936,0.12173152687381067
shallow,taylor,211,5,0.5490630949975176,0.6078305096954094,0.11010990170827582,0.03624836526980156,0.00075,0.15815817826555395,0.144381785362127
shallow,taylor,211,6,0.5294215401792001,0.6234858861624715,0.11302973171628589,0.05275677109986543,0.0015,0.1746954949690473,0.1700762965995202
shallow,taylor,211,7,0.5518434198373383,0.6165033224144657,0.09954550228316073,0.04809423627300468,0.0005,0.16774711930023192,0.15629994824805749
shallow,taylor,211,8,0.5460571138769047,0.6192399358777423,0.10030875106920581,0.04432251094558481,0.001,0.16247146691988826,0.16368952536937095
shallow,taylor,307,0,0.17300740128634884,0.25735805857833277,0.2886967815441129,0.009476696802562499,0.966,0.39284892533007065,0.46222657311290016
shallow,taylor,307,1,0.5694490182040999,0.6439634924179516,0.08440998095793995,0.04161217566005193,0.024,0.15114588849728822,0.057086571929367766
shallow,taylor,307,2,0.51968388454212,0.6186960423148687,0.10572118362937409,0.040029567294023995,0.0195,0.16340278665473604,0.132104321660473
shallow,taylor,307,3,0.5353142896237539,0.579963003662445,0.10126688031678381,0.04495744963135649,0.0095,0.1627380800204525,0.07674328226797206
shallow,taylor,307,4,0.2783265639760768,0.2957474976288765,0.1895953454600381,0.0028240556471636246,0.99425,0.27552089991052026,0.1586509307835134
shallow,taylor,307,5,0.5486701489661228,0.5774215195319292,0.1257516919533039,0.04509960008339493,0.00075,0.16959149759865597,0.13150293978995653
shallow,taylor,307,6,0.495650905001934,0.5776734329541997,0.12582820308684803,0.05355281363128068,0.00125,0.17877869286536038,0.17494981458487113
shallow,taylor,307,7,0.5432347839746121,0.6075741696964062,0.1067422166611292,0.04665377835901518,0.0015,0.16712623947700006,0.1467518499671487
shallow,taylor,307,8,0.2991180349302182,0.2862913630413102,0.22675504572600919,0.022308144273232123,0.88525,0.277995288617812,0.12337070848227266
shallow,taylor,401,0,0.17300740128634884,0.25735805857833277,0.2886967815441129,0.009476696802562499,0.966,0.39284892533007065,0.46222657311290016
shallow,taylor,401,1,0.5512195981162926,0.6225765319105803,0.10379726984666811,0.021483671651409186,0.07575,0.1459560636219207,0.06135902236709006
shallow,taylor,401,2,0.4818180489777318,0.5645207101548888,0.09924272564222562,0.02047914179033756,0.388,0.1676174649842041,0.04483751658074364
shallow,taylor,401,3,0.516063989847662,0.6045959136152195,0.10531016658554487,0.04617994351888706,0.00475,0.16891218202735522,0.1421207806886394
shallow,taylor,401,4,0.5510014729481391,0.6149647226561532,0.10228487775656592,0.0369212107427835,0.00175,0.1539398477018316,0.11034819539719858
shallow,taylor,401,5,0.5428469572828203,0.601678517283831,0.10544027571629068,0.04556395822672049,0.001,0.16607622212888734,0.14377881835853737
shallow,taylor,401,6,0.5346790298335016,0.6003793451823396,0.1090702668365169,0.051799624722806616,0.00225,0.17301729332919413,0.1668137990293742
shallow,taylor,401,7,0.533480372353993,0.6051523830460885,0.1109664302329605,0.04933568355414037,0.001,0.1712751775898906,0.1503635091116268
shallow,taylor,401,8,0.546416843548132,0.6393724942341291,0.10273916031793882,0.04171641932488012,0.00075,0.160349518818137,0.1615221984169683
shallow,taylor,503,0,0.17300740128634884,0.25735805857833277,0.2886967815441129,0.009476696802562499,0.966,0.39284892533007065,0.46222657311290016
shallow,taylor,503,1,0.5373129352294437,0.6098048642025967,0.11753795025049847,0.04785731885294062,0.01225,0.1703712496119501,0.09329560216053799
shallow,taylor,503,2,0.48253992263929213,0.5592755924848161,0.12340624128814248,0.04513750687060518,0.00275,0.17622943335585545,0.1628403081412818
shallow,taylor,503,3,0.5325234794695233,0.5929676840519661,0.10533819172428492,0.05725820208108262,0.0005,0.17469366885192017,0.14295646253592056
shallow,taylor,503,4,0.5346379520021007,0.6090485673518412,0.10695705543713918,0.045080646689789804,0.00225,0.1663282262924344,0.1457381199241729
shallow,taylor,503,5,0.5364937490830003,0.5657949660421386,0.1048371220715431,0.04100566706468793,0.0065,0.1686711345665711,0.1578340309491374
shallow,taylor,503,6,0.5452766565067453,0.6082447358865137,0.09692914900971009,0.05378973105134474,0.00225,0.16916053395664798,0.14815802527138933
shallow,taylor,503,7,0.5225201744297256,0.6265900282096064,0.11805585476368592,0.04596197949242812,0.00125,0.1697668048428626,0.17636875957851678
shallow,taylor,503,8,0.542525674293711,0.6235400137354116,0.10413949084361528,0.0695684312276113,0.0005,0.1781048556454411,0.15831920752908307
shallow,fisher,101,0,0.48523437111064044,0.5114794765612651,0.13486013260172358,0.025350163946854683,0.628,0.18301711071748142,0.03806039618532053
shallow,fisher,101,1,0.5612862622559479,0.6158801631961194,0.08993963014602924,0.04395291977028487,0.027,0.15393071711619583,0.05752387072215842
shallow,fisher,101,2,0.5350264421470997,0.6051324154619677,0.12130163220378712,0.04456890506245143,0.002,0.163558006610544,0.11785449632276318
shallow,fisher,101,3,0.5737130790955414,0.6573344905689376,0.09547176857421817,0.04273042588275431,0.003,0.15064735852157557,0.1076265439475235
shallow,fisher,101,4,0.5512260705033163,0.6160118557767498,0.1100797787424411,0.053751824264134496,0.00125,0.16995124267270503,0.13449775514951828
shallow,fisher,101,5,0.5349561407952238,0.5875724369234052,0.10859062175094378,0.04535547089706412,0.002,0.16408392834316393,0.14200107732475017
shallow,fisher,101,6,0.5274768049084475,0.5716944630414837,0.10759353040182466,0.04525122723223593,0.00275,0.16635013969796023,0.15530020388793564
shallow,fisher,101,7,0.5183803907107057,0.6255504125707709,0.11391609248442143,0.05917249483520024,0.0005,0.17659830901554024,0.18346408277407913
shallow,fisher,101,8,0.5314971386116968,0.6349929852444574,0.11186227405729783,0.04517541365781543,0.00125,0.16637205310348607,0.16808063892265623
shallow,fisher,211,0,0.48523437111064044,0.5114794765612651,0.13486013260172358,0.025350163946854683,0.628,0.18301711071748142,0.03806039618532053
shallow,fisher,211,1,0.5250334733285543,0.6133268867214362,0.11375181438002059,0.044170883796743804,0.017,0.16512481510564087,0.09569761106032684
shallow,fisher,211,2,0.5674216878887097,0.6593678839917673,0.10386445269333153,0.027416083849813307,0.00675,0.14628111247055386,0.08998273849137842
shallow,fisher,211,3,0.5423297301191949,0.6243084600412225,0.10781797613223722,0.06600519322984781,0.00075,0.1771589269735761,0.13349938030776728
shallow,fisher,211,4,0.533231645323297,0.6011456034800108,0.10808213681790477,0.04401925664790281,0.00075,0.16334435090666716,0.14085317778998474
shallow,fisher,211,5,0.5382751528694927,0.613326977795071,0.11567464160703868,0.057172911809859554,0.0005,0.17448914373367908,0.16494526918366895
shallow,fisher,211,6,0.5347421087986437,0.593666575416839,0.10440711081590556,0.04722238016716893,0.0,0.16601778638081846,0.15148971436814695
shallow,fisher,211,7,0.5506405964051581,0.6182665608531637,0.10904300199107912,0.049250393282917304,0.00175,0.16559595332444624,0.15040541224655654
shallow,fisher,211,8,0.5414871005820467,0.6070297988009987,0.11184165925397788,0.06318113758268418,0.00025,0.17817972644765437,0.1753381793570085
shallow,fisher,307,0,0.48523437111064044,0.5114794765612651,0.13486013260172358,0.025350163946854683,0.628,0.18301711071748142,0.03806039618532053
shallow,fisher,307,1,0.5569521787803965,0.6454388367511256,0.10099261317686299,0.039811603267565054,0.04,0.154016544621172,0.07633434696333904
shallow,fisher,307,2,0.5434187598888274,0.6070874733918371,0.1081437655594388,0.03443831618051212,0.01825,0.15455342305655484,0.12342213689618997
shallow,fisher,307,3,0.5270902280051708,0.6001541414836729,0.10712972933151316,0.03714865146604499,0.009,0.15815452603129965,0.09843039333220042
shallow,fisher,307,4,0.20105097710302217,0.2138778194717133,0.1859999749486075,9.476696802562498e-05,1.0,0.32775332809846425,0.2407814486561707
shallow,fisher,307,5,0.5393876548845443,0.6080062608615625,0.10955892636932933,0.03929986164022668,0.0025,0.16078778692865361,0.14439414732563385
shallow,fisher,307,6,0.5392736765826566,0.6026852876232113,0.10800469349538126,0.047355053922404806,0.00025,0.16527638282719453,0.14000226549950087
shallow,fisher,307,7,0.5278852565956624,0.5872587510079694,0.10886187049069039,0.056575879911298116,0.00025,0.17560490129836928,0.15620901499268683
shallow,fisher,307,8,0.20743019893357428,0.2025110076636876,0.2676254752110874,8.529027122306249e-05,1.0,0.32835046839904314,0.274627116668341
shallow,fisher,401,0,0.48523437111064044,0.5114794765612651,0.13486013260172358,0.025350163946854683,0.628,0.18301711071748142,0.03806039618532053
shallow,fisher,401,1,0.5461450081721223,0.6237734099373,0.09697630865579743,0.030278046284187184,0.0665,0.15229086393601285,0.08559393265719645
shallow,fisher,401,2,0.41749869885704,0.49558197354650296,0.126318741117021,0.02946305035916681,0.29925,0.19557714431803658,0.05695036747502096
shallow,fisher,401,3,0.5402595213493935,0.6032099762737346,0.10325599212772599,0.05267148082864237,0.00175,0.164204452073556,0.11588185814361564
shallow,fisher,401,4,0.5268206284557574,0.578973862026698,0.10327534606661568,0.03909137431057031,0.00525,0.1599295118788919,0.12441066431011746
shallow,fisher,401,5,0.5492922235418805,0.6155646501381468,0.09847005134157191,0.044891112753738555,0.001,0.1631379996712989,0.14118600994864797
shallow,fisher,401,6,0.5428616454489181,0.6175929350577465,0.10932449191171584,0.054851121093231744,0.0,0.16839173864611676,0.15742902974972015
shallow,fisher,401,7,0.5312004280683836,0.6038467146080991,0.1134418129055303,0.05173328784518868,0.00025,0.1706177754241157,0.16223791945194388
shallow,fisher,401,8,0.5445079276257323,0.624336599252847,0.10510202592939837,0.049875855271886434,0.00075,0.16527273059294023,0.1647831292330609
shallow,fisher,503,0,0.48523437111064044,0.5114794765612651,0.13486013260172358,0.025350163946854683,0.628,0.18301711071748142,0.03806039618532053
shallow,fisher,503,1,0.5191104522147572,0.6462225266005498,0.13032320752240967,0.041460548511210935,0.01575,0.1657931739741787,0.10864471660234198
shallow,fisher,503,2,0.5340612677672629,0.5757424634112711,0.11493367003721099,0.04755406455525862,0.002,0.17086612735340845,0.1015577738294298
shallow,fisher,503,3,0.5394036836597307,0.5959473086198995,0.10503229127200174,0.05415932222664468,0.00025,0.17118935008491445,0.12912007043367607
shallow,fisher,503,4,0.5302739563959835,0.6297850315334953,0.1184747374643713,0.05613995185838024,0.0,0.17086612735340845,0.14805973314484086
shallow,fisher,503,5,0.5438715709386501,0.6279567378496975,0.10509174574146925,0.035281742195940186,0.0015,0.15554683077372583,0.15397553347175252
shallow,fisher,503,6,0.5263164614855187,0.5821931244173303,0.1062373241087881,0.05774151361801331,0.0,0.17638830554591772,0.17065837142454696
shallow,fisher,503,7,0.5348948673960208,0.6024701309968962,0.113533045836363,0.048264816815450806,0.0,0.16582239184821315,0.15342036245214422
shallow,fisher,503,8,0.5416490582176999,0.6110185586537406,0.10036783455160014,0.043990826557495116,0.0035,0.16322565329340225,0.15998922658255327
shallow,saber_v2,101,0,0.4550200479731122,0.46411956626980516,0.11000644070767861,0.017958340440855935,0.89725,0.1941016416792973,0.053133046623288833
shallow,saber_v2,101,1,0.5363371122232745,0.5729380799487492,0.10942529549074598,0.055258619055741934,0.01025,0.16556856156753894,0.08536163575402644
shallow,saber_v2,101,2,0.5393700885310223,0.5997095276120884,0.11061921518247211,0.03977369648035481,0.0045,0.15980350979711838,0.11787010224804398
shallow,saber_v2,101,3,0.5543216554332698,0.6164328994402549,0.09641372363009806,0.04117624760713406,0.004,0.15606544803783715,0.10584016324264475
shallow,saber_v2,101,4,0.5056706849430399,0.6143912202764573,0.11016778330784886,0.041441595117605805,0.002,0.16965906393236063,0.17742881382653442
shallow,saber_v2,101,5,0.5321775377282798,0.5870692938106701,0.10946535160647493,0.03494058111104793,0.003,0.15918262997388652,0.13584018036534296
shallow,saber_v2,101,6,0.5081535448419564,0.5511743781494642,0.12047106508414147,0.05595041792232899,0.001,0.17660561348404885,0.15606515078972735
shallow,saber_v2,101,7,0.4835030477302425,0.5814143248464062,0.1211895966819189,0.05265252743503725,0.00025,0.18324354924124833,0.20405843194000867
shallow,saber_v2,101,8,0.5176527683751316,0.5923101350855746,0.11048087352744333,0.045933549402020435,0.00125,0.1651357718084038,0.17305513730655425
shallow,saber_v2,211,0,0.4550200479731122,0.46411956626980516,0.11000644070767861,0.017958340440855935,0.89725,0.1941016416792973,0.053133046623288833
shallow,saber_v2,211,1,0.5661115330105045,0.657144580309773,0.09554825710345331,0.04534599420026156,0.0155,0.15429959277588062,0.07400493143536516
shallow,saber_v2,211,2,0.5878601795630383,0.6657113094244383,0.09755874404887374,0.03482686074941718,0.00275,0.14482021876883183,0.08011258584397245
shallow,saber_v2,211,3,0.5496450565443118,0.6075061598857121,0.10698393507618402,0.05945679573927712,0.00075,0.1745037526706963,0.12804149173840743
shallow,saber_v2,211,4,0.534501554518605,0.6122309896131211,0.1057372965979194,0.03502587138227099,0.002,0.1566552838699074,0.14147341818772263
shallow,saber_v2,211,5,0.5581606996466197,0.6243975028183968,0.1028871141225854,0.062460908625689426,0.00125,0.17243293584850533,0.15914651372523245
shallow,saber_v2,211,6,0.53869539668664,0.592457249869585,0.09725413334590267,0.041877523170523685,0.0015,0.1600336005551396,0.14881052461913089
shallow,saber_v2,211,7,0.5491537223478563,0.623473725115198,0.10886864358527557,0.046227327002899866,0.00125,0.16621500703055095,0.15333680734099844
