method,regime,seed,raw_awbir,raw_family_f1,raw_b2a,awbir,fine_macro_f1,family_macro_f1,benign_to_attack_rate,attack_to_benign_rate,hsr_balanced_soc,ece15
fisher,minimal_ce,401,0.07898694368742551,0.3645059126326152,0.47125,0.0892395261450067,0.5052076781197348,0.5671643664037417,0.0015,0.04970527472944031,0.17628604298679718,0.17159475336316501
fisher,minimal_ce,503,0.07898694368742551,0.3645059126326152,0.47125,0.0980782493693263,0.5023176105133742,0.5669237853884453,0.0005,0.05752354959155437,0.18181187341356075,0.2010334103520158
fisher,full_ce,101,0.07898694368742551,0.3645059126326152,0.47125,0.13357110323318444,0.48546716182220623,0.5467223566234283,0.004,0.06635583101154262,0.19592228045506838,0.23684511715181614
fisher,full_ce,211,0.07898694368742551,0.3645059126326152,0.47125,0.04496725305468981,0.5597184146226994,0.6443933308153443,0.021,0.04847330414510718,0.18073081207428646,0.18547283292943392
fisher,full_ce,307,0.07898694368742551,0.3645059126326152,0.47125,0.113499008573021,0.49484976527180063,0.5554609294895464,0.001,0.06257462898732018,0.18999835649458557,0.23210805348657026
fisher,full_ce,401,0.07898694368742551,0.3645059126326152,0.47125,0.06439924481954329,0.506480598701201,0.6131877348804433,0.00375,0.07157749094975456,0.20001460893701722,0.24754846747468717
fisher,full_ce,503,0.07898694368742551,0.3645059126326152,0.47125,0.05753780597340715,0.5004816873790122,0.5794287324302715,0.0015,0.05378025435454218,0.1813900403571885,0.23487772300896578
saber_v2,minimal_ce,101,0.08183309190763093,0.5338713263111273,0.00175,0.06227387920388144,0.4982060276501684,0.5586308170203645,0.00125,0.06029074505790262,0.18909808075089934,0.19237628533784545
saber_v2,minimal_ce,211,0.08183309190763093,0.5338713263111273,0.00175,0.04220092043968539,0.5188549436644851,0.5942789968502865,0.00075,0.052917874945508994,0.17777615456255363,0.179075234102529
saber_v2,minimal_ce,307,0.08183309190763093,0.5338713263111273,0.00175,0.12482498980196358,0.4858339007579114,0.539711159871914,0.00075,0.05356229032808325,0.18507331860265516,0.18943897983689736
saber_v2,minimal_ce,401,0.08183309190763093,0.5338713263111273,0.00175,0.08451072371731788,0.49902032392917994,0.5639028280893434,0.002,0.049269346676522434,0.17742188783988605,0.17791234624119742
saber_v2,minimal_ce,503,0.08183309190763093,0.5338713263111273,0.00175,0.07387538645140984,0.46998866958531266,0.5693789209067578,0.00125,0.05001800572392487,0.19117437592447178,0.22651670004763297
saber_v2,full_ce,101,0.08183309190763093,0.5338713263111273,0.00175,0.09081413244851481,0.5042725002894625,0.571820420720042,0.0015,0.055656640321449555,0.18149960738481766,0.2207087215075524
saber_v2,full_ce,211,0.08183309190763093,0.5338713263111273,0.00175,0.06478453720916277,0.5433506958000347,0.6229616648163219,0.0085,0.04202915031936468,0.1729844232209054,0.1937692967741702
saber_v2,full_ce,307,0.08183309190763093,0.5338713263111273,0.00175,0.09758813048391142,0.46953101703596495,0.5650355710263635,0.00075,0.06016754799946931,0.19311371231350777,0.2583599802675901
saber_v2,full_ce,401,0.08183309190763093,0.5338713263111273,0.00175,0.09731230604398514,0.5043423720415805,0.5910704205200584,0.00025,0.062167131024809995,0.18563211044356384,0.22909867083471758
saber_v2,full_ce,503,0.08183309190763093,0.5338713263111273,0.00175,0.09864047893226238,0.492896790286537,0.5551135567543876,0.00125,0.05329694281761149,0.18497105604353464,0.22633601627421815
