group_id,module_path,channel_index,magnitude,taylor,fisher,sbl_raw,sem_rank,saber_v2,random
conv.3:out:25,conv.3,25,1.3456051,0.4092868800944416,0.0019205896364513642,0.16232385496405755,0.1953125,0.025702297757388824,0.3167381665569643
conv.3:out:26,conv.3,26,1.4260957,0.7011936369817704,0.07507328791751888,0.40493744005749477,0.8359375,0.11000583440162418,0.6913370352777413
conv.3:out:27,conv.3,27,1.7481046,0.15158529640029883,0.008399255567405284,0.21679093336393862,0.3984375,0.052432687425073204,0.17857187817437192
conv.3:out:28,conv.3,28,1.5248458,0.36072417766263243,0.008966456144898771,0.2595220859992935,0.5625,0.07402261754127981,0.39625616221698645
conv.3:out:29,conv.3,29,1.5757785,1.2364828968420625,0.12341187984657154,0.508963656888227,0.9140625,0.1202867535045797,0.0058245951079809455
conv.3:out:30,conv.3,30,1.54061,0.4331646337523125,0.013026997182009836,0.2833037402696519,0.625,0.08224735282364423,0.2624947127501015
conv.3:out:31,conv.3,31,2.3212645,0.6843221066519618,0.04780753092552459,0.2541000158173006,0.5546875,0.07299452563098426,0.42118881422895527
conv.3:out:32,conv.3,32,1.64215,0.43195223771908786,0.010244997531088984,0.24278466635982454,0.4921875,0.06476979034861984,0.10592123670732445
conv.3:out:33,conv.3,33,1.6957303,0.5457442816987168,0.08035854408541354,0.3731288142933522,0.8203125,0.10794965058103306,0.6331599460365578
conv.3:out:34,conv.3,34,1.6552249,0.42360377773002256,0.03980467794552034,0.31442504019034345,0.703125,0.09252827192659976,0.38042426988653233
conv.3:out:35,conv.3,35,1.6282501,0.5185923950048164,0.14924672082457846,0.29696531655991576,0.6484375,0.0853316285545309,0.7252939380762389
conv.3:out:36,conv.3,36,1.2905982,0.11643855628790334,0.000468093692980176,0.08631107565847174,0.046875,0.006168551461773318,0.6538660110683944
conv.3:out:37,conv.3,37,1.7577935,0.43803807722360943,0.06857990577212059,0.24807498232590675,0.515625,0.0678540660795065,0.4312267487774062
conv.3:out:38,conv.3,38,1.6253121,0.3349364156892989,0.0398852589792682,0.23701142388990704,0.46875,0.06168551461773318,0.8673205056421992
conv.3:out:39,conv.3,39,1.9231262,1.3173145488835871,0.05975500887825547,0.6800429530761676,0.9609375,0.12645530496635302,0.632135117500167
conv.3:out:40,conv.3,40,1.8114882,0.028178484204545384,0.00023342941207729617,0.20172218606970294,0.34375,0.04523604405300433,0.8102743521062991
conv.3:out:41,conv.3,41,1.8883379,0.06234945282994886,0.0010840254328403631,0.23006295880786176,0.4375,0.05757314697655097,0.341794723940113
conv.3:out:42,conv.3,42,1.5097544,0.32303094706730917,0.007230536435007373,0.24364361754919628,0.5,0.06579788225891539,0.5436692896684556
conv.3:out:43,conv.3,43,1.6863405,0.5261260610088243,0.04718103313411982,0.2140723337461239,0.3828125,0.0503765036044821,0.1962968851147534
conv.3:out:44,conv.3,44,1.6964989,0.29290962405502796,0.0596547103425209,0.14163622553331123,0.1484375,0.019533746295615505,0.9961411901186279
conv.3:out:45,conv.3,45,1.8693,0.2852818340761587,0.09531964973768936,0.3515020566286182,0.78125,0.1028091910295553,0.24321546430632712
conv.3:out:46,conv.3,46,1.5199016,0.6956409830600023,0.019940942474931944,0.47650915158871854,0.890625,0.11720247777369304,0.25686746722710274
