method,regime,seed,epoch,eval_b2a,eval_family_f1,eval_fine_f1,eval_a2b,eval_awbir,eval_hsr,eval_ece,batch_b2a,batch_family_f1
random,full_ce,503,6,0.0005,0.6026864133921412,0.506692525375248,0.0639108432364815,0.09286584089695868,0.18706378627125145,0.24292258343823098,0.00025,0.6297718583748665
magnitude,minimal_ce,101,1,0.00675,0.534781423178477,0.4509024193574578,0.06305794052425087,0.09028501166119808,0.20844031336169905,0.22099471795624517,0.01175,0.6116737006927041
magnitude,minimal_ce,211,1,0.00525,0.5977688930453585,0.4916127209405945,0.05412141543943443,0.07103054653873321,0.18442139478826172,0.18228814821019268,0.0095,0.6552164672836044
magnitude,minimal_ce,307,1,0.0035,0.5423547550125292,0.4636204348729614,0.06026231496749493,0.13073352366587584,0.19500739577436496,0.1958916913060599,0.00675,0.6263030212350381
magnitude,minimal_ce,401,1,0.003,0.5679166542857781,0.47328658954645536,0.053041072003942306,0.09721883404339855,0.18819780500721317,0.19054956978792895,0.0075,0.6228141337862625
magnitude,minimal_ce,503,1,0.012,0.5766585848579404,0.46709971061556255,0.049553647580599304,0.08117342556130439,0.19565566735450413,0.20278197846676085,0.009,0.6230504838001516
magnitude,full_ce,101,1,0.00125,0.5551884216559488,0.44951939312689654,0.06113417107333068,0.1440114181224796,0.19977538759336025,0.2542145192294074,0.00075,0.6437113960624282
magnitude,full_ce,101,2,0.00125,0.5385729396453715,0.4925289028248006,0.061427948674210114,0.13837780504375458,0.19287996932123225,0.21492641920448188,0.00025,0.6064961221040155
magnitude,full_ce,101,3,0.00075,0.5954505388219162,0.508315446218637,0.05513542199730862,0.04638656193159667,0.18022862986431948,0.23588941644147252,0.00025,0.6268844423166577
magnitude,full_ce,101,4,0.0,0.5440724732435502,0.4814622461308278,0.06057504596197949,0.14857670301228174,0.19273935830244152,0.2324838557957258,0.00025,0.6214665654530194
magnitude,full_ce,101,5,0.0005,0.5416088436447751,0.4870985200158149,0.0547089706411933,0.1449975824245559,0.1880590201055496,0.2443694651186033,0.00075,0.617638390039952
magnitude,full_ce,101,6,0.00025,0.5492824352604504,0.4848882251981158,0.07077197172153674,0.16982727420158808,0.19894085206625153,0.24974356477876275,0.0,0.62050030942844
magnitude,full_ce,211,1,0.001,0.5376338170127888,0.4933681739252737,0.067322454085404,0.07941855231339173,0.19356476324391447,0.21224785019187156,0.0005,0.6131751456066254
magnitude,full_ce,211,2,0.0005,0.6460330213645152,0.5491552961985539,0.05257671386061674,0.044927463291271584,0.17664578806084624,0.20855770025371298,0.001,0.6873070556987335
magnitude,full_ce,211,3,0.001,0.5618468166034991,0.4820621196753867,0.059494702526487364,0.13128924083773794,0.18711491755081172,0.23406362142672144,0.00075,0.6368717254217154
magnitude,full_ce,211,4,0.41425,0.4420910752765655,0.42131790086803944,0.06253672220010993,0.15308813312841066,0.2478059202717262,0.18171275153700095,0.00075,0.6789854644245193
magnitude,full_ce,211,5,0.0005,0.6081594974439898,0.5169293701426367,0.05916301813839768,0.09695582090823926,0.18428808823797957,0.24593598576107686,0.00025,0.6531188933299686
magnitude,full_ce,211,6,0.00875,0.6390614003385607,0.5551287929387044,0.06581565929379656,0.11087244779271561,0.19752013294132686,0.20680872034021464,0.00025,0.6848298904617783
magnitude,full_ce,307,1,0.00075,0.5434667811756365,0.47792656003221506,0.06915145656829855,0.1364377786235144,0.20192290133489163,0.21589703924072134,0.0005,0.6503218879592428
magnitude,full_ce,307,2,0.00075,0.6415634691014926,0.5188965342556621,0.04810371296980724,0.05659419499092952,0.18388816858713317,0.23223619298086848,0.00075,0.6467924788083134
magnitude,full_ce,307,3,0.00125,0.6203476735561905,0.5235433003222602,0.06193969030154849,0.06743174631078937,0.18765544822044886,0.2258025028630891,0.00075,0.6514605879843546
magnitude,full_ce,307,4,0.00175,0.5872198252577181,0.4915953600246553,0.05020753965997612,0.10873986183400011,0.18348094446777816,0.23928330682109714,0.001,0.6573800725568728
magnitude,full_ce,307,5,0.0,0.5903468962142343,0.49490097724234383,0.05772256022440818,0.09703552113832946,0.19087854494987308,0.23625128691085798,0.0005,0.660980614854303
magnitude,full_ce,307,6,0.00075,0.6231581315995486,0.5273300875019,0.050501317260855556,0.06719459327016714,0.18165300122349848,0.22533913550581863,0.00075,0.6449015604222951
magnitude,full_ce,401,1,0.00125,0.5864804421550947,0.5185458686936761,0.05660431000170581,0.0633001788518428,0.1860484651485546,0.2055776951710912,0.00125,0.614042509300756
