corpus,architecture,model,parameters,flops_per_flow,params_mb,activations_mb_b256,latency_ms_b1_median,latency_ms_b1_p99,latency_ms_b256_median,latency_ms_b256_p99,size_kb,flops_per_flow_ratio,latency_ms_b1_median_ratio,latency_ms_b256_median_ratio,size_kb_ratio,parameters_ratio,activations_mb_b256_ratio
iomt2024,shallow,random,17175,1340224.0,0.0699,20.579328,0.2361110000492772,0.4719529599765334,13.34655699997711,15.393715630057157,73.6103515625,0.5999255142382398,0.8887144917898386,0.5172774544016884,0.6412171531139146,0.6179168915272532,0.7709747957187248
iomt2024,shallow,magnitude,17655,1328404.0,0.071964,23.098368,0.2339615000437334,0.5086143699122656,18.295855500014113,19.667036879875468,75.2353515625,0.5946345184209019,0.8806238403393326,0.7090992500286525,0.6553724702899969,0.6351861845655693,0.8653469904476925
iomt2024,shallow,taylor,17063,1337372.0,0.069436,20.298752,0.2261235000560191,0.28285882985983307,12.562047499955042,14.584231360006468,72.8603515625,0.5986488712542256,0.8511218511296961,0.48687192905713306,0.6346839298018766,0.6138873898183127,0.7604634211838723
iomt2024,shallow,fisher,16644,1329706.0,0.067712,19.451904,0.23250650008321827,0.3570636000267767,12.44880700005524,13.803640359974452,70.9853515625,0.5952173336962127,0.8751472655495364,0.4824830250481482,0.6183508715217817,0.5988127361036157,0.7287374841753942
iomt2024,shallow,saber_v2,16667,1333448.0,0.067804,19.45088,0.23227499991662626,0.2672192498857839,12.12857499990605,13.805827039893755,71.0478515625,0.5968923680742566,0.8742759060920815,0.4700716747759081,0.6188953067977848,0.5996402230617017,0.7286991214946101
iomt2024,deep,dense,178835,8726912.0,0.71998,55.65952,0.646106999965923,0.7513536201031453,75.70766599997114,84.56472854993532,710.8408203125,1.0,1.0,1.0,1.0,1.0,1.0
iomt2024,deep,random,106681,5230644.0,0.43038,44.418048,0.5946705000496877,1.2630260600076277,42.15533449996656,47.15513239001211,428.7158203125,0.599369398935156,0.920390121266372,0.556817251505054,0.6031108626035684,0.5965331171191322,0.7980314598473002
iomt2024,deep,magnitude,123608,5230748.0,0.497984,35.149824,0.5249499998853935,0.7659312499595209,47.843248500043956,54.65180561013309,494.5908203125,0.5993813160943986,0.8124815238235779,0.6319472125856078,0.6957828056287875,0.6911846115134063,0.6315150400147181
iomt2024,deep,taylor,99680,5229020.0,0.402048,43.055104,0.5226409999750103,0.8817299600832484,41.26915899996675,45.7210060499483,401.1533203125,0.5991833079100602,0.8089078124870578,0.545112023397769,0.5643363589279311,0.5573852992982358,0.7735442921534358
iomt2024,deep,fisher,100583,5225582.0,0.4057,43.029504,0.5225574999485616,0.8651626500113706,40.59010700007093,45.03869047981424,404.6533203125,0.5987893541266373,0.8087785768860611,0.5361426278824446,0.5692601054264248,0.5624346464618224,0.7730843528654218
iomt2024,deep,saber_v2,97117,5235198.0,0.391684,43.108352,0.5642709999165163,1.2152454500392187,40.51781599991955,43.01945849992762,390.6533203125,0.5998912330042975,0.873339864676094,0.5351877576035033,0.5495651194324503,0.5430536528084547,0.7745009658725047
