architecture,seed,unit,eval_b2a,batch_b2a,eval_family_f1,batch_family_f1,eval_awbir,bn_var_max
deep,101,2,0.0005,0.0015,0.5547916834515556,0.5362339512458425,0.12178094123101289,10.002474784851074
deep,101,3,0.0005,0.00275,0.6671304418952393,0.6313704666403415,0.050153837993736766,11.70715045928955
deep,101,4,0.00075,0.00225,0.6017686886194141,0.5602222280622281,0.05990431177214635,11.724178314208984
deep,101,5,0.00025,0.0015,0.6081964780396328,0.5630473918602933,0.07968096154432842,11.716830253601074
deep,101,6,0.0,0.00025,0.6367178589843063,0.5848502129317503,0.06294158960287244,11.630135536193848
deep,211,1,0.0,0.0005,0.6129825979204573,0.5747379747713762,0.06012292806728868,10.379365921020508
deep,211,2,0.0,0.00125,0.5915059704849543,0.5779283924035106,0.03413150971137155,11.001629829406738
deep,211,3,0.0,0.0005,0.6136790714072983,0.5757506965799464,0.037090469887674664,12.207857131958008
deep,211,4,0.00025,0.001,0.606313308666595,0.5624454491201438,0.07307438187553443,13.112011909484863
deep,211,5,0.00025,0.001,0.5695707732326903,0.5403176019370212,0.1427128360358032,12.770670890808105
deep,211,6,0.0095,0.00625,0.5676466587437287,0.5389621675443874,0.10429760480510895,14.138072967529297
deep,307,1,0.0,0.001,0.6334602717996022,0.5754876439110166,0.03897544998050943,11.092811584472656
deep,307,2,0.0005,0.0015,0.5833268591466103,0.5694978613638434,0.06259088606518097,10.021894454956055
deep,307,3,0.0005,0.00075,0.6378118949484504,0.5898500192332481,0.050471452315732745,10.763823509216309
deep,307,4,1.0,0.00075,0.06280955051978267,0.6369733721798706,0.3693532123147337,10.427289962768555
deep,307,5,0.0,0.00025,0.5856772228205072,0.5644878234714521,0.10098053014373849,9.67918872833252
deep,307,6,0.0,0.001,0.6320981440593927,0.5954627311325975,0.06713850829153384,11.647126197814941
deep,401,1,0.0,0.0,0.5778587368439563,0.5545837004175987,0.09308835839131893,11.281658172607422
deep,401,2,0.22575,0.0,0.5239883833438451,0.5640868058145975,0.13430767417199055,12.123311042785645
deep,401,3,0.0,0.0005,0.5680492063392317,0.5610030190086951,0.08189239605814021,13.546354293823242
deep,401,4,0.0,0.0,0.6453299611410516,0.5740148613828719,0.03536553367004164,15.13542366027832
deep,401,5,0.0,0.00075,0.5708011132993625,0.5589092963910601,0.11674874928541885,14.450758934020996
deep,401,6,0.00025,0.0,0.5632669506708211,0.547701596658048,0.08750263083945099,14.204497337341309
deep,503,1,0.00025,0.00125,0.6048149209119833,0.5850202468627512,0.05943345369308903,11.471700668334961
deep,503,2,0.0,0.00125,0.5133575197349025,0.5095384142851508,0.3094470125727332,12.159019470214844
deep,503,3,0.00025,0.00075,0.6600056811000221,0.6299947955154548,0.04338972592795817,12.418756484985352
deep,503,4,0.0,0.002,0.5494139238875644,0.5362685355552611,0.18186254425193066,11.362764358520508
deep,503,5,0.0005,0.0015,0.6381817867583874,0.5877546911094893,0.04468240538233179,11.534551620483398
deep,503,6,0.0,0.0005,0.6149443411272573,0.5643825575783401,0.09253624118557534,10.777729988098145
