group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma
conv.0:out:22,conv.0,0,22,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.9706980243949033,0.6088477978482842,0.4324299842119217,0.12759890747456665,0.7949062585830688
conv.0:out:23,conv.0,0,23,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8931211213221977,1.21799479983747,0.28076932011172173,0.02720482910881401,0.7260613441467285
conv.0:out:24,conv.0,0,24,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7783834970737619,1.6471360921859741,0.7597825369099155,0.16838759380141255,1.0743205547332764
conv.0:out:25,conv.0,0,25,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.19463870785196757,1.4541220664978027,0.6415210457518696,0.1645615904184524,0.9605013132095337
conv.0:out:26,conv.0,0,26,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4667210037270342,1.4074326306581497,0.78637890573591,0.23157926176209004,0.9769754409790039
conv.0:out:27,conv.0,0,27,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.04380376578722878,2.0315816402435303,1.670733878389001,0.8918017137795686,1.009345531463623
conv.0:out:28,conv.0,0,28,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.15428949206754783,0.45621128380298615,1.1852339193224908,0.6309358173981309,1.1670886278152466
conv.0:out:29,conv.0,0,29,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6830489532424546,1.4056220948696136,0.926858925819397,0.3388938259333372,0.8780648112297058
conv.0:out:30,conv.0,0,30,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7447621559078171,1.0291612148284912,0.4443880207836628,0.0804929225705564,0.7226994633674622
conv.0:out:31,conv.0,0,31,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.96750973243421,1.2740278616547585,2.9543844148516656,3.1610536612570286,0.9608610272407532
conv.0:out:32,conv.0,0,32,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.32582535813815194,1.377320408821106,1.0035304725170135,0.34689551368355753,1.2905374765396118
conv.0:out:33,conv.0,0,33,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.3704597060348689,1.5539719462394714,0.4355692667886615,0.05921367714763619,0.6167119741439819
conv.0:out:34,conv.0,0,34,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4695558112758079,1.3108695149421692,2.4209917336702347,2.737160819396377,1.2832354307174683
conv.0:out:35,conv.0,0,35,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.1894713590842857,1.1292619705200195,1.828410729765892,1.2013805240392685,1.072827935218811
conv.0:out:36,conv.0,0,36,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.12992150533547164,0.5832139402627945,1.1917931944131852,0.7162662670016289,1.351496696472168
conv.0:out:37,conv.0,0,37,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.47570492622593374,1.2778262682259083,0.21328686820343137,0.01526826944173081,0.9825890064239502
conv.0:out:38,conv.0,0,38,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.2269093490508841,1.1174318119883537,0.8657696394249796,0.34292140157558604,0.8287664651870728
conv.0:out:39,conv.0,0,39,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6698139946825103,0.84193354845047,0.7133576720952988,0.34000131767243147,0.5953299403190613
conv.0:out:40,conv.0,0,40,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.43715191887233074,0.6248319633305073,0.7335599148645997,0.37105596378678457,0.8990232944488525
conv.0:out:41,conv.0,0,41,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8326781960578374,1.6475170254707336,0.871083976700902,0.2830269355326891,0.7012639045715332
conv.0:out:42,conv.0,0,42,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7002651020022491,0.9431774914264679,2.5273754306137564,5.437041534204036,0.8601136207580566
conv.0:out:43,conv.0,0,43,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.31236664138204107,1.0639359951019287,1.8110647685825825,1.2499951653182506,1.3927580118179321
conv.0:out:44,conv.0,0,44,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8322598013952011,1.1749195158481598,2.5618765160441397,5.165336988866329,0.6462842226028442
conv.0:out:45,conv.0,0,45,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.8047643574968019,0.6116492599248886,0.11088172243908048,0.004441565866181918,1.2208250761032104
conv.0:out:46,conv.0,0,46,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.38747837903017446,1.2607246339321136,0.33960799109190704,0.07789033365843352,0.9873102903366089
conv.0:out:47,conv.0,0,47,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.2883281039302441,1.142763465642929,0.634453272819519,0.16019790996797384,0.6117786765098572
conv.0:out:48,conv.0,0,48,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6824955039749755,1.4063764959573746,1.983818143606186,1.4524422854185104,0.7445203065872192
conv.0:out:49,conv.0,0,49,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.1397524836093098,1.1879028975963593,0.6983386009931565,0.2547089303843677,0.6895734667778015
conv.0:out:50,conv.0,0,50,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.19990820247510832,1.2882537692785263,2.4621453255414965,2.121570685505867,1.0475531816482544
conv.0:out:51,conv.0,0,51,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.007362269751005512,1.2342437207698822,1.8848542973399163,2.0850140562281014,1.0679625272750854
conv.0:out:52,conv.0,0,52,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7869243775021384,1.1873717904090881,1.7575397878885268,1.452685706689954,0.7901851534843445
conv.0:out:53,conv.0,0,53,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6648508565920321,1.1595520377159119,1.6755335301160812,1.0757373247295619,1.5855242013931274
conv.0:out:54,conv.0,0,54,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7051653786263351,1.527812898159027,0.4344661893323064,0.08850245669018478,0.7602196335792542
conv.0:out:55,conv.0,0,55,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7807290310219679,1.0232326984405518,0.9095804369077086,0.3522712902748026,1.2163926362991333
conv.0:out:56,conv.0,0,56,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.45891577553833995,1.050020766677335,2.6264246888225897,3.626179429986587,1.0299267768859863
conv.0:out:57,conv.0,0,57,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.5687411959528937,0.9507971554994583,0.390592279471457,0.11096593349939213,1.1620352268218994
conv.0:out:58,conv.0,0,58,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.13979699812765745,1.3020902872085571,2.8232160061597824,3.538349059224129,1.2558789253234863
conv.0:out:59,conv.0,0,59,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.11453007353597344,1.234090176410973,1.9956237532198429,1.403812515269965,0.923891007900238
conv.0:out:60,conv.0,0,60,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.6684029617904717,1.089952826499939,1.2744029885157944,1.193669925746508,0.4624955356121063
conv.0:out:61,conv.0,0,61,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4710962061431325,0.7737953364849091,0.33684263229370115,0.07618107846938074,1.078052043914795
