group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind
conv.3:out:48,conv.3,1,48,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:49,conv.3,1,49,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:50,conv.3,1,50,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:51,conv.3,1,51,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:52,conv.3,1,52,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:53,conv.3,1,53,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:54,conv.3,1,54,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:55,conv.3,1,55,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:56,conv.3,1,56,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:57,conv.3,1,57,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:58,conv.3,1,58,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:59,conv.3,1,59,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:60,conv.3,1,60,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:61,conv.3,1,61,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:62,conv.3,1,62,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:63,conv.3,1,63,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:64,conv.3,1,64,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:65,conv.3,1,65,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:66,conv.3,1,66,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:67,conv.3,1,67,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:68,conv.3,1,68,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:69,conv.3,1,69,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:70,conv.3,1,70,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:71,conv.3,1,71,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:72,conv.3,1,72,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:73,conv.3,1,73,128,64,3,229,15812.0,conv.5,head,linear_in
conv.3:out:74,conv.3,1,74,128,64,3,229,15812.0,conv.5,head,linear_in
