architecture,method,seed,raw_awbir,is_collapse,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_ece,trained_hsr_balanced,trained_hsr_miss,trained_hsr_fatigue,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_ece,recal_hsr_balanced,recal_hsr_miss,recal_hsr_fatigue
shallow,taylor,1409,0.2886967815441129,False,0.04725,0.02480999222910862,0.637818155707439,0.5404440240452176,0.09944440730961088,0.0968586631261134,0.15570387684666093,0.1333057893999988,0.13495188181369952,0.0245,0.034675233600576186,0.6277010524184937,0.522929325266004,0.10697892621351619,0.11092713506965043,0.1620386771607531,0.14037666709276067,0.13992074651668157
shallow,taylor,1511,0.2886967815441129,False,0.028,0.036494759386668185,0.5925019284696809,0.5415860174222837,0.10970600618480089,0.09681647387178258,0.16194371907014116,0.1405577570412033,0.13880133671773706,0.029,0.035471276131991435,0.602417936153449,0.5445262375420192,0.1089216838162541,0.09517119987542655,0.16036960610653567,0.13907251511111923,0.13771114479282703
shallow,taylor,1607,0.2886967815441129,False,0.0275,0.03185117795341256,0.639679328496624,0.5573945262735098,0.09473744938246054,0.061199731179360325,0.15356549369076533,0.13283480335762068,0.1320319205273826,0.024,0.03137734311328443,0.6377865924865905,0.5523197223917252,0.10015425551676824,0.06267641514252403,0.15414072058581837,0.13327002793959206,0.13268475740033964
shallow,taylor,1709,0.2886967815441129,False,0.013,0.044616288546464246,0.6078216627358727,0.5030356334764501,0.11430028386790964,0.12963569965059946,0.1711710889136429,0.14968834267696599,0.14735943463413742,0.016,0.04162165235685449,0.6159474849272321,0.5137817716889173,0.11303107883955436,0.12497741252750251,0.16874052701740289,0.14715460516304182,0.14540092401526633
shallow,taylor,1801,0.2886967815441129,False,0.083,0.02237448115085006,0.6618565949848376,0.5233348843088343,0.1001155695345064,0.10635606326720554,0.15195668450174393,0.12946561725802427,0.13353207574733844,0.03,0.035964064365724684,0.6386328546891973,0.5204921318150294,0.1045417611561245,0.11293012541771484,0.1627581673088512,0.14113298393625634,0.1408666751885466
shallow,taylor,1907,0.2886967815441129,False,0.03225,0.038428005534390935,0.6636438964871603,0.5676769414785284,0.09947933546740925,0.05371115008157169,0.15600701228976827,0.13588213631355647,0.13433556728328555,0.01725,0.04345065483974906,0.6579258936941333,0.5365086448865736,0.11109355761691517,0.10516483784579156,0.16607987436314164,0.14521968189039644,0.14301875422289584
shallow,taylor,2003,0.2886967815441129,False,0.0115,0.041650082447262184,0.5691192209729219,0.5198681927819875,0.10366224595065923,0.075558024109348,0.16941071200306787,0.1477587455792748,0.14480469677325103,0.018,0.03652318947707587,0.5828086671030523,0.5227952422458056,0.09819234348496073,0.07907142731066696,0.16533299245813626,0.1434780226803747,0.1418975183068242
shallow,fisher,101,0.13486013260172358,False,0.02925,0.0498095183942685,0.6104143168021942,0.5484677007044894,0.11887166099184293,0.08140702598136318,0.16599952520954694,0.1460642610617045,0.14192308394660433,0.025,0.04527018062584106,0.6394206918073498,0.5647385660508166,0.10019058728127475,0.07259106930718194,0.15740216577491278,0.13820967476853965,0.1347528350468399
shallow,fisher,211,0.13486013260172358,False,0.0075,0.05108887246261443,0.6028707332327933,0.5331349056368565,0.11166267615315911,0.09229139848811066,0.17051916509924947,0.1502346560508391,0.14540548930808422,0.01525,0.038200564811129434,0.6261293780992485,0.554912532267693,0.10418315186134018,0.08675444527116224,0.1587370573948613,0.13827587151439893,0.13597268128777779
shallow,fisher,307,0.13486013260172358,False,0.0295,0.03968840620913174,0.6614775030528885,0.5714057986852352,0.08931509303254107,0.05823294719656244,0.15139789266083528,0.1322687070482034,0.1302898047880791,0.0345,0.03849434241200887,0.6649900625255416,0.5775491028491267,0.08551656344992521,0.07005983248957771,0.14846332243750113,0.1295858366355618,0.12789576523438212
shallow,fisher,401,0.13486013260172358,False,0.03825,0.03610621481776312,0.61846335708142,0.544590649107184,0.10218983123020446,0.09019214362861877,0.1574715582257446,0.1366749754995952,0.13564032797063602,0.0295,0.03690225734917837,0.6191842237867886,0.5555179829380802,0.10185141539259479,0.08347343716344244,0.15672467632073922,0.13626029473530432,0.13465513778053723
shallow,fisher,503,0.13486013260172358,False,0.00975,0.04677697541744849,0.6163566200355473,0.5158254239556866,0.130082777776707,0.12644614646660968,0.17279633315680867,0.1514193495370793,0.14836379905407132,0.00875,0.04141316502719812,0.6288827894120397,0.5468633941839021,0.11867708297369436,0.09375951311030811,0.16101239933529338,0.14074721669314535,0.13808367268676613
shallow,fisher,613,0.13486013260172358,False,0.00925,0.048482780841909746,0.6197023781383801,0.5542853808315226,0.10123095989209263,0.0850582119624638,0.16377531454867517,0.14418031689219213,0.13986139771004913,0.024,0.03784992702943462,0.6292747877280954,0.5602240025416685,0.09515816090672828,0.08737341041476133,0.1558061394057815,0.1356972419544323,0.13380599331641133
shallow,fisher,719,0.13486013260172358,False,0.01275,0.041877523170523685,0.6311728529719672,0.5459527871737221,0.09519412235560747,0.06849689557604595,0.15892879969321233,0.1390489277648935,0.136011029747448,0.0225,0.044701578817687306,0.6274357487524793,0.5510547894365886,0.0919585189673281,0.07246996216171378,0.15546830773725825,0.1365296470115593,0.13337502967440332
shallow,fisher,823,0.13486013260172358,False,0.0255,0.03775516006140899,0.5805305529814179,0.5310121519231106,0.11516596352192417,0.09216922444102083,0.16278555906575848,0.14148451148323318,0.1395820017895948,0.017,0.04233240461704668,0.5964600033057215,0.5359535407167171,0.11517188016770553,0.09318648409593881,0.16259199065028032,0.14213582659191762,0.13930625810339475
shallow,fisher,907,0.13486013260172358,False,0.04575,0.030770834517920433,0.6647936257342135,0.5629496440834557,0.09563794896180071,0.07969542054295836,0.15284782965979438,0.13189663568354607,0.13228848998374756,0.03125,0.032827277724076495,0.6433733217836834,0.5570595452349238,0.10065467976367762,0.08687156146568349,0.1553550884753748,0.13444863436874174,0.13399956173188948
shallow,fisher,1013,0.13486013260172358,False,0.02075,0.045004833115369305,0.6293585581890642,0.551714731047035,0.10144830609069096,0.08848810019668522,0.15749894998265188,0.13828652386430731,0.1350997973009989,0.04025,0.03786888042303974,0.6119317908364603,0.5424905649891842,0.10196323546559415,0.08963931753254274,0.15671919796935777,0.13631279560270995,0.134957360165081
shallow,fisher,1109,0.13486013260172358,False,0.009,0.03852277250241656,0.6532658085513247,0.5512369269649069,0.10913661921417434,0.0769895697631148,0.15610379649750733,0.13619029357876347,0.1340260404302332,0.0115,0.03473209378139156,0.6563060528886921,0.5581125716836988,0.1098581748251205,0.08239344168615803,0.15104910428954915,0.13134651789899138,0.12992001606983072
shallow,fisher,1201,0.13486013260172358,False,0.04175,0.04421826728075662,0.6322542784174056,0.523253125113416,0.11583597623306291,0.10114265679126803,0.16718832745932324,0.14604295636188772,0.14417742554007412,0.05625,0.03427721233486856,0.6468014210128339,0.5548347399311678,0.10444535094114189,0.08728614587539418,0.15242782272054928,0.13201381153253836,0.13200452877047536
shallow,fisher,1303,0.13486013260172358,False,0.012,0.04626523379011012,0.6296799018601161,0.5591353230638244,0.09467173688522308,0.07476736207327904,0.16235094318949617,0.1426121388092499,0.13872920509121456,0.01625,0.04463524194006937,0.634294735691826,0.5619979121155204,0.09206796212779604,0.0810314916577018,0.1609229195960629,0.14112157070421164,0.13765636127901243
shallow,fisher,1409,0.13486013260172358,False,0.08625,0.020412804912719622,0.6287160858709862,0.5513144427708235,0.09916052316667248,0.07381699607439993,0.14641259290370884,0.12450086131857831,0.12771863187304833,0.02225,0.04038968177252137,0.623014563840321,0.5440822570349356,0.10538947409601222,0.08652211490415156,0.1595295922280455,0.13922393065624564,0.1368391738646117
shallow,fisher,1511,0.13486013260172358,False,0.03825,0.03615359830177593,0.5890088546232427,0.5369429615759495,0.1045129498341014,0.09603874570083251,0.15885758112525336,0.13783760340388232,0.13665564909333286,0.03475,0.03772672997100131,0.6161976629777748,0.5372802199503479,0.10759494594651267,0.0991292751975326,0.1608151786855609,0.13975350462311986,0.13831832873760525
shallow,fisher,1607,0.13486013260172358,False,0.0105,0.04691912586948693,0.6124483460643803,0.5479911073083807,0.09376075918017085,0.07785520178893846,0.1597487262833038,0.1405623223340212,0.13649129855188913,0.01875,0.0372244650404655,0.6256086119514902,0.5479072652856211,0.09522477263232762,0.07511998975350505,0.15362758167308851,0.1338292763097825,0.13192509267544422
shallow,fisher,1709,0.13486013260172358,False,0.0285,0.03824794829514225,0.6430926245294925,0.5614547626920023,0.08913791363128892,0.08123138392073141,0.15534595788973904,0.13533658382181965,0.1336334252478954,0.032,0.04049392543734956,0.632240503094272,0.5532678214172085,0.09908563079331516,0.08861885654268621,0.16001168714961378,0.1395533926212694,0.13767918774310184
