architecture,normalisation,metric,contrast,mean,ci_lo,ci_hi,half_width,p,p_holm,significant_holm
shallow,recal,b2a,random-saber_v2,0.0070125,0.0016584572045741583,0.012366542795425841,0.005354042795425841,0.012975811013756295,0.10380648811005036,False
shallow,recal,b2a,magnitude-taylor,0.0084375,0.0037470716880322235,0.013127928311967779,0.004690428311967777,0.0013100886331898695,0.011790797698708826,True
shallow,recal,b2a,magnitude-fisher,0.0044875,-0.0013396620636428472,0.010314662063642847,0.005827162063642847,0.12348436467931673,0.4939374587172669,False
shallow,recal,b2a,magnitude-saber_v2,0.005175000000000001,0.0008352944025677069,0.009514705597432295,0.004339705597432294,0.021929842651075993,0.15350889855753194,False
shallow,recal,b2a,taylor-fisher,-0.00395,-0.00833586528037339,0.00043586528037339,0.00438586528037339,0.0748160391877435,0.44889623512646104,False
shallow,recal,b2a,taylor-saber_v2,-0.0032625,-0.00758579995358857,0.00106079995358857,0.00432329995358857,0.13073421607366467,0.4939374587172669,False
shallow,recal,b2a,fisher-saber_v2,0.0006875000000000004,-0.006026109049883899,0.0074011090498839,0.0067136090498839,0.8325702005850737,1.0,False
shallow,recal,family_f1,random-magnitude,-0.0015333155020684718,-0.007754769796983937,0.004688138792846993,0.006221454294915465,0.6119179141668303,1.0,False
shallow,recal,family_f1,random-taylor,-0.0024809025469206326,-0.01142963151479103,0.006467826420949766,0.008948728967870398,0.5685579304018786,1.0,False
shallow,recal,family_f1,random-fisher,-0.010933334708236136,-0.02005742023873784,-0.001809249177734432,0.009124085530501704,0.021374060478346675,0.19236654430512007,False
shallow,recal,family_f1,random-saber_v2,-0.003709488644412157,-0.01383756543541512,0.0064185881465908074,0.010128076791002964,0.4527475262887548,1.0,False
shallow,recal,family_f1,magnitude-taylor,-0.0009475870448521606,-0.009340476929007425,0.0074453028393031044,0.008392889884155265,0.8157210601764726,1.0,False
shallow,recal,family_f1,magnitude-fisher,-0.009400019206167665,-0.018461881963119788,-0.0003381564492155424,0.009061862756952123,0.04279526472268762,0.34236211778150094,False
shallow,recal,family_f1,magnitude-saber_v2,-0.0021761731423436846,-0.01100361351970465,0.0066512672350172814,0.008827440377360966,0.6118210194447313,1.0,False
shallow,recal,family_f1,taylor-fisher,-0.008452432161315504,-0.014518469605063838,-0.002386394717567169,0.006066037443748335,0.008853113721281922,0.08853113721281922,False
shallow,recal,family_f1,taylor-saber_v2,-0.0012285860974915242,-0.009547703817567543,0.007090531622584495,0.008319117720076019,0.76060751159844,1.0,False
shallow,recal,family_f1,fisher-saber_v2,0.00722384606382398,-0.0019989599913618726,0.016446652119009832,0.009222806055185852,0.11758678316334423,0.8231074821434096,False
deep,trained,awbir,random-magnitude,0.015161699740907484,7.265846846708432e-06,0.03031613363496826,0.015154433894060775,0.04990084591869981,0.4990084591869981,False
deep,trained,awbir,random-taylor,0.017807643744356963,-0.0061943108429500515,0.04180959833166398,0.024001954587307014,0.13695364662826104,0.9586755263978273,False
deep,trained,awbir,random-fisher,0.02113579929431704,-0.0022375278585215243,0.0445091264471556,0.023373327152838564,0.0737398043230047,0.6636582389070422,False
deep,trained,awbir,random-saber_v2,0.012371479433251153,-0.0025102220394344916,0.0272531809059368,0.014881701472685645,0.09803669786894338,0.784293582951547,False
deep,trained,awbir,magnitude-taylor,0.0026459440034494776,-0.02121453333430383,0.026506421341202784,0.023860477337753306,0.8189416901276239,1.0,False
deep,trained,awbir,magnitude-fisher,0.005974099553409556,-0.015536346198133629,0.027484545304952743,0.021510445751543185,0.5678737640360455,1.0,False
deep,trained,awbir,magnitude-saber_v2,-0.0027902203076563357,-0.019246134252423087,0.013665693637110414,0.01645591394476675,0.7265827042581483,1.0,False
deep,trained,awbir,taylor-fisher,0.003328155549960077,-0.013973008945729802,0.020629320045649956,0.01730116449568988,0.691716941740472,1.0,False
deep,trained,awbir,taylor-saber_v2,-0.005436164311105811,-0.02626584366180202,0.015393515039590397,0.02082967935069621,0.5912575734414429,1.0,False
deep,trained,awbir,fisher-saber_v2,-0.008764319861065888,-0.028166210639941937,0.01063757091781016,0.01940189077887605,0.3562878908035598,1.0,False
deep,trained,hsr_balanced,random-magnitude,0.022377695805408937,0.019050601116648812,0.02570479049416906,0.003327094688760126,1.671995460121179e-11,1.6719954601211792e-10,True
deep,trained,hsr_balanced,random-taylor,0.01404704077719544,0.010322324704401156,0.017771756849989724,0.003724716072794284,2.0441635551645948e-07,1.4309144886152163e-06,True
deep,trained,hsr_balanced,random-fisher,0.013326272347108342,0.010036996685958954,0.01661554800825773,0.0032892756611493878,6.981941709311154e-08,5.585553367448923e-07,True
deep,trained,hsr_balanced,random-saber_v2,0.005842113913186382,0.0023824579747136437,0.00930176985165912,0.003459655938472738,0.0022155614569869704,0.004431122913973941,True
deep,trained,hsr_balanced,magnitude-taylor,-0.008330655028213499,-0.012801333922011736,-0.003859976134415262,0.0044706788937982364,0.0009625079574960032,0.003626317401847518,True
deep,trained,hsr_balanced,magnitude-fisher,-0.009051423458300593,-0.012339024070624337,-0.005763822845976849,0.0032876006123237433,1.4917322268456974e-05,8.950393361074184e-05,True
deep,trained,hsr_balanced,magnitude-saber_v2,-0.016535581892222557,-0.019051474072495807,-0.014019689711949309,0.002515892180273248,2.4972120102248023e-11,2.247490809202322e-10,True
deep,trained,hsr_balanced,taylor-fisher,-0.0007207684300870945,-0.003954884315664126,0.002513347455489936,0.0032341158855770306,0.64619012466039,0.64619012466039,False
deep,trained,hsr_balanced,taylor-saber_v2,-0.008204926864009057,-0.01257874107967751,-0.003831112648340603,0.004373814215668454,0.0009065793504618795,0.003626317401847518,True
deep,trained,hsr_balanced,fisher-saber_v2,-0.007484158433921961,-0.010751208506604987,-0.004217108361238935,0.003267050072683026,0.00012595945776674224,0.0006297972888337112,True
deep,trained,b2a,random-magnitude,-0.0014750000000000002,-0.002073893881300895,-0.0008761061186991055,0.0005988938813008946,5.6321611842690646e-05,0.00039425128289883454,True
deep,trained,b2a,random-taylor,0.0002375,-9.229114355105582e-05,0.0005672911435510558,0.0003297911435510558,0.14818179224066402,0.8890907534439841,False
deep,trained,b2a,random-fisher,0.00015000000000000001,-0.0003108782036880921,0.0006108782036880921,0.0004608782036880921,0.5039590803541777,1.0,False
deep,trained,b2a,random-saber_v2,0.0001875,-0.00019187248027500113,0.0005668724802750011,0.00037937248027500114,0.3139134993958903,1.0,False
deep,trained,b2a,magnitude-taylor,0.0017125,0.0011289926731293542,0.002296007326870646,0.0005835073268706458,6.64131070837615e-06,5.977179637538535e-05,True
