method,seed,parameters,raw_awbir,raw_hsr_balanced,trained_b2a,trained_a2b,trained_family_f1,trained_fine_f1,trained_awbir,trained_hsr_balanced,recal_b2a,recal_a2b,recal_family_f1,recal_fine_f1,recal_awbir,recal_hsr_balanced
magnitude,1511,123608,0.476048178282363,0.5111372044394402,0.06125,0.025958397799553033,0.7722517869058816,0.6692235163206948,0.16572413762908972,0.14991153289367862,0.06425,0.025356713082344853,0.778688608702402,0.6747533812979026,0.14638855803251616,0.1469454720926492
magnitude,1607,123608,0.476048178282363,0.5111372044394402,0.068,0.026336599621798178,0.7911761722959323,0.6903205569412504,0.11900207758207329,0.14597394241595624,0.07175,0.024772219357056903,0.7991883702129843,0.7025077490719871,0.09765030855203663,0.1389705645809876
magnitude,1709,123608,0.476048178282363,0.5111372044394402,0.0595,0.026542891524840982,0.7922044332459635,0.6555350035577683,0.18320078569791465,0.14423033617500403,0.05775,0.025872442839951864,0.7982353933505525,0.6798762173139634,0.15956709633332694,0.14086215216342288
magnitude,1801,123608,0.476048178282363,0.5111372044394402,0.05525,0.0272133402097301,0.7967175570880611,0.6800880359068661,0.1653318419028997,0.14217468232266367,0.0535,0.027282104177411035,0.8004296234629998,0.6950403243514606,0.14261576761546566,0.13774167604954157
magnitude,1907,123608,0.476048178282363,0.5111372044394402,0.04925,0.02920749527247722,0.7861478932723687,0.701367708700409,0.1199879964070359,0.14379926009329258,0.05675,0.02784940691077875,0.7877273780505777,0.7047363530717137,0.1100855884249236,0.14191088949654174
magnitude,2003,123608,0.476048178282363,0.5111372044394402,0.056,0.027625924015815713,0.7769535070680926,0.6717205483152002,0.17587424241794364,0.14878880488981824,0.05625,0.02735086814509197,0.7769003902989385,0.6752822644143744,0.16764821855557063,0.14803281325398102
taylor,101,99680,0.11724929716439823,0.14337783496863438,0.041,0.028416709644146467,0.7966992979106386,0.6985629606136411,0.10360592320135917,0.14060801029435419,0.04425,0.026542891524840982,0.8006681524396441,0.7044602800832414,0.09218467419995784,0.13865208299823067
taylor,211,99680,0.11724929716439823,0.14337783496863438,0.05525,0.025700532920749527,0.7843059006616463,0.6773143788672716,0.16708875618771002,0.1486890783336014,0.049,0.02669761045212309,0.81644510218443,0.723112866873648,0.08986757360406626,0.1277014637284864
taylor,307,99680,0.11724929716439823,0.14337783496863438,0.059,0.021488739900292247,0.8297987944095429,0.7405173446140524,0.06268943665488373,0.1195785748753418,0.057,0.022262334536702767,0.8117100935803455,0.7100995505849005,0.10252088157370212,0.13404535949815025
taylor,401,99680,0.11724929716439823,0.14337783496863438,0.04725,0.024187725631768953,0.8238107586654878,0.7388680897803168,0.04766350954086172,0.12057262345182565,0.05,0.0233969400034382,0.8226488023219414,0.7390353511931987,0.05133740080580249,0.12035708541096993
taylor,503,99680,0.11724929716439823,0.14337783496863438,0.04775,0.025012893243940175,0.7837408643564703,0.6754584893600677,0.18684684410557917,0.14885957857487536,0.053,0.0234485129791989,0.8204501050486597,0.7286627964581263,0.09649319629738763,0.12581631011741998
taylor,613,99680,0.11724929716439823,0.14337783496863438,0.04375,0.027110194258208698,0.7774005230813726,0.6713434169499211,0.18163472742252482,0.15280682000965096,0.044,0.02697266632284683,0.8215771929053955,0.7390231069865351,0.04127377917150478,0.12405661894804568
taylor,719,99680,0.11724929716439823,0.14337783496863438,0.04275,0.028605810555269038,0.7926368302731882,0.6929899244137608,0.11958151082496456,0.14362232588064983,0.04225,0.028691765514870207,0.7897642512905966,0.6891973873244291,0.12465647012273837,0.14649831108251568
taylor,823,99680,0.11724929716439823,0.14337783496863438,0.04575,0.026456936565239814,0.7975906291409487,0.6954116694298839,0.13373529168442233,0.13971047128840278,0.056,0.023035929173113288,0.8148460104597506,0.7195131220146148,0.09376040986778894,0.13006594820653047
taylor,907,99680,0.11724929716439823,0.14337783496863438,0.048,0.025786487880350695,0.7890341567655729,0.6835688201326517,0.1626242365449108,0.1454206208782371,0.0495,0.02611311672683514,0.7940861705956,0.6965415778682519,0.1297476614661895,0.14121923757439278
taylor,1013,99680,0.11724929716439823,0.14337783496863438,0.07575,0.01810211449200619,0.8075281241579891,0.6888157171303037,0.1538175676795918,0.1364162779475631,0.0755,0.018669417225373904,0.822363153641326,0.719242509908965,0.10651088904665895,0.12315264597072544
taylor,1109,99680,0.11724929716439823,0.14337783496863438,0.054,0.023070311156953755,0.8099366731178882,0.7217832532658246,0.09966381796110736,0.12846710632137687,0.05475,0.02272649131854908,0.8051492921168757,0.7165726573520652,0.1056782737120681,0.13348560398906223
taylor,1201,99680,0.11724929716439823,0.14337783496863438,0.05175,0.023173457108475157,0.7826397679184284,0.6682772935017605,0.187225164709982,0.15041016567476276,0.054,0.022692109334708613,0.7916255319897728,0.6825822926919819,0.16148387680025705,0.1447675727843011
taylor,1303,99680,0.11724929716439823,0.14337783496863438,0.043,0.028365136668385766,0.8201486100832325,0.7395555641915067,0.08582860192691097,0.12284703233070612,0.04275,0.028210417741103663,0.7948353133353941,0.6972285122953277,0.11891607665971335,0.1434228727682162
taylor,1409,99680,0.11724929716439823,0.14337783496863438,0.04575,0.023740759841842873,0.8159087880405806,0.7256702715980866,0.07089334468011652,0.12975711758082678,0.0445,0.0246690734055355,0.7976062618887733,0.6966080249963408,0.12881136678008723,0.14003860382821295
taylor,1511,99680,0.11724929716439823,0.14337783496863438,0.05825,0.021677840811414818,0.7970043712756286,0.6999485741894965,0.11865758788370209,0.13840115811484638,0.05475,0.02276087330238955,0.7951224712933187,0.7063504715635228,0.08675982684141532,0.13756474183689882
taylor,1607,99680,0.11724929716439823,0.14337783496863438,0.061,0.020697954271961493,0.7923595255969845,0.6947474546587177,0.14226362258622463,0.1418079459546405,0.06175,0.021024583118445933,0.8014350401182785,0.7103537221227532,0.11930125031328404,0.13499115328936787
taylor,1709,99680,0.11724929716439823,0.14337783496863438,0.04725,0.024015815712566616,0.82177756915251,0.73162133278074,0.09178335753433454,0.12427537397458581,0.05425,0.022279525528623,0.8252905166487922,0.7335268387006536,0.051017124934648966,0.12362554286633425
taylor,1801,99680,0.11724929716439823,0.14337783496863438,0.0495,0.025098848203541343,0.8045621440562156,0.6995525743405482,0.10873974093073197,0.13830143155862956,0.0455,0.02662884648444215,0.8061386391692885,0.7003484179981614,0.12676614408195672,0.13741997748110021
taylor,1907,99680,0.11724929716439823,0.14337783496863438,0.046,0.025511432009626956,0.8060714537111046,0.7361100670854805,0.04490090704589174,0.12865047450538844,0.045,0.02747120508853361,0.8021141788800135,0.7332844867698626,0.06807694138814276,0.12991796686504745
taylor,2003,99680,0.11724929716439823,0.14337783496863438,0.04775,0.023568849922640536,0.7792554364181413,0.6708685109824469,0.1702358880318188,0.14777867138491235,0.04925,0.02308750214887399,0.783733827840234,0.6794503992325115,0.1563746592020419,0.14449734598681035
fisher,101,100583,0.11886500845455036,0.14292102300144766,0.04625,0.025253567130823447,0.8221295340740983,0.7399317542154605,0.056130624699428346,0.12129966221650315,0.04625,0.025116039195461577,0.8005510981236132,0.7050291886474812,0.09020137990327853,0.13822100691651923
fisher,211,100583,0.11886500845455036,0.14292102300144766,0.0455,0.026817947395564725,0.7857022046715306,0.6775435818832847,0.14624561256569057,0.15077046807141709,0.04475,0.02802131682998109,0.8116203179882496,0.7181677501788586,0.07892957162969694,0.13203152645970725
fisher,307,100583,0.11886500845455036,0.14292102300144766,0.05175,0.02394705174488568,0.8386503072226962,0.7605867463068959,0.04309317376212223,0.10812288885314461,0.055,0.02336255801959773,0.8161654230214097,0.7293178682551797,0.05942373871555648,0.12926170178542706
fisher,401,100583,0.11886500845455036,0.14292102300144766,0.04675,0.02389547876912498,0.8107997715871704,0.720720618168624,0.08431779007307216,0.1301624577770629,0.04675,0.0235000859549596,0.8102971696225283,0.7237561548902928,0.061524387046829845,0.13143960109377512
fisher,503,100583,0.11886500845455036,0.14292102300144766,0.052,0.02389547876912498,0.804864045191333,0.7031865311608574,0.14943648378414298,0.1387775454399228,0.051,0.024462781502492693,0.8186027194094766,0.7272202166739614,0.10191858007776787,0.12669776419494932
fisher,613,100583,0.11886500845455036,0.14292102300144766,0.0475,0.025356713082344853,0.7585586843679448,0.6488172251110523,0.2149058556366142,0.1627955605597555,0.043,0.02707581227436823,0.7889554048040809,0.6840504431660029,0.13245848056983997,0.14762425607206048
fisher,719,100583,0.11886500845455036,0.14292102300144766,0.044,0.026989857314767062,0.7886014178670083,0.6872458584835969,0.1300667278308818,0.14562007399067073,0.04625,0.026869520371325426,0.828394041655192,0.7452713897201383,0.06121811658739056,0.11456972816470967
fisher,823,100583,0.11886500845455036,0.14292102300144766,0.0535,0.02394705174488568,0.7909865423817752,0.6817023945178828,0.16228873399278662,0.14294997587260735,0.06125,0.02155750386797318,0.8298945004248162,0.7386614513937001,0.0959925640084409,0.11450217146533699
fisher,907,100583,0.11886500845455036,0.14292102300144766,0.04875,0.025700532920749527,0.8096904306709871,0.716728256621577,0.09918442196678676,0.13181598841885153,0.049,0.025150421179302045,0.8043253158751237,0.6996272494212908,0.11759555663467527,0.1363648061766125
