group_id,module_path,channel_index,magnitude,taylor,fisher,sbl_raw,saber_v2,random
conv.7:out:39,conv.7,39,30.929901245981455,0.040976741482113964,0.00021468939684887706,1.5515718877907716,0.0023654215915329515,0.5369720795717926
conv.7:out:40,conv.7,40,26.41343429684639,0.015434698909263855,3.249223509618734e-05,0.8789626225119986,0.0008524041771289915,0.4510388861713912
conv.7:out:41,conv.7,41,29.4617638271302,0.04593341843922296,0.00021390114185703503,1.0273525632645886,0.0012786062656934872,0.9572943672535373
conv.7:out:42,conv.7,42,27.717941038310528,0.031272564542598504,5.961732748755964e-05,1.3916857620312169,0.002194940756107153,0.9541513368666424
conv.7:out:43,conv.7,43,25.965468041598797,0.04028333980528416,0.0002847431465811824,1.1490366108283538,0.001683498249829758,0.7965461104684304
conv.7:out:44,conv.7,44,26.374591425061226,0.06230318440147968,0.0004293245814569849,1.602008654770844,0.0024080418003894007,0.6715876339807033
conv.7:out:45,conv.7,45,27.889565587043762,0.08447919360670682,0.0006884762317376289,1.129802982198029,0.0016408780409733086,0.8450230915683464
conv.7:out:46,conv.7,46,27.523037798702717,0.0281534100849823,0.00013200890876359568,1.0846860648537118,0.0014703972055475102,0.9387518284798846
conv.7:out:47,conv.7,47,30.73325127363205,0.026327368390285953,6.540774700191633e-05,0.4201119265334811,0.00012786062656934872,0.022617728887002753
conv.7:out:48,conv.7,48,29.131408400833607,0.010007669107962159,3.627879880019238e-06,0.607482186079428,0.00025572125313869744,0.1181052271508587
conv.7:out:49,conv.7,49,27.647866867482662,0.050710985743884864,0.0003507339015687796,0.7209736971627192,0.00040489198413627095,0.3602638846836431
conv.7:out:50,conv.7,50,25.05451926589012,0.1482079080926951,0.003573200815038437,1.8273368737160622,0.0025359024269587496,0.09358685304259973
conv.7:out:51,conv.7,51,23.8939970433712,0.012837964674129232,1.9573899007996787e-05,1.075912333538097,0.0014490871011192854,0.5995244730532772
conv.7:out:52,conv.7,52,28.67143054306507,0.04003775896886737,0.00019278805854534503,0.7775244858987904,0.0005327526107056197,0.26036422234810863
conv.7:out:53,conv.7,53,16.701238952577114,0.0003753433147086649,1.6969927217817744e-08,0.039948623497585385,4.262020885644957e-05,0.2643397291323255
conv.7:out:54,conv.7,54,28.249410312622786,0.04229757596601189,0.0001655521787479092,1.003855399803257,0.0011720557435523633,0.2883279886478656
conv.7:out:55,conv.7,55,26.042271271348,0.0658084401216918,0.00044983947263566953,0.8167483980069633,0.0006819233417031932,0.09771565758439005
conv.7:out:56,conv.7,56,29.259555473923683,0.020234596364857537,2.2087300153823888e-05,1.1538180022683553,0.0017261184586862077,0.7409444532381589
conv.7:out:57,conv.7,57,28.10473693907261,0.0022827310432472943,2.425446185765173e-07,6.060907422537883,0.002706383262384548,0.6506724295996501
conv.7:out:58,conv.7,58,27.5029453933239,0.059736217865088294,0.0003758326271416618,0.9396996729005004,0.0009376445948418907,0.6065080906412624
conv.7:out:59,conv.7,59,23.623973831534386,0.010028589774713614,4.781140948024491e-06,2.233844489870442,0.002663763053528098,0.03404558227777543
conv.7:out:60,conv.7,60,28.225010577589273,0.05759794688620312,0.00027253648413177675,1.9662587561636555,0.0025785226358151993,0.4294641446388775
conv.7:out:61,conv.7,61,28.875777697190642,0.04176077709980639,0.00012623809964517208,0.9821820865903231,0.0010441951169830146,0.6852035898998426
conv.7:out:62,conv.7,62,28.637174267321825,0.006272620758823777,2.0348517113649967e-06,0.7661780593806906,0.00049013240184917,0.15634664990358638
conv.7:out:63,conv.7,63,29.358071234077215,0.02553371170136156,4.5153160116810116e-05,1.1143912021108942,0.001598257832116859,0.3856578446575508
conv.7:out:64,conv.7,64,28.547763623297215,0.036856857322495884,0.00010611490290981311,0.8088691607947492,0.0006393031328467436,0.019834145469936892
conv.7:out:65,conv.7,65,29.278801128268242,0.03421553484698485,0.0001276609162500682,1.1406914319158312,0.0016621881454015333,0.08185799707724206
conv.7:out:66,conv.7,66,28.371506072580814,0.03151822848633827,6.19243694018797e-05,0.904240111216808,0.000895024385985441,0.2164535799990539
conv.7:out:67,conv.7,67,29.35205975919962,0.049218092246947266,0.00024097393087249417,0.7620836791458256,0.0004688222974209453,0.41465016114124864
conv.7:out:68,conv.7,68,29.531757935881615,0.05007484285267196,0.0001967619442714669,1.3832548548576247,0.002173630651678928,0.46324003628737986
conv.7:out:69,conv.7,69,30.964959651231766,0.07958966847476319,0.000979087756568857,0.904302612463425,0.0009163344904136658,0.884521531618113
conv.7:out:70,conv.7,70,28.11136182025075,0.03125564267076797,0.00011643288948330786,0.9797767999646013,0.0010228850125547897,0.3166584421740133
conv.7:out:71,conv.7,71,27.903279349207878,0.1624534699502437,0.004845025416109901,1.8163519717575212,0.002514592322530525,0.021463876277191374
conv.7:out:72,conv.7,72,23.53461442887783,0.0392847195940425,0.00023264666241391897,1.4969547737726872,0.002301491278248277,0.8262233467711652
conv.7:out:73,conv.7,73,27.070061456412077,0.02340144037867766,4.3610917317834564e-05,1.004109553612288,0.0011933658479805881,0.061846935373572776
conv.7:out:74,conv.7,74,25.413107872009277,0.015722076248482254,1.5779918457672657e-05,0.9601798327313246,0.001001574908126565,0.09299199266222835
conv.7:out:75,conv.7,75,30.950970381498337,0.030804496280861748,0.00010696746265602053,1.0868592886231823,0.001491707309975735,0.963181716739735
conv.7:out:76,conv.7,76,27.80991205573082,0.009093176498285426,4.2973312607732215e-06,1.4046494962594636,0.0022162508605353777,0.7533654181283584
conv.7:out:77,conv.7,77,28.614876873791218,0.02597680599187129,4.091477360889805e-05,1.1513455879063268,0.001704808354257983,0.33785420277925504
conv.7:out:78,conv.7,78,27.061464607715607,0.06890995972621568,0.0006185292069434897,1.1623715095159066,0.0017687386675426572,0.13217884161919569
conv.7:out:79,conv.7,79,29.450837276875973,0.08583104622538258,0.000998601188154001,1.0935825025733896,0.0015343275188321845,0.38673057317186155
conv.7:out:80,conv.7,80,22.411485582590103,0.10462555109910184,0.006469873044601638,0.8413613725612171,0.0007458536549878675,0.33919489278017356
conv.7:out:81,conv.7,81,25.1278237067163,0.022778702233799207,4.0399031620816626e-05,0.5396057040463238,0.00019179093985402306,0.8744412014424732
conv.7:out:82,conv.7,82,28.44552445411682,0.037015394444542694,0.00014203218846134362,0.7754995062215773,0.0005114425062773949,0.41875301731404
conv.7:out:83,conv.7,83,29.498285725712776,0.026008395465180457,3.8212998381339894e-05,1.3482074592250088,0.0021523205472507036,0.08204500601562204
conv.7:out:84,conv.7,84,30.514237850904465,0.02969444487992732,6.410382263762278e-05,1.0526603234939598,0.0014277769966910606,0.9268052023585862
conv.7:out:85,conv.7,85,27.815388031303883,0.056071024811266,0.0005530157206595657,0.8041018429531163,0.0005966829239902941,0.6223133637152601
conv.7:out:86,conv.7,86,28.493299260735512,0.014694414080361184,1.1690686627988567e-05,0.9872167712352258,0.0011294355346959137,0.11670985678100221
