filters,seed,dose,cell,live_filters,surviving_input_weights,conv.0,conv.3,head,prunable_sparsity,remaining_nonzero_prunable
32,3,0.802,f32_conv0dose802_paired,19,19,0.8020833730697632,0.7999674677848816,0.8000919222831726,0.8000119502868069,3347
32,3,0.896,f32_conv0dose896_paired,10,10,0.8958333730697632,0.7999674677848816,0.8000919222831726,0.8005497131931166,3338
32,4,0.0,f32_conv0dose0_paired,32,96,0.0,0.7999674677848816,0.8000919222831726,0.7954110898661568,3424
32,4,0.5,f32_conv0dose500_paired,30,48,0.5,0.7999674677848816,0.8000919222831726,0.7982791586998088,3376
32,4,0.604,f32_conv0dose604_paired,28,38,0.6041666865348816,0.7999674677848816,0.8000919222831726,0.798876673040153,3366
32,4,0.802,f32_conv0dose802_paired,18,19,0.8020833730697632,0.7999674677848816,0.8000919222831726,0.8000119502868069,3347
32,4,0.896,f32_conv0dose896_paired,9,10,0.8958333730697632,0.7999674677848816,0.8000919222831726,0.8005497131931166,3338
128,0,0.0,f128_conv0dose0_paired,128,384,0.0,0.8000081777572632,0.8000919222831726,0.7943141330166271,11084
128,0,0.5,f128_conv0dose500_paired,116,192,0.5,0.8000081777572632,0.8000919222831726,0.7978770783847982,10892
128,0,0.75,f128_conv0dose750_paired,83,96,0.75,0.8000081777572632,0.8000919222831726,0.7996585510688836,10796
128,0,0.901,f128_conv0dose901_paired,38,38,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8007348574821853,10738
128,0,0.951,f128_conv0dose951_paired,19,19,0.9505208730697632,0.8000081777572632,0.8000919222831726,0.8010874406175772,10719
128,1,0.0,f128_conv0dose0_paired,128,384,0.0,0.8000081777572632,0.8000919222831726,0.7943141330166271,11084
128,1,0.5,f128_conv0dose500_paired,112,192,0.5,0.8000081777572632,0.8000919222831726,0.7978770783847982,10892
128,1,0.75,f128_conv0dose750_paired,82,96,0.75,0.8000081777572632,0.8000919222831726,0.7996585510688836,10796
128,1,0.901,f128_conv0dose901_paired,38,38,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8007348574821853,10738
128,1,0.951,f128_conv0dose951_paired,19,19,0.9505208730697632,0.8000081777572632,0.8000919222831726,0.8010874406175772,10719
128,2,0.0,f128_conv0dose0_paired,128,384,0.0,0.8000081777572632,0.8000919222831726,0.7943141330166271,11084
128,2,0.5,f128_conv0dose500_paired,119,192,0.5,0.8000081777572632,0.8000919222831726,0.7978770783847982,10892
128,2,0.75,f128_conv0dose750_paired,83,96,0.75,0.8000081777572632,0.8000919222831726,0.7996585510688836,10796
128,2,0.901,f128_conv0dose901_paired,38,38,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8007348574821853,10738
128,2,0.951,f128_conv0dose951_paired,19,19,0.9505208730697632,0.8000081777572632,0.8000919222831726,0.8010874406175772,10719
128,3,0.0,f128_conv0dose0_paired,128,384,0.0,0.8000081777572632,0.8000919222831726,0.7943141330166271,11084
128,3,0.5,f128_conv0dose500_paired,114,192,0.5,0.8000081777572632,0.8000919222831726,0.7978770783847982,10892
128,3,0.75,f128_conv0dose750_paired,80,96,0.75,0.8000081777572632,0.8000919222831726,0.7996585510688836,10796
128,3,0.901,f128_conv0dose901_paired,37,38,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8007348574821853,10738
128,3,0.951,f128_conv0dose951_paired,19,19,0.9505208730697632,0.8000081777572632,0.8000919222831726,0.8010874406175772,10719
128,4,0.0,f128_conv0dose0_paired,128,384,0.0,0.8000081777572632,0.8000919222831726,0.7943141330166271,11084
128,4,0.5,f128_conv0dose500_paired,116,192,0.5,0.8000081777572632,0.8000919222831726,0.7978770783847982,10892
128,4,0.75,f128_conv0dose750_paired,82,96,0.75,0.8000081777572632,0.8000919222831726,0.7996585510688836,10796
128,4,0.901,f128_conv0dose901_paired,37,38,0.9010416865348816,0.8000081777572632,0.8000919222831726,0.8007348574821853,10738
128,4,0.951,f128_conv0dose951_paired,19,19,0.9505208730697632,0.8000081777572632,0.8000919222831726,0.8010874406175772,10719
