arch,seed,dose,class,M0_test_recall,compressed_test_recall,recall_loss,validation_2sd_band,material_and_beyond_band
cnn1d,0,0.8,DDoS-ICMP_Flood,0.997904339250493,0.9977194280078896,0.00018491124260344716,0.0012315082587516983,False
cnn1d,0,0.8,DDoS-RSTFINFlood,0.9991676080623105,0.9987514120934657,0.00041619596884479026,0.0010455514158798306,False
cnn1d,0,0.8,DDoS-TCP_Flood,0.6484739049394221,0.008853681267474371,0.6396202236719478,0.23415091411258288,True
cnn1d,0,0.8,DDoS-SynonymousIP_Flood,0.34167970787689095,0.060047527966150815,0.28163217991074013,0.235929254057588,True
cnn1d,0,0.8,DDoS-UDP_Flood,0.7421512270616847,0.9967388901171789,-0.2545876630554942,0.09047640950289787,False
cnn1d,0,0.8,DoS-TCP_Flood,0.41158733577428386,5.384449709239716e-05,0.41153349127719147,0.2643813212009498,True
cnn1d,0,0.8,DDoS-PSHACK_Flood,0.9983433423068958,0.9675916338786498,0.03075170842824604,0.11038504026051069,False
cnn1d,0,0.8,DDoS-SYN_Flood,0.5225642330195879,0.9395064868990078,-0.41694225387941997,0.5238379149660953,False
cnn1d,0,0.8,Recon-HostDiscovery,0.7047428856714928,0.07593609585621568,0.6288067898152772,0.05981364338037638,True
cnn1d,0,0.8,DoS-SYN_Flood,0.16439051397988372,0.0,0.16439051397988372,0.1338491875766533,True
cnn1d,0,0.8,DoS-UDP_Flood,0.6823112784651246,0.0,0.6823112784651246,0.013090549202921372,True
cnn1d,0,0.8,DNS_Spoofing,0.612758792239103,0.4623627109563354,0.1503960812827676,0.09199911478240713,True
cnn1d,0,0.8,MITM-ArpSpoofing,0.12505002728761141,0.006767327633254503,0.11828269965435691,0.07459414892841161,True
cnn1d,0,0.8,Mirai-udpplain,0.9874220374220374,0.9127858627858628,0.07463617463617456,0.0030144583209302193,False
cnn1d,0,0.8,Mirai-greeth_flood,0.9728399253097946,0.9565099304023086,0.01632999490748599,0.015483301867355035,False
cnn1d,0,0.8,Mirai-greip_flood,0.9839167455061495,0.8118664684416813,0.17205027706446818,0.01286645097872988,True
cnn1d,0,0.8,DDoS-UDP_Fragmentation,0.9898242677824268,0.9895899581589959,0.00023430962343096162,0.001461089802842454,False
cnn1d,0,0.8,DDoS-ACK_Fragmentation,0.9651481704461837,0.9132048966486053,0.05194327379757846,0.0004267613327376908,False
cnn1d,0,0.8,VulnerabilityScan,0.6740220661985958,0.7643597459043798,-0.09033767970578399,0.08585360693926365,False
cnn1d,0,0.8,DDoS-ICMP_Fragmentation,0.9721331194867683,0.9916466185511895,-0.019513499064421236,0.0009734754201886736,False
cnn1d,0,0.8,BenignTraffic,0.6791022343943088,0.1785177515781036,0.5005844828162053,0.08575705286341911,True
cnn1d,0,0.9,Uploading_Attack,0.02127659574468085,0.0,0.02127659574468085,0.02854554864893348,False
cnn1d,0,0.9,Recon-PingSweep,0.0,0.0,0.0,0.0,False
cnn1d,0,0.9,Backdoor_Malware,0.004140786749482402,0.0,0.004140786749482402,0.03750541589535823,False
cnn1d,0,0.9,XSS,0.02772963604852686,0.0,0.02772963604852686,0.014908709301633669,False
cnn1d,0,0.9,SqlInjection,0.04701397712833545,0.0,0.04701397712833545,0.030357587108549838,False
cnn1d,0,0.9,CommandInjection,0.0630407911001236,0.0,0.0630407911001236,0.032744446919116224,False
cnn1d,0,0.9,BrowserHijacking,0.019562715765247412,0.0,0.019562715765247412,0.02777429715263441,False
cnn1d,0,0.9,DictionaryBruteForce,0.32755102040816325,0.0,0.32755102040816325,0.050344329023276055,True
cnn1d,0,0.9,DDoS-SlowLoris,0.954183266932271,0.0,0.954183266932271,0.03310488431469255,True
cnn1d,0,0.9,DDoS-HTTP_Flood,0.7960175966658949,0.0,0.7960175966658949,0.06283048765589343,True
cnn1d,0,0.9,DoS-HTTP_Flood,0.8669215704560291,0.6917840156672573,0.1751375547887718,0.03985415067034641,True
cnn1d,0,0.9,Recon-PortScan,0.2467392207360638,0.0,0.2467392207360638,0.07985045010637541,True
cnn1d,0,0.9,Recon-OSScan,0.11454231433506044,0.0,0.11454231433506044,0.10326414789120288,True
cnn1d,0,0.9,DDoS-ICMP_Flood,0.997904339250493,0.009677021696252466,0.9882273175542405,0.0012315082587516983,True
cnn1d,0,0.9,DDoS-RSTFINFlood,0.9991676080623105,0.021820560080860932,0.9773470479814496,0.0010455514158798306,True
cnn1d,0,0.9,DDoS-TCP_Flood,0.6484739049394221,0.0,0.6484739049394221,0.23415091411258288,True
cnn1d,0,0.9,DDoS-SynonymousIP_Flood,0.34167970787689095,0.0,0.34167970787689095,0.235929254057588,True
cnn1d,0,0.9,DDoS-UDP_Flood,0.7421512270616847,0.0,0.7421512270616847,0.09047640950289787,True
cnn1d,0,0.9,DoS-TCP_Flood,0.41158733577428386,0.0,0.41158733577428386,0.2643813212009498,True
cnn1d,0,0.9,DDoS-PSHACK_Flood,0.9983433423068958,0.9964278318492441,0.0019155104576517035,0.11038504026051069,False
cnn1d,0,0.9,DDoS-SYN_Flood,0.5225642330195879,0.0,0.5225642330195879,0.5238379149660953,False
cnn1d,0,0.9,Recon-HostDiscovery,0.7047428856714928,0.19555666500249624,0.5091862206689965,0.05981364338037638,True
cnn1d,0,0.9,DoS-SYN_Flood,0.16439051397988372,0.0,0.16439051397988372,0.1338491875766533,True
cnn1d,0,0.9,DoS-UDP_Flood,0.6823112784651246,0.0,0.6823112784651246,0.013090549202921372,True
cnn1d,0,0.9,DNS_Spoofing,0.612758792239103,0.022502009107956068,0.5902567831311469,0.09199911478240713,True
cnn1d,0,0.9,MITM-ArpSpoofing,0.12505002728761141,0.37511369838093506,-0.2500636710933236,0.07459414892841161,False
cnn1d,0,0.9,Mirai-udpplain,0.9874220374220374,0.0,0.9874220374220374,0.0030144583209302193,True
cnn1d,0,0.9,Mirai-greeth_flood,0.9728399253097946,0.0,0.9728399253097946,0.015483301867355035,True
cnn1d,0,0.9,Mirai-greip_flood,0.9839167455061495,0.0,0.9839167455061495,0.01286645097872988,True
cnn1d,0,0.9,DDoS-UDP_Fragmentation,0.9898242677824268,0.997020920502092,-0.007196652719665186,0.001461089802842454,False
cnn1d,0,0.9,DDoS-ACK_Fragmentation,0.9651481704461837,0.0,0.9651481704461837,0.0004267613327376908,True
cnn1d,0,0.9,VulnerabilityScan,0.6740220661985958,0.003978602474088933,0.6700434637245068,0.08585360693926365,True
cnn1d,0,0.9,DDoS-ICMP_Fragmentation,0.9721331194867683,0.0,0.9721331194867683,0.0009734754201886736,True
cnn1d,0,0.9,BenignTraffic,0.6791022343943088,0.0,0.6791022343943088,0.08575705286341911,True
cnn1d,0,0.95,Uploading_Attack,0.02127659574468085,0.0,0.02127659574468085,0.02854554864893348,False
cnn1d,0,0.95,Recon-PingSweep,0.0,0.0,0.0,0.0,False
cnn1d,0,0.95,Backdoor_Malware,0.004140786749482402,0.0,0.004140786749482402,0.03750541589535823,False
cnn1d,0,0.95,XSS,0.02772963604852686,0.0,0.02772963604852686,0.014908709301633669,False
cnn1d,0,0.95,SqlInjection,0.04701397712833545,0.0,0.04701397712833545,0.030357587108549838,False
cnn1d,0,0.95,CommandInjection,0.0630407911001236,0.0,0.0630407911001236,0.032744446919116224,False
