mapping,attacker_seeds,held_out_seed,recipe,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate
M0_original,"(1, 2, 4)",0,default_layerwise80,0.3035320149407973,0.0023069207622868604,0.255383462934512,0.25769038369679886
M0_original,"(1, 2, 4)",3,default_layerwise80,0.597101603120026,0.08329461713500101,0.26286938674389076,0.3461640038788918
M0_original,"(1, 2, 4)",0,protect_conv0,0.33157153380325644,0.013640922768304914,0.2524362844992128,0.2660772072675177
M0_original,"(1, 2, 4)",3,protect_conv0,0.21599859232610297,0.033913139368367776,0.14958182432363892,0.1834949636920067
M0_original,"(1, 2, 4)",0,global80,0.2929501372685155,0.018839852892009363,0.20857781877164772,0.22741767166365706
M0_original,"(1, 2, 4)",3,global80,0.23846120612212934,0.04005833051393916,0.1625013388371492,0.20255966935108838
M0_original,"(1, 2, 4)",0,dense,0.18324709769438524,0.03132203271507456,0.12182050402800547,0.15314253674308004
M0_original,"(1, 2, 4)",3,dense,0.18624695204063432,0.032186470506050155,0.11562073049777327,0.14780720100382344
M0_original,"(1, 3, 4)",0,default_layerwise80,0.4876133478923739,0.0,0.39922302487575007,0.39922302487575007
M0_original,"(1, 3, 4)",2,default_layerwise80,1.0,0.0,0.999898634950669,0.999898634950669
M0_original,"(1, 3, 4)",0,protect_conv0,0.0948665489060383,0.0,0.060525362739661116,0.060525362739661116
M0_original,"(1, 3, 4)",2,protect_conv0,0.0709686789969639,0.0003264011936957941,0.05960289163489192,0.059929292828587714
M0_original,"(1, 3, 4)",0,global80,0.1556098879376278,0.0,0.13750803714019946,0.13750803714019946
M0_original,"(1, 3, 4)",2,global80,0.0974876132596639,0.0,0.08847758569167276,0.08847758569167276
M0_original,"(1, 3, 4)",0,dense,0.07458084201891071,0.00013988622586962604,0.06713853653207218,0.0672784227579418
M0_original,"(1, 3, 4)",2,dense,0.07833066980010468,9.325748391308402e-05,0.07040320703147565,0.07049646451538873
M0_original,"(2, 3, 4)",0,default_layerwise80,0.35414632127404017,0.0061086723489898725,0.3061004172365789,0.3122090895855687
M0_original,"(2, 3, 4)",1,default_layerwise80,0.6955589545962019,0.24642801797854313,0.22522390716467805,0.4716519251432212
M0_original,"(2, 3, 4)",0,protect_conv0,0.2653277565182735,0.025478198726004625,0.11690802576446717,0.1423862244904718
M0_original,"(2, 3, 4)",1,protect_conv0,0.229001428272729,0.03549179602504317,0.10326639077088033,0.1387581867959235
M0_original,"(2, 3, 4)",0,global80,0.2646854258128922,0.023636422514900973,0.14629931828990356,0.1699357408048045
M0_original,"(2, 3, 4)",1,global80,0.23123153726140472,0.049156761693595216,0.10753591920664227,0.1566926809002375
M0_original,"(2, 3, 4)",0,dense,0.21327264578684554,0.04018142549087638,0.10296833065292574,0.14314975614380213
M0_original,"(2, 3, 4)",1,dense,0.20323795608843137,0.044688049329662326,0.09578024614177104,0.14046829547143336
M1_dos_ddos_merged,"(0, 1, 2)",3,default_layerwise80,0.7061209380144122,0.07734404796485833,0.03542613769755988,0.11277018566241821
M1_dos_ddos_merged,"(0, 1, 2)",4,default_layerwise80,0.46356268330746225,0.003561324679647196,0.3311243848795322,0.33468570955917937
M1_dos_ddos_merged,"(0, 1, 2)",3,protect_conv0,0.3564203859843868,0.02662013383605154,0.01108357377643481,0.03770370761248635
M1_dos_ddos_merged,"(0, 1, 2)",4,protect_conv0,0.20903956306195737,0.027822731692507558,0.01008021320715457,0.03790294489966213
M1_dos_ddos_merged,"(0, 1, 2)",3,global80,0.4666198977623213,0.03319580453994938,0.014506798248506437,0.04770260278845582
M1_dos_ddos_merged,"(0, 1, 2)",4,global80,0.2540999113298263,0.023579097144329823,0.018483382664294525,0.04206247980862435
M1_dos_ddos_merged,"(0, 1, 2)",3,dense,0.21269653913432549,0.02259723660181027,0.027304424780749296,0.049901661382559574
M1_dos_ddos_merged,"(0, 1, 2)",4,dense,0.17721303339684558,0.017196534149008076,0.008622703509878087,0.025819237658886163
M1_dos_ddos_merged,"(0, 1, 3)",2,default_layerwise80,1.0,0.0,0.017839101675945247,0.017839101675945247
M1_dos_ddos_merged,"(0, 1, 3)",4,default_layerwise80,0.4865821677470147,0.0,0.3220984594960332,0.3220984594960332
M1_dos_ddos_merged,"(0, 1, 3)",2,protect_conv0,0.4050230900147226,0.0003264011936957941,0.0015334735014272533,0.0018598746951230473
M1_dos_ddos_merged,"(0, 1, 3)",4,protect_conv0,0.18440307899133845,4.662874195654201e-05,0.0015406892565631082,0.0015873179985196504
M1_dos_ddos_merged,"(0, 1, 3)",2,global80,0.469288192017782,0.0,0.001207072307731459,0.001207072307731459
M1_dos_ddos_merged,"(0, 1, 3)",4,global80,0.24378092041460958,4.662874195654201e-05,0.001614240247065849,0.0016608689890223911
M1_dos_ddos_merged,"(0, 1, 3)",2,dense,0.2118136086992702,9.325748391308402e-05,0.000694156146209497,0.0007874136301225811
M1_dos_ddos_merged,"(0, 1, 3)",4,dense,0.16462134739931228,0.00023314370978271006,0.0018007552148920172,0.002033898924674727
M1_dos_ddos_merged,"(0, 1, 4)",2,default_layerwise80,1.0,0.0,0.035624358854798095,0.035624358854798095
M1_dos_ddos_merged,"(0, 1, 4)",3,default_layerwise80,0.674811153595076,0.0002797724517392521,0.008952718455656067,0.009232490907395318
M1_dos_ddos_merged,"(0, 1, 4)",2,protect_conv0,0.11162920824396158,0.0006528023873915882,0.002797724517392521,0.003450526904784109
M1_dos_ddos_merged,"(0, 1, 4)",3,protect_conv0,0.16329385433181012,0.0002797724517392521,0.0019584071621747646,0.0022381796139140167
M1_dos_ddos_merged,"(0, 1, 4)",2,global80,0.1669308962044204,0.0,0.0021449221300009324,0.0021449221300009324
M1_dos_ddos_merged,"(0, 1, 4)",3,global80,0.225310081134011,0.00018651496782616804,0.003637041872610277,0.003823556840436445
M1_dos_ddos_merged,"(0, 1, 4)",2,dense,0.13270539960831856,0.00018651496782616804,0.0011190898069570084,0.0013056047747831763
M1_dos_ddos_merged,"(0, 1, 4)",3,dense,0.16301408188007088,9.325748391308402e-05,0.0020516646460878485,0.0021449221300009324
M1_dos_ddos_merged,"(0, 2, 3)",1,default_layerwise80,0.7380376133030575,0.2546953838422771,0.028867344471534773,0.2835627283138118
M1_dos_ddos_merged,"(0, 2, 3)",4,default_layerwise80,0.45359983766907014,0.003053680739462541,0.3529221413633344,0.35597582210279693
M1_dos_ddos_merged,"(0, 2, 3)",1,protect_conv0,0.2927050482426471,0.035431776213050235,0.03530573300306975,0.07073750921611999
M1_dos_ddos_merged,"(0, 2, 3)",4,protect_conv0,0.2752596386199918,0.0463348839077221,0.03365942897275715,0.07999431288047926
M1_dos_ddos_merged,"(0, 2, 3)",1,global80,0.3950153189175178,0.0504338051752535,0.03462090993948297,0.08505471511473647
M1_dos_ddos_merged,"(0, 2, 3)",4,global80,0.30475923566720625,0.039803644736476296,0.04747204294900731,0.0872756876854836
M1_dos_ddos_merged,"(0, 2, 3)",1,dense,0.3267816859537219,0.05034903699212863,0.041038757526977734,0.09138779451910636
M1_dos_ddos_merged,"(0, 2, 3)",4,dense,0.24504670053843058,0.03734154741057738,0.04040181772846306,0.07774336513904044
M1_dos_ddos_merged,"(0, 2, 4)",1,default_layerwise80,0.40363222264507126,0.000662390287043683,0.005649488747122491,0.006311879034166174
M1_dos_ddos_merged,"(0, 2, 4)",3,default_layerwise80,0.34562546677779243,0.0002122311038283816,0.00318479589199965,0.0033970269958280316
M1_dos_ddos_merged,"(0, 2, 4)",1,protect_conv0,0.15925530912702013,0.00033120472374367917,0.0017470134746022012,0.0020782181983458807
M1_dos_ddos_merged,"(0, 2, 4)",3,protect_conv0,0.21993880435763286,0.0002833750992751659,0.0014817812517050554,0.0017651563509802212
M1_dos_ddos_merged,"(0, 2, 4)",1,global80,0.2323364699549153,0.0003066894702534369,0.0017621929158723381,0.0020688823861257748
M1_dos_ddos_merged,"(0, 2, 4)",3,global80,0.2064990882832764,0.0002600607282968949,0.0024172216226305814,0.0026772823509274763
M1_dos_ddos_merged,"(0, 2, 4)",1,dense,0.18683237097361882,0.00037903434821219247,0.0022749228579342115,0.002653957206146404
M1_dos_ddos_merged,"(0, 2, 4)",3,dense,0.3654594954985319,0.0003078903527654082,0.0025235921113875843,0.0028314824641529923
M1_dos_ddos_merged,"(0, 3, 4)",1,default_layerwise80,0.9771519164412944,0.0008393173552177563,0.013335820199571016,0.014175137554788771
M1_dos_ddos_merged,"(0, 3, 4)",2,default_layerwise80,1.0,0.0,0.035624358854798095,0.035624358854798095
M1_dos_ddos_merged,"(0, 3, 4)",1,protect_conv0,0.19201715937704,0.00018651496782616804,0.0018651496782616805,0.0020516646460878485
M1_dos_ddos_merged,"(0, 3, 4)",2,protect_conv0,0.11162920824396158,0.0006528023873915882,0.002797724517392521,0.003450526904784109
M1_dos_ddos_merged,"(0, 3, 4)",1,global80,0.21160123099878766,0.0003730299356523361,0.0026112095495663527,0.0029842394852186887
M1_dos_ddos_merged,"(0, 3, 4)",2,global80,0.1669308962044204,0.0,0.0021449221300009324,0.0021449221300009324
M1_dos_ddos_merged,"(0, 3, 4)",1,dense,0.12487177095961952,9.325748391308402e-05,0.0027044670334794366,0.002797724517392521
M1_dos_ddos_merged,"(0, 3, 4)",2,dense,0.13270539960831856,0.00018651496782616804,0.0011190898069570084,0.0013056047747831763
M1_dos_ddos_merged,"(1, 2, 3)",0,default_layerwise80,0.62820253508283,0.00532891967395048,0.19956323916864296,0.20489215884259346
M1_dos_ddos_merged,"(1, 2, 3)",4,default_layerwise80,0.5969973250641433,0.000382687229727144,0.26727526450333045,0.2676579517330576
M1_dos_ddos_merged,"(1, 2, 3)",0,protect_conv0,0.4350283478737854,0.018148941869809806,0.0462547162491607,0.06440365811897052
M1_dos_ddos_merged,"(1, 2, 3)",4,protect_conv0,0.21672962042927546,0.025491149509319706,0.030079506924487482,0.05557065643380718
M1_dos_ddos_merged,"(1, 2, 3)",0,global80,0.3264022021973786,0.010705675251616854,0.03143976619167967,0.04214544144329652
M1_dos_ddos_merged,"(1, 2, 3)",4,global80,0.24806117946053102,0.022142636249207197,0.037778566877130534,0.05992120312633773
M1_dos_ddos_merged,"(1, 2, 3)",0,dense,0.28120388900610865,0.018974692261455726,0.024740811852225833,0.04371550411368156
M1_dos_ddos_merged,"(1, 2, 3)",4,dense,0.19911039145967813,0.02456071865371268,0.03785077792109747,0.06241149657481015
M1_dos_ddos_merged,"(1, 2, 4)",0,default_layerwise80,0.3035320149407973,0.0023069207622868604,0.060708465265949065,0.06301538602823592
M1_dos_ddos_merged,"(1, 2, 4)",3,default_layerwise80,0.597101603120026,0.08329461713500101,0.041339854832748844,0.12463447196774985
M1_dos_ddos_merged,"(1, 2, 4)",0,protect_conv0,0.33157153380325644,0.013640922768304914,0.018586523759401168,0.03222744652770608
M1_dos_ddos_merged,"(1, 2, 4)",3,protect_conv0,0.21599859232610297,0.033913139368367776,0.02416336925107612,0.0580765086194439
M1_dos_ddos_merged,"(1, 2, 4)",0,global80,0.2929501372685155,0.018839852892009363,0.06133622973381235,0.08017608262582171
M1_dos_ddos_merged,"(1, 2, 4)",3,global80,0.23846120612212934,0.04005833051393916,0.02853701603091503,0.06859534654485419
