attacker_seeds,held_out_seed,recipe,strategy,n_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(1, 3, 4)",0,default_layerwise80,random_over_detectable,19,0.3636923951266629,0.0018844536241280278,0.20025919392998742,0.20214364755411546,400823
"(1, 3, 4)",0,default_layerwise80,blind_spot_set,2,0.4876133478923739,0.0,0.39922302487575007,0.39922302487575007,40319
"(1, 3, 4)",2,default_layerwise80,random_over_detectable,19,0.9421332673870099,0.0030264292948077587,0.46249068716629776,0.46551711646110555,400823
"(1, 3, 4)",2,default_layerwise80,blind_spot_set,2,1.0,0.0,0.999898634950669,0.999898634950669,40319
"(1, 3, 4)",0,protect_conv0,random_over_detectable,19,0.1962960998581123,0.008724060202487213,0.13564927177810213,0.14437333198058933,400823
"(1, 3, 4)",0,protect_conv0,blind_spot_set,2,0.0948665489060383,0.0,0.060525362739661116,0.060525362739661116,40319
"(1, 3, 4)",2,protect_conv0,random_over_detectable,19,0.16846158729042296,0.020819079598693346,0.105107313222587,0.12592639282128038,400823
"(1, 3, 4)",2,protect_conv0,blind_spot_set,2,0.07096867899696391,0.0003264011936957941,0.05960289163489192,0.059929292828587714,40319
"(1, 3, 4)",0,global80,random_over_detectable,19,0.1622736860062639,0.008376716625318064,0.11454971757591981,0.12292643420123789,400823
"(1, 3, 4)",0,global80,blind_spot_set,2,0.15560988793762787,0.0,0.13750803714019946,0.13750803714019946,40319
"(1, 3, 4)",2,global80,random_over_detectable,19,0.16593738623273838,0.01669678769777503,0.1094860606490046,0.1261828483467796,400823
"(1, 3, 4)",2,global80,blind_spot_set,2,0.09748761325966387,0.0,0.08847758569167276,0.08847758569167276,40319
"(1, 3, 4)",0,dense,random_over_detectable,19,0.17615393247818786,0.014490562032329287,0.09758945383403314,0.11208001586636245,400823
"(1, 3, 4)",0,dense,blind_spot_set,2,0.07458084201891069,0.00013988622586962604,0.06713853653207218,0.0672784227579418,40319
