attacker_seeds,held_out_seed,recipe,strategy,n_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(0, 1, 3)",2,dense,blind_spot_set,2,0.21181360869927024,9.325748391308402e-05,0.2006444583231541,0.20073771580706717,29295
"(0, 1, 3)",4,dense,random_over_detectable,19,0.15201825282309858,0.012450000564038338,0.10584433595652208,0.1182943365205604,400738
"(0, 1, 3)",4,dense,blind_spot_set,2,0.16462134739931228,0.00023314370978271006,0.15235724258649702,0.15259038629627975,29295
"(0, 1, 4)",2,default_layerwise80,random_over_detectable,20,0.9450266040176594,0.0028751078300673708,0.4393690652031366,0.442244173033204,417991
"(0, 1, 4)",2,default_layerwise80,blind_spot_set,1,1.0,0.0,1.0,1.0,10723
"(0, 1, 4)",3,default_layerwise80,random_over_detectable,20,0.33383646909979814,0.049097533821964676,0.16760282715192926,0.21670036097389395,417991
"(0, 1, 4)",3,default_layerwise80,blind_spot_set,1,0.674811153595076,0.0002797724517392521,0.6745313811433368,0.674811153595076,10723
"(0, 1, 4)",2,protect_conv0,random_over_detectable,20,0.16955912768359052,0.01977812561875868,0.10931431941607091,0.1290924450348296,417991
"(0, 1, 4)",2,protect_conv0,blind_spot_set,1,0.11162920824396161,0.0006528023873915882,0.1045416394665672,0.10519444185395878,10723
"(0, 1, 4)",3,protect_conv0,random_over_detectable,20,0.1702073102576619,0.015581110667624803,0.10579071238109024,0.12137182304871504,417991
"(0, 1, 4)",3,protect_conv0,blind_spot_set,1,0.1632938543318101,0.0002797724517392521,0.15452765084398024,0.15480742329571948,10723
"(0, 1, 4)",2,global80,random_over_detectable,20,0.1653933128204491,0.01586486070804005,0.11169756842736515,0.12756242913540522,417991
"(0, 1, 4)",2,global80,blind_spot_set,1,0.16693089620442036,0.0,0.16394665671920172,0.16394665671920172,10723
"(0, 1, 4)",3,global80,random_over_detectable,20,0.17611046113355058,0.018565105566790873,0.11045493630322092,0.12902004187001176,417991
"(0, 1, 4)",3,global80,blind_spot_set,1,0.22531008113401096,0.00018651496782616804,0.214212440548354,0.21439895551618018,10723
"(0, 1, 4)",2,dense,random_over_detectable,20,0.1736296187886102,0.017789242572749185,0.11790271777364532,0.13569196034639452,417991
"(0, 1, 4)",2,dense,blind_spot_set,1,0.13270539960831862,0.00018651496782616804,0.12813578289657745,0.1283222978644036,10723
"(0, 1, 4)",3,dense,random_over_detectable,20,0.19303691286968222,0.015164387029701076,0.11192174369065792,0.127086130720359,417991
"(0, 1, 4)",3,dense,blind_spot_set,1,0.16301408188007083,9.325748391308402e-05,0.15611302807050265,0.15620628555441574,10723
"(0, 2, 3)",1,default_layerwise80,random_over_detectable,18,0.3262257448642003,0.09028239206786415,0.14568383783918296,0.23596622990704713,383570
"(0, 2, 3)",1,default_layerwise80,blind_spot_set,4,0.7380376133030575,0.2546953838422771,0.45694527805159835,0.7116406618938754,75456
"(0, 2, 3)",4,default_layerwise80,random_over_detectable,18,0.5730512335437866,0.0017698536929412817,0.41019965115433243,0.41196950484727385,383570
"(0, 2, 3)",4,default_layerwise80,blind_spot_set,4,0.45359983766907014,0.003053680739462541,0.38335488491154046,0.38640856565100296,75456
"(0, 2, 3)",1,protect_conv0,random_over_detectable,18,0.13866115655816988,0.013739697884473498,0.08330503876376966,0.09704473664824315,383570
"(0, 2, 3)",1,protect_conv0,blind_spot_set,4,0.2927050482426471,0.035431776213050235,0.1294934480157511,0.16492522422880132,75456
"(0, 2, 3)",4,protect_conv0,random_over_detectable,18,0.13123483697959257,0.017553819883547133,0.07605278747860324,0.09360660736215036,383570
"(0, 2, 3)",4,protect_conv0,blind_spot_set,4,0.2752596386199918,0.0463348839077221,0.11901963168596544,0.16535451559368752,75456
"(0, 2, 3)",1,global80,random_over_detectable,18,0.1587013473744112,0.01926797069142358,0.10194571486836004,0.1212136855597836,383570
"(0, 2, 3)",1,global80,blind_spot_set,4,0.3950153189175178,0.0504338051752535,0.2359467336417834,0.2863805388170369,75456
"(0, 2, 3)",4,global80,random_over_detectable,18,0.13916342980864402,0.014572893896730487,0.08765367077068578,0.10222656466741625,383570
"(0, 2, 3)",4,global80,blind_spot_set,4,0.3047592356672063,0.039803644736476296,0.16376444173696936,0.20356808647344563,75456
"(0, 2, 3)",1,dense,random_over_detectable,18,0.1434982610053857,0.016760198525045747,0.0948694201471112,0.11162961867215694,383570
"(0, 2, 3)",1,dense,blind_spot_set,4,0.3267816859537219,0.05034903699212863,0.18106861558860518,0.2314176525807338,75456
"(0, 2, 3)",4,dense,random_over_detectable,18,0.12416555971339498,0.013141667262040468,0.0754943811300412,0.08863604839208165,383570
"(0, 2, 3)",4,dense,blind_spot_set,4,0.24504670053843056,0.03734154741057738,0.11568006141426555,0.15302160882484295,75456
"(0, 2, 4)",1,default_layerwise80,random_over_detectable,19,0.3221429376753909,0.08553373779767816,0.15063649823313605,0.2361702360308142,400823
"(0, 2, 4)",1,default_layerwise80,blind_spot_set,4,0.40363222264507126,0.000662390287043683,0.3493446187355963,0.35000700902264,53798
"(0, 2, 4)",3,default_layerwise80,random_over_detectable,19,0.35031542781584674,0.051681614549436504,0.17547366805711495,0.22715528260655146,400823
"(0, 2, 4)",3,default_layerwise80,blind_spot_set,4,0.34562546677779243,0.0002122311038283816,0.26109083874752326,0.26130306985135165,53798
"(0, 2, 4)",1,protect_conv0,random_over_detectable,19,0.1408077826701867,0.013016555890553842,0.08325543081216606,0.09627198670271989,400823
"(0, 2, 4)",1,protect_conv0,blind_spot_set,4,0.15925530912702013,0.00033120472374367917,0.12546208371273734,0.12579328843648102,53798
"(0, 2, 4)",3,protect_conv0,random_over_detectable,19,0.1672860831966167,0.016401169123815583,0.09954964868289579,0.11595081780671139,400823
"(0, 2, 4)",3,protect_conv0,blind_spot_set,4,0.21993880435763283,0.0002833750992751659,0.12309902629937487,0.12338240139865003,53798
"(0, 2, 4)",1,global80,random_over_detectable,19,0.16907917839616876,0.01825386697082234,0.09860878362947918,0.11686265060030153,400823
"(0, 2, 4)",1,global80,blind_spot_set,4,0.23233646995491533,0.0003066894702534369,0.1391380735362932,0.13944476300654662,53798
"(0, 2, 4)",3,global80,random_over_detectable,19,0.18286557590258473,0.019542216386095657,0.11383113911154757,0.13337335549764326,400823
"(0, 2, 4)",3,global80,blind_spot_set,4,0.2064990882832764,0.0002600607282968949,0.13221301711164107,0.13247307783993795,53798
"(0, 2, 4)",1,dense,random_over_detectable,19,0.15148840307945394,0.015878082813201237,0.0951537883704923,0.11103187118369355,400823
"(0, 2, 4)",1,dense,blind_spot_set,4,0.18683237097361885,0.00037903434821219247,0.13079344172597396,0.13117247607418617,53798
"(0, 2, 4)",3,dense,random_over_detectable,19,0.17188696964650907,0.015962512662843237,0.08656696029830377,0.10252947296114702,400823
"(0, 2, 4)",3,dense,blind_spot_set,4,0.36545949549853185,0.0003078903527654082,0.17608143477928284,0.17638932513204827,53798
