attacker_seeds,held_out_seed,recipe,strategy,n_chosen_types,misattribution_rate,attack_to_benign_rate,cross_family_rate,wrong_family_or_benign_rate,n_flows
"(0, 1, 3)",2,global80,oracle_per_model,11,0.8725469991527558,0.21976826727118684,0.39560577957912574,0.6153740468503126,87342
"(0, 1, 3)",4,global80,random_attack_type,33,0.4562135561390199,0.07675482464219716,0.2798951581030661,0.35664998274526327,519330
"(0, 1, 3)",4,global80,exposed_set,13,0.6990249406066833,0.17542813637989707,0.37789743072308496,0.5533255671029821,109019
"(0, 1, 3)",4,global80,oracle_per_model,12,0.8575654816409906,0.192435021483412,0.38838185129655156,0.5808168727799635,99379
"(0, 1, 3)",2,dense,random_attack_type,33,0.4574079809804084,0.09560343267764969,0.26591068741569895,0.3615141200933486,519330
"(0, 1, 3)",2,dense,exposed_set,13,0.6834129830579991,0.19635109476329815,0.35488309377264515,0.5512341885359433,109019
"(0, 1, 3)",2,dense,oracle_per_model,10,0.876819760004873,0.2919991472254371,0.2889992081379058,0.5809983553633429,65668
"(0, 1, 3)",4,dense,random_attack_type,33,0.4535345078139467,0.06534193212684607,0.2840987358471134,0.3494406679739594,519330
"(0, 1, 3)",4,dense,exposed_set,13,0.6656913015162494,0.16136636733046533,0.3507003366385676,0.5120667039690329,109019
"(0, 1, 3)",4,dense,oracle_per_model,10,0.9070323445209234,0.24272095998050802,0.36369312298227446,0.6064140829627824,65668
"(0, 1, 4)",2,default_layerwise80,random_attack_type,33,0.9661819866133003,0.005550452149124584,0.6254055740268651,0.6309560261759898,519330
"(0, 1, 4)",2,default_layerwise80,exposed_set,11,0.9943727916478851,0.010411062480915476,0.9836709173658267,0.9940819798467422,68773
"(0, 1, 4)",2,default_layerwise80,oracle_per_model,32,0.9951065747814476,0.0047401947420056476,0.5775654662285999,0.5823056609706057,502511
"(0, 1, 4)",3,default_layerwise80,random_attack_type,33,0.5780186930102433,0.18257825200013936,0.24609391835285646,0.4286721703529958,519330
"(0, 1, 4)",3,default_layerwise80,exposed_set,11,0.9089032032919896,0.5395576752504616,0.19743213179590827,0.73698980704637,68773
"(0, 1, 4)",3,default_layerwise80,oracle_per_model,15,0.9636914289662479,0.2762641209594767,0.3247446423841822,0.6010087633436589,173678
"(0, 1, 4)",2,protect_conv0,random_attack_type,33,0.4598379541316629,0.10969293300412784,0.2545914871388139,0.36428442014294166,519330
"(0, 1, 4)",2,protect_conv0,exposed_set,11,0.7668998007939163,0.3475782647259826,0.21248164250505286,0.5600599072310354,68773
"(0, 1, 4)",2,protect_conv0,oracle_per_model,12,0.8581994183881907,0.2404632769498586,0.35675545135290154,0.5972187283027601,99379
"(0, 1, 4)",3,protect_conv0,random_attack_type,33,0.45824116637845286,0.08354834893725435,0.27244391885421915,0.35599226779147347,519330
"(0, 1, 4)",3,protect_conv0,exposed_set,11,0.7697788376252308,0.30565774359123493,0.24082125252642753,0.5464789961176625,68773
"(0, 1, 4)",3,protect_conv0,oracle_per_model,10,0.8886049019752685,0.2797139775732415,0.4777431412235732,0.7574571187968148,67687
"(0, 1, 4)",2,global80,random_attack_type,33,0.4582164042578557,0.08871065016030563,0.2686583107142031,0.35736896087450876,519330
"(0, 1, 4)",2,global80,exposed_set,11,0.7628429761679729,0.3083622933418638,0.235135881814084,0.5434981751559478,68773
"(0, 1, 4)",2,global80,oracle_per_model,11,0.8725469991527558,0.21976826727118684,0.39560577957912574,0.6153740468503126,87342
"(0, 1, 4)",3,global80,random_attack_type,33,0.4608196690064911,0.09230561844372628,0.2658907824764754,0.35819640092020166,519330
"(0, 1, 4)",3,global80,exposed_set,11,0.7698806217556309,0.2920622918878048,0.2700042167711166,0.5620665086589214,68773
"(0, 1, 4)",3,global80,oracle_per_model,11,0.8899245296143011,0.2060886400259683,0.589341402056597,0.7954300420825653,86259
"(0, 1, 4)",2,dense,random_attack_type,33,0.4574079809804084,0.09560343267764969,0.26591068741569895,0.3615141200933486,519330
"(0, 1, 4)",2,dense,exposed_set,11,0.754903813996772,0.3112558707632356,0.24080671193637038,0.552062582699606,68773
"(0, 1, 4)",2,dense,oracle_per_model,10,0.876819760004873,0.2919991472254371,0.2889992081379058,0.5809983553633429,65668
"(0, 1, 4)",3,dense,random_attack_type,33,0.4551772309921356,0.07833535497399138,0.2741243495366083,0.3524597045105997,519330
"(0, 1, 4)",3,dense,exposed_set,11,0.7549474357669435,0.26492955084117314,0.27711456530906026,0.5420441161502334,68773
"(0, 1, 4)",3,dense,oracle_per_model,12,0.852954824339792,0.18786928859420274,0.38545222062963386,0.5733215092238366,96977
"(0, 2, 3)",1,default_layerwise80,random_attack_type,33,0.5629828980864503,0.28172503544235605,0.18706882477253364,0.46879386021488983,519330
"(0, 2, 3)",1,default_layerwise80,exposed_set,16,0.7909189257986509,0.4443617156675576,0.27430316914853,0.7186648848160876,157140
"(0, 2, 3)",1,default_layerwise80,oracle_per_model,13,0.9874432318850404,0.37802480851352266,0.20364502135158952,0.5816698298651122,118024
"(0, 2, 3)",4,default_layerwise80,random_attack_type,33,0.7297187779091838,0.01921959912899565,0.5658866760772485,0.5851062752062444,519330
"(0, 2, 3)",4,default_layerwise80,exposed_set,16,0.6113020236731577,0.04994272623138603,0.45100547282677866,0.5009481990581647,157140
"(0, 2, 3)",4,default_layerwise80,oracle_per_model,22,0.9423217598035374,0.026510698330590173,0.6374879170258902,0.6639986153564804,306216
"(0, 2, 3)",1,protect_conv0,random_attack_type,33,0.45655742176117303,0.07300794849292272,0.281298079215205,0.3543060277081277,519330
"(0, 2, 3)",1,protect_conv0,exposed_set,16,0.5927898689067074,0.1386979763268423,0.27977599592719865,0.418473972254041,157140
"(0, 2, 3)",1,protect_conv0,oracle_per_model,11,0.8650248448627236,0.18874081198049047,0.4386320441482906,0.6273728561287811,87342
"(0, 2, 3)",4,protect_conv0,random_attack_type,33,0.4545875650371384,0.08569913155500908,0.26662485493474747,0.3523239864897566,519330
"(0, 2, 3)",4,protect_conv0,exposed_set,16,0.5918671248568156,0.15322005854651902,0.2756713758431972,0.42889143438971616,157140
"(0, 2, 3)",4,protect_conv0,oracle_per_model,11,0.873279750864418,0.19828948272308855,0.4373611778983765,0.635650660621465,87342
"(0, 2, 3)",1,global80,random_attack_type,33,0.46481592316542714,0.09586087198878956,0.26292358917817804,0.3587844611669676,519330
"(0, 2, 3)",1,global80,exposed_set,16,0.6526218658521064,0.18153239149802725,0.30716558482881506,0.4886979763268423,157140
"(0, 2, 3)",1,global80,oracle_per_model,11,0.8762605990667804,0.29466659976920373,0.38610706938939343,0.6807736691585972,79724
"(0, 2, 3)",4,global80,random_attack_type,33,0.4562135561390199,0.07675482464219716,0.2798951581030661,0.35664998274526327,519330
"(0, 2, 3)",4,global80,exposed_set,16,0.6039009800178186,0.14735904289168894,0.2972190403461881,0.44457808323787706,157140
"(0, 2, 3)",4,global80,oracle_per_model,12,0.8575654816409906,0.192435021483412,0.38838185129655156,0.5808168727799635,99379
"(0, 2, 3)",1,dense,random_attack_type,33,0.4464005124449036,0.08227703985386489,0.2645940449743389,0.34687108482820384,519330
"(0, 2, 3)",1,dense,exposed_set,16,0.6107992872597683,0.15726740486190657,0.3067201221840397,0.4639875270459463,157140
"(0, 2, 3)",1,dense,oracle_per_model,11,0.8491676398525337,0.19990382633784434,0.43606741315747294,0.6359712394953173,87342
"(0, 2, 3)",4,dense,random_attack_type,33,0.4535345078139467,0.06534193212684607,0.2840987358471134,0.3494406679739594,519330
"(0, 2, 3)",4,dense,exposed_set,16,0.569778541428026,0.13634975181366935,0.2746468117602138,0.41099656357388314,157140
"(0, 2, 3)",4,dense,oracle_per_model,10,0.9070323445209234,0.24272095998050802,0.36369312298227446,0.6064140829627824,65668
"(0, 2, 4)",1,default_layerwise80,random_attack_type,33,0.5629828980864503,0.28172503544235605,0.18706882477253364,0.46879386021488983,519330
"(0, 2, 4)",1,default_layerwise80,exposed_set,16,0.6301878027739067,0.2961244939942929,0.2660959585904838,0.5622204525847767,150690
"(0, 2, 4)",1,default_layerwise80,oracle_per_model,13,0.9874432318850404,0.37802480851352266,0.20364502135158952,0.5816698298651122,118024
"(0, 2, 4)",3,default_layerwise80,random_attack_type,33,0.5780186930102433,0.18257825200013936,0.24609391835285646,0.4286721703529958,519330
"(0, 2, 4)",3,default_layerwise80,exposed_set,16,0.6502753998274604,0.2462605348729179,0.2881146725064702,0.5343752073793882,150690
"(0, 2, 4)",3,default_layerwise80,oracle_per_model,15,0.9636914289662479,0.2762641209594767,0.3247446423841822,0.6010087633436589,173678
"(0, 2, 4)",1,protect_conv0,random_attack_type,33,0.45655742176117303,0.07300794849292272,0.281298079215205,0.3543060277081277,519330
"(0, 2, 4)",1,protect_conv0,exposed_set,16,0.5871391598646227,0.12099674829119385,0.35150308580529566,0.4724998340964895,150690
"(0, 2, 4)",1,protect_conv0,oracle_per_model,11,0.8650248448627236,0.18874081198049047,0.4386320441482906,0.6273728561287811,87342
"(0, 2, 4)",3,protect_conv0,random_attack_type,33,0.45824116637845286,0.08354834893725435,0.27244391885421915,0.35599226779147347,519330
"(0, 2, 4)",3,protect_conv0,exposed_set,16,0.5838874510584644,0.1395182162054549,0.30187802773906697,0.44139624394452187,150690
"(0, 2, 4)",3,protect_conv0,oracle_per_model,10,0.8886049019752685,0.2797139775732415,0.4777431412235732,0.7574571187968148,67687
"(0, 2, 4)",1,global80,random_attack_type,33,0.46481592316542714,0.09586087198878956,0.26292358917817804,0.3587844611669676,519330
"(0, 2, 4)",1,global80,exposed_set,16,0.602123564934634,0.15594266374676488,0.3045391200477802,0.4604817837945451,150690
"(0, 2, 4)",1,global80,oracle_per_model,11,0.8762605990667804,0.29466659976920373,0.38610706938939343,0.6807736691585972,79724
"(0, 2, 4)",3,global80,random_attack_type,33,0.4608196690064911,0.09230561844372628,0.2658907824764754,0.35819640092020166,519330
"(0, 2, 4)",3,global80,exposed_set,16,0.5575884265711062,0.13332006105249186,0.2989315813922623,0.4322516424447541,150690
"(0, 2, 4)",3,global80,oracle_per_model,11,0.8899245296143011,0.2060886400259683,0.589341402056597,0.7954300420825653,86259
"(0, 2, 4)",1,dense,random_attack_type,33,0.4464005124449036,0.08227703985386489,0.2645940449743389,0.34687108482820384,519330
"(0, 2, 4)",1,dense,exposed_set,16,0.5824275001659035,0.13010816908885792,0.33291525648682724,0.46302342557568515,150690
"(0, 2, 4)",1,dense,oracle_per_model,11,0.8491676398525337,0.19990382633784434,0.43606741315747294,0.6359712394953173,87342
"(0, 2, 4)",3,dense,random_attack_type,33,0.4551772309921356,0.07833535497399138,0.2741243495366083,0.3524597045105997,519330
"(0, 2, 4)",3,dense,exposed_set,16,0.6894153560289336,0.12093702302740726,0.3872785188134581,0.5082155418408654,150690
"(0, 2, 4)",3,dense,oracle_per_model,12,0.852954824339792,0.18786928859420274,0.38545222062963386,0.5733215092238366,96977
"(0, 3, 4)",1,default_layerwise80,random_attack_type,33,0.5629828980864503,0.28172503544235605,0.18706882477253364,0.46879386021488983,519330
"(0, 3, 4)",1,default_layerwise80,exposed_set,12,0.8878016960208741,0.4932723031167424,0.29165146439351225,0.7849237675102546,90447
"(0, 3, 4)",1,default_layerwise80,oracle_per_model,13,0.9874432318850404,0.37802480851352266,0.20364502135158952,0.5816698298651122,118024
"(0, 3, 4)",2,default_layerwise80,random_attack_type,33,0.9661819866133003,0.005550452149124584,0.6254055740268651,0.6309560261759898,519330
"(0, 3, 4)",2,default_layerwise80,exposed_set,12,0.9957212511194401,0.007916238238968677,0.9875838889073159,0.9955001271462846,90447
"(0, 3, 4)",2,default_layerwise80,oracle_per_model,32,0.9951065747814476,0.0047401947420056476,0.5775654662285999,0.5823056609706057,502511
"(0, 3, 4)",1,protect_conv0,random_attack_type,33,0.45655742176117303,0.07300794849292272,0.281298079215205,0.3543060277081277,519330
"(0, 3, 4)",1,protect_conv0,exposed_set,12,0.7721649142591794,0.20154344533262575,0.3995599632934205,0.6011034086260462,90447
"(0, 3, 4)",1,protect_conv0,oracle_per_model,11,0.8650248448627236,0.18874081198049047,0.4386320441482906,0.6273728561287811,87342
"(0, 3, 4)",2,protect_conv0,random_attack_type,33,0.4598379541316629,0.10969293300412784,0.2545914871388139,0.36428442014294166,519330
"(0, 3, 4)",2,protect_conv0,exposed_set,12,0.7784227226994814,0.26428737271551295,0.3562307207535905,0.6205180934691035,90447
"(0, 3, 4)",2,protect_conv0,oracle_per_model,12,0.8581994183881907,0.2404632769498586,0.35675545135290154,0.5972187283027601,99379
"(0, 3, 4)",1,global80,random_attack_type,33,0.46481592316542714,0.09586087198878956,0.26292358917817804,0.3587844611669676,519330
"(0, 3, 4)",1,global80,exposed_set,12,0.7974614967881744,0.25977644366313973,0.36435702676705695,0.6241334704301967,90447
"(0, 3, 4)",1,global80,oracle_per_model,11,0.8762605990667804,0.29466659976920373,0.38610706938939343,0.6807736691585972,79724
"(0, 3, 4)",2,global80,random_attack_type,33,0.4582164042578557,0.08871065016030563,0.2686583107142031,0.35736896087450876,519330
"(0, 3, 4)",2,global80,exposed_set,12,0.7850674980928057,0.23446880493548708,0.3834068570544076,0.6178756619898946,90447
"(0, 3, 4)",2,global80,oracle_per_model,11,0.8725469991527558,0.21976826727118684,0.39560577957912574,0.6153740468503126,87342
"(0, 3, 4)",1,dense,random_attack_type,33,0.4464005124449036,0.08227703985386489,0.2645940449743389,0.34687108482820384,519330
"(0, 3, 4)",1,dense,exposed_set,12,0.7659513306135084,0.21671254989109645,0.38842637124503854,0.605138921136135,90447
"(0, 3, 4)",1,dense,oracle_per_model,11,0.8491676398525337,0.19990382633784434,0.43606741315747294,0.6359712394953173,87342
"(0, 3, 4)",2,dense,random_attack_type,33,0.4574079809804084,0.09560343267764969,0.26591068741569895,0.3615141200933486,519330
"(0, 3, 4)",2,dense,exposed_set,12,0.7640054396497397,0.2366689884683848,0.3716651740798479,0.6083341625482327,90447
"(0, 3, 4)",2,dense,oracle_per_model,10,0.876819760004873,0.2919991472254371,0.2889992081379058,0.5809983553633429,65668
"(1, 2, 3)",0,default_layerwise80,random_attack_type,33,0.5979799948200215,0.010289464257571239,0.4014026627313274,0.4116921269888986,519330
"(1, 2, 3)",0,default_layerwise80,exposed_set,16,0.6904572101018975,0.022266690527708636,0.4968031626726536,0.5190698532003623,184401
"(1, 2, 3)",0,default_layerwise80,oracle_per_model,17,0.9835917768481651,0.020434677911619598,0.5854487621031647,0.6058834400147842,178569
"(1, 2, 3)",4,default_layerwise80,random_attack_type,33,0.7297187779091838,0.01921959912899565,0.5658866760772485,0.5851062752062444,519330
"(1, 2, 3)",4,default_layerwise80,exposed_set,16,0.732452643966139,0.041100644790429554,0.4455073454048514,0.48660799019528095,184401
"(1, 2, 3)",4,default_layerwise80,oracle_per_model,22,0.9423217598035374,0.026510698330590173,0.6374879170258902,0.6639986153564804,306216
"(1, 2, 3)",0,protect_conv0,random_attack_type,33,0.47276772420558966,0.04737582877688891,0.3121984362183689,0.3595742649952578,519330
"(1, 2, 3)",0,protect_conv0,exposed_set,16,0.6583586856904247,0.07855163475252304,0.3589731075211089,0.4375247422736319,184401
"(1, 2, 3)",0,protect_conv0,oracle_per_model,14,0.8648000999683924,0.09252956785722162,0.5535970244702043,0.6461265923274259,136043
"(1, 2, 3)",4,protect_conv0,random_attack_type,33,0.4545875650371384,0.08569913155500908,0.26662485493474747,0.3523239864897566,519330
"(1, 2, 3)",4,protect_conv0,exposed_set,16,0.5656476917153378,0.11966854843520372,0.25646281744676,0.3761313658819638,184401
"(1, 2, 3)",4,protect_conv0,oracle_per_model,11,0.873279750864418,0.19828948272308855,0.4373611778983765,0.635650660621465,87342
"(1, 2, 3)",0,global80,random_attack_type,33,0.460272203689879,0.05076335975192665,0.305370567728599,0.35613392748052564,519330
"(1, 2, 3)",0,global80,exposed_set,16,0.6057450881502812,0.08188133469992029,0.3283767441608234,0.4102580788607437,184401
"(1, 2, 3)",0,global80,oracle_per_model,12,0.8699624669195705,0.14067358295012025,0.4291651153664255,0.5698386983165458,99379
"(1, 2, 3)",4,global80,random_attack_type,33,0.4562135561390199,0.07675482464219716,0.2798951581030661,0.35664998274526327,519330
"(1, 2, 3)",4,global80,exposed_set,16,0.5754849485631857,0.11625208106246712,0.269949729122944,0.38620181018541117,184401
"(1, 2, 3)",4,global80,oracle_per_model,12,0.8575654816409906,0.192435021483412,0.38838185129655156,0.5808168727799635,99379
"(1, 2, 3)",0,dense,random_attack_type,33,0.4549954236316176,0.07245300534770993,0.27894174646869824,0.35139475181640817,519330
"(1, 2, 3)",0,dense,exposed_set,16,0.5439395664882511,0.09284656807717963,0.30168491494080835,0.39453148301798796,184401
"(1, 2, 3)",0,dense,oracle_per_model,10,0.8702114143040761,0.19641881011124737,0.5396161744500421,0.7360349845612895,67687
"(1, 2, 3)",4,dense,random_attack_type,33,0.4535345078139467,0.06534193212684607,0.2840987358471134,0.3494406679739594,519330
"(1, 2, 3)",4,dense,exposed_set,16,0.5553440599562909,0.10925645739448267,0.26756362492611213,0.3768200823205948,184401
"(1, 2, 3)",4,dense,oracle_per_model,10,0.9070323445209234,0.24272095998050802,0.36369312298227446,0.6064140829627824,65668
"(1, 2, 4)",0,default_layerwise80,random_attack_type,33,0.5979799948200215,0.010289464257571239,0.4014026627313274,0.4116921269888986,519330
"(1, 2, 4)",0,default_layerwise80,exposed_set,15,0.48265934251261855,0.02303856022550685,0.2709455145579608,0.29398407478346766,166026
"(1, 2, 4)",0,default_layerwise80,oracle_per_model,17,0.9835917768481651,0.020434677911619598,0.5854487621031647,0.6058834400147842,178569
"(1, 2, 4)",3,default_layerwise80,random_attack_type,33,0.5780186930102433,0.18257825200013936,0.24609391835285646,0.4286721703529958,519330
"(1, 2, 4)",3,default_layerwise80,exposed_set,15,0.7721561683109874,0.28347367279823643,0.13415368677195139,0.4176273595701878,166026
"(1, 2, 4)",3,default_layerwise80,oracle_per_model,15,0.9636914289662479,0.2762641209594767,0.3247446423841822,0.6010087633436589,173678
"(1, 2, 4)",0,protect_conv0,random_attack_type,33,0.47276772420558966,0.04737582877688891,0.3121984362183689,0.3595742649952578,519330
"(1, 2, 4)",0,protect_conv0,exposed_set,15,0.5688988471685158,0.08564923566188429,0.25996530663871925,0.3456145423006035,166026
"(1, 2, 4)",0,protect_conv0,oracle_per_model,14,0.8648000999683924,0.09252956785722162,0.5535970244702043,0.6461265923274259,136043
"(1, 2, 4)",3,protect_conv0,random_attack_type,33,0.45824116637845286,0.08354834893725435,0.27244391885421915,0.35599226779147347,519330
"(1, 2, 4)",3,protect_conv0,exposed_set,15,0.5047522677171046,0.15100044571332202,0.1723585462517919,0.3233589919651139,166026
"(1, 2, 4)",3,protect_conv0,oracle_per_model,10,0.8886049019752685,0.2797139775732415,0.4777431412235732,0.7574571187968148,67687
"(1, 2, 4)",0,global80,random_attack_type,33,0.460272203689879,0.05076335975192665,0.305370567728599,0.35613392748052564,519330
"(1, 2, 4)",0,global80,exposed_set,15,0.5676159155794875,0.09777986580415116,0.2443231782973751,0.34210304410152625,166026
"(1, 2, 4)",0,global80,oracle_per_model,12,0.8699624669195705,0.14067358295012025,0.4291651153664255,0.5698386983165458,99379
"(1, 2, 4)",3,global80,random_attack_type,33,0.4608196690064911,0.09230561844372628,0.2658907824764754,0.35819640092020166,519330
"(1, 2, 4)",3,global80,exposed_set,15,0.5125763434642767,0.1498138845722959,0.17562911833086384,0.32544300290315975,166026
"(1, 2, 4)",3,global80,oracle_per_model,11,0.8899245296143011,0.2060886400259683,0.589341402056597,0.7954300420825653,86259
"(1, 2, 4)",0,dense,random_attack_type,33,0.4549954236316176,0.07245300534770993,0.27894174646869824,0.35139475181640817,519330
"(1, 2, 4)",0,dense,exposed_set,15,0.45510944069001236,0.11374122125450231,0.19376483201426284,0.3075060532687651,166026
"(1, 2, 4)",0,dense,oracle_per_model,10,0.8702114143040761,0.19641881011124737,0.5396161744500421,0.7360349845612895,67687
"(1, 2, 4)",3,dense,random_attack_type,33,0.4551772309921356,0.07833535497399138,0.2741243495366083,0.3524597045105997,519330
"(1, 2, 4)",3,dense,exposed_set,15,0.44187657354872123,0.13291894040692423,0.17626154939587776,0.309180489802802,166026
"(1, 2, 4)",3,dense,oracle_per_model,12,0.852954824339792,0.18786928859420274,0.38545222062963386,0.5733215092238366,96977
"(1, 3, 4)",0,default_layerwise80,random_attack_type,33,0.5979799948200215,0.010289464257571239,0.4014026627313274,0.4116921269888986,519330
"(1, 3, 4)",0,default_layerwise80,exposed_set,13,0.6187470345014574,0.030070155222666577,0.3247898732461194,0.354860028468786,118024
"(1, 3, 4)",0,default_layerwise80,oracle_per_model,17,0.9835917768481651,0.020434677911619598,0.5854487621031647,0.6058834400147842,178569
"(1, 3, 4)",2,default_layerwise80,random_attack_type,33,0.9661819866133003,0.005550452149124584,0.6254055740268651,0.6309560261759898,519330
"(1, 3, 4)",2,default_layerwise80,exposed_set,13,0.9967210058971057,0.006066562733003457,0.8239341150952348,0.8300006778282383,118024
"(1, 3, 4)",2,default_layerwise80,oracle_per_model,32,0.9951065747814476,0.0047401947420056476,0.5775654662285999,0.5823056609706057,502511
"(1, 3, 4)",0,protect_conv0,random_attack_type,33,0.47276772420558966,0.04737582877688891,0.3121984362183689,0.3595742649952578,519330
"(1, 3, 4)",0,protect_conv0,exposed_set,13,0.5955229444858673,0.10665627330034569,0.22366637294109673,0.3303226462414424,118024
"(1, 3, 4)",0,protect_conv0,oracle_per_model,14,0.8648000999683924,0.09252956785722162,0.5535970244702043,0.6461265923274259,136043
"(1, 3, 4)",2,protect_conv0,random_attack_type,33,0.4598379541316629,0.10969293300412784,0.2545914871388139,0.36428442014294166,519330
"(1, 3, 4)",2,protect_conv0,exposed_set,13,0.5907018911407849,0.2025350776113333,0.1643902934996272,0.36692537111096046,118024
"(1, 3, 4)",2,protect_conv0,oracle_per_model,12,0.8581994183881907,0.2404632769498586,0.35675545135290154,0.5972187283027601,99379
"(1, 3, 4)",0,global80,random_attack_type,33,0.460272203689879,0.05076335975192665,0.305370567728599,0.35613392748052564,519330
"(1, 3, 4)",0,global80,exposed_set,13,0.6134515013895478,0.11845048464719041,0.23493526740324003,0.35338575205043044,118024
"(1, 3, 4)",0,global80,oracle_per_model,12,0.8699624669195705,0.14067358295012025,0.4291651153664255,0.5698386983165458,99379
"(1, 3, 4)",2,global80,random_attack_type,33,0.4582164042578557,0.08871065016030563,0.2686583107142031,0.35736896087450876,519330
"(1, 3, 4)",2,global80,exposed_set,13,0.5907357825527011,0.17968379312682167,0.16424625499898327,0.3439300481258049,118024
