T,K,F,class,mean_recall_loss,affected_frequency
192,24,8,DDoS-TCP_Flood,0.48068499534016773,0.8
192,24,8,DDoS-UDP_Flood,0.28127349104576604,0.6
192,24,8,DDoS-UDP_Fragmentation,0.4212753138075314,0.6
192,24,8,DNS_Spoofing,0.3729669740920746,0.8
192,24,8,DictionaryBruteForce,0.4575510204081633,1.0
192,24,8,DoS-HTTP_Flood,0.7280984799030122,1.0
192,24,8,DoS-SYN_Flood,0.0812217403340408,0.0
192,24,8,DoS-TCP_Flood,0.1063321128580659,0.4
192,24,8,DoS-UDP_Flood,0.3370091447014524,0.8
192,24,8,MITM-ArpSpoofing,-0.1478042568673822,0.2
192,24,8,Mirai-greeth_flood,0.7985061958920388,0.8
192,24,8,Mirai-greip_flood,0.39466819840518985,0.4
192,24,8,Mirai-udpplain,0.8018295218295218,0.8
192,24,8,Recon-HostDiscovery,0.5215776335496756,1.0
192,24,8,Recon-OSScan,-0.09134369602763381,0.4
192,24,8,Recon-PingSweep,0.007058823529411765,0.0
192,24,8,Recon-PortScan,0.21874221151449696,1.0
192,24,8,SqlInjection,0.07141041931385006,0.0
192,24,8,Uploading_Attack,0.026595744680851064,0.0
192,24,8,VulnerabilityScan,0.30834503510531597,0.6
192,24,8,XSS,0.03604852686308492,0.0
192,64,3,Backdoor_Malware,0.02525879917184265,0.0
192,64,3,BenignTraffic,0.6806987074580008,1.0
192,64,3,BrowserHijacking,0.02094361334867664,0.0
192,64,3,CommandInjection,0.049443757725587144,0.0
192,64,3,DDoS-ACK_Fragmentation,0.4786607799852833,0.6
192,64,3,DDoS-HTTP_Flood,0.6640889094697846,1.0
192,64,3,DDoS-ICMP_Flood,0.2325567061143984,0.4
192,64,3,DDoS-ICMP_Fragmentation,0.4321705426356589,0.8
192,64,3,DDoS-PSHACK_Flood,0.7348726444398427,1.0
192,64,3,DDoS-RSTFINFlood,0.0003091741482847077,0.0
192,64,3,DDoS-SYN_Flood,0.2626100228949377,0.6
192,64,3,DDoS-SlowLoris,0.9323278315310188,1.0
192,64,3,DDoS-SynonymousIP_Flood,0.5035761896481772,0.8
192,64,3,DDoS-TCP_Flood,0.2982292637465051,0.8
192,64,3,DDoS-UDP_Flood,0.6582688481096618,1.0
192,64,3,DDoS-UDP_Fragmentation,0.8194610878661088,1.0
192,64,3,DNS_Spoofing,0.5811564808082355,1.0
192,64,3,DictionaryBruteForce,0.45928571428571424,1.0
192,64,3,DoS-HTTP_Flood,0.7018185209363051,1.0
192,64,3,DoS-SYN_Flood,0.20608101873212145,0.0
192,64,3,DoS-TCP_Flood,0.5495369373250054,0.8
192,64,3,DoS-UDP_Flood,0.13873946566254255,0.2
192,64,3,MITM-ArpSpoofing,-0.12529015826814627,0.6
192,64,3,Mirai-greeth_flood,0.9052249193685282,1.0
192,64,3,Mirai-greip_flood,0.8327882146235979,1.0
192,64,3,Mirai-udpplain,0.6989189189189189,1.0
192,64,3,Recon-HostDiscovery,0.5507938092860709,1.0
192,64,3,Recon-OSScan,0.10220379965457686,0.4
192,64,3,Recon-PingSweep,0.007058823529411765,0.0
192,64,3,Recon-PortScan,0.23113732657638947,1.0
192,64,3,SqlInjection,0.07141041931385006,0.0
192,64,3,Uploading_Attack,0.026595744680851064,0.0
192,64,3,VulnerabilityScan,0.5156201939150786,1.0
192,64,3,XSS,0.03604852686308492,0.0
192,192,1,Backdoor_Malware,0.03561076604554865,0.0
192,192,1,BenignTraffic,0.6286964363247721,1.0
192,192,1,BrowserHijacking,0.02094361334867664,0.0
192,192,1,CommandInjection,0.05957972805933252,0.0
192,192,1,DDoS-ACK_Fragmentation,0.566800454879925,0.8
192,192,1,DDoS-HTTP_Flood,0.7659643435980551,1.0
192,192,1,DDoS-ICMP_Flood,0.7335182445759368,0.8
192,192,1,DDoS-ICMP_Fragmentation,0.8417134456027799,1.0
192,192,1,DDoS-PSHACK_Flood,0.6764443984261752,0.8
192,192,1,DDoS-RSTFINFlood,0.7357869076639515,0.8
192,192,1,DDoS-SYN_Flood,0.07707962350546933,0.6
192,192,1,DDoS-SlowLoris,0.9734206033010814,1.0
192,192,1,DDoS-SynonymousIP_Flood,0.525937518112792,0.8
192,192,1,DDoS-TCP_Flood,0.4891192917054986,1.0
192,192,1,DDoS-UDP_Flood,0.6509838602697325,1.0
192,192,1,DDoS-UDP_Fragmentation,0.7402108786610879,0.8
192,192,1,DNS_Spoofing,0.599816310129731,1.0
192,192,1,DictionaryBruteForce,0.4589795918367347,1.0
192,192,1,DoS-HTTP_Flood,0.7847057726382543,1.0
192,192,1,DoS-SYN_Flood,0.19708406385531052,0.0
192,192,1,DoS-TCP_Flood,0.674100796898557,1.0
192,192,1,DoS-UDP_Flood,0.3525551371705218,0.8
192,192,1,MITM-ArpSpoofing,0.06386756412588684,0.4
192,192,1,Mirai-greeth_flood,0.680196910541504,0.8
192,192,1,Mirai-greip_flood,0.9487701040681173,1.0
192,192,1,Mirai-udpplain,0.9125502425502425,1.0
192,192,1,Recon-HostDiscovery,0.5972740888667,1.0
192,192,1,Recon-OSScan,0.12591364421416235,0.8
192,192,1,Recon-PingSweep,0.007058823529411765,0.0
192,192,1,Recon-PortScan,0.2507767716208358,1.0
192,192,1,SqlInjection,0.07141041931385006,0.0
192,192,1,Uploading_Attack,0.026595744680851064,0.0
192,192,1,VulnerabilityScan,0.30182547642928786,0.6
192,192,1,XSS,0.03604852686308492,0.0
