filters,dose,class,mean_recall_loss,affected_frequency
128,0.75,MITM-ArpSpoofing,-0.07281790067309442,0.0
128,0.75,Mirai-greeth_flood,0.008888134442369734,0.0
128,0.75,Mirai-greip_flood,0.388951209622922,0.4
128,0.75,Mirai-udpplain,0.0783160083160083,0.2
128,0.75,Recon-HostDiscovery,0.1457613579630554,0.6
128,0.75,Recon-OSScan,-0.010017271157167537,0.0
128,0.75,Recon-PingSweep,0.0,0.0
128,0.75,Recon-PortScan,0.024524383151948166,0.4
128,0.75,SqlInjection,0.043202033036848796,0.0
128,0.75,Uploading_Attack,0.014893617021276595,0.0
128,0.75,VulnerabilityScan,0.38619859578736204,1.0
128,0.75,XSS,0.005545927209705373,0.0
128,0.901,Backdoor_Malware,0.010351966873706004,0.0
128,0.901,BenignTraffic,0.39641294545940353,0.8
128,0.901,BrowserHijacking,0.007364787111622554,0.0
128,0.901,CommandInjection,0.03634116192830655,0.0
128,0.901,DDoS-ACK_Fragmentation,0.3299150444845809,0.8
128,0.901,DDoS-HTTP_Flood,0.3495716601065061,0.8
128,0.901,DDoS-ICMP_Flood,0.16188362919132152,0.2
128,0.901,DDoS-ICMP_Fragmentation,0.4485364875701684,0.6
128,0.901,DDoS-PSHACK_Flood,0.21193828950093185,0.2
128,0.901,DDoS-RSTFINFlood,0.3907485581782507,0.6
128,0.901,DDoS-SYN_Flood,0.30662935639786315,0.2
128,0.901,DDoS-SlowLoris,0.5833238474672738,0.8
128,0.901,DDoS-SynonymousIP_Flood,0.1487161653045847,0.2
128,0.901,DDoS-TCP_Flood,0.23973671947809877,0.6
128,0.901,DDoS-UDP_Flood,0.6641277912889676,1.0
128,0.901,DDoS-UDP_Fragmentation,0.30876652719665276,0.4
128,0.901,DNS_Spoofing,0.4676820634495427,1.0
128,0.901,DictionaryBruteForce,0.14326530612244898,0.6
128,0.901,DoS-HTTP_Flood,0.5186235195374429,1.0
128,0.901,DoS-SYN_Flood,-0.019894804835286516,0.0
128,0.901,DoS-TCP_Flood,0.12047167779452939,0.4
128,0.901,DoS-UDP_Flood,0.35883091267706646,0.8
128,0.901,MITM-ArpSpoofing,-0.02300163725668547,0.4
128,0.901,Mirai-greeth_flood,0.4755253776947887,0.6
128,0.901,Mirai-greip_flood,0.680085146641438,0.8
128,0.901,Mirai-udpplain,0.8976368676368676,1.0
128,0.901,Recon-HostDiscovery,0.5488267598602097,1.0
128,0.901,Recon-OSScan,0.09061139896373058,0.4
128,0.901,Recon-PingSweep,0.0,0.0
128,0.901,Recon-PortScan,0.1483426102849547,1.0
128,0.901,SqlInjection,0.050825921219822115,0.0
128,0.901,Uploading_Attack,0.015957446808510637,0.0
128,0.901,VulnerabilityScan,0.6210698762955533,1.0
128,0.901,XSS,0.0058925476603119585,0.0
128,0.951,Backdoor_Malware,0.010351966873706004,0.0
128,0.951,BenignTraffic,0.5385124077352126,0.8
128,0.951,BrowserHijacking,0.008745684695051784,0.0
128,0.951,CommandInjection,0.03634116192830655,0.0
128,0.951,DDoS-ACK_Fragmentation,0.7307913572814235,0.8
128,0.951,DDoS-HTTP_Flood,0.7989349386432044,1.0
128,0.951,DDoS-ICMP_Flood,0.8570882642998028,1.0
128,0.951,DDoS-ICMP_Fragmentation,0.5220662924351778,0.8
128,0.951,DDoS-PSHACK_Flood,0.9972147442534686,1.0
128,0.951,DDoS-RSTFINFlood,0.41721862179677743,0.4
128,0.951,DDoS-SYN_Flood,-0.04337827524802849,0.0
128,0.951,DDoS-SlowLoris,0.7504837791690381,1.0
128,0.951,DDoS-SynonymousIP_Flood,0.2433895554396337,0.2
128,0.951,DDoS-TCP_Flood,0.07292637465051259,0.4
128,0.951,DDoS-UDP_Flood,0.48849215122706163,0.8
128,0.951,DDoS-UDP_Fragmentation,0.574868619246862,0.8
128,0.951,DNS_Spoofing,0.5897669434770962,1.0
128,0.951,DictionaryBruteForce,0.22642857142857142,0.8
