cell,class,mean_recall_loss,sd_recall_loss,affected_frequency,n
prune98p5,DDoS-PSHACK_Flood,0.042731414371505495,0.028643028639982974,0.0,5
prune98p5,DDoS-RSTFINFlood,0.0001664783875379161,0.0006311924384132783,0.0,5
prune98p5,DDoS-SYN_Flood,-0.13408293055202242,0.36024137057717764,0.2,5
prune98p5,DDoS-SlowLoris,0.7112122936824132,0.0638038771087631,1.0,5
prune98p5,DDoS-SynonymousIP_Flood,0.05859850460789427,0.3168045681510214,0.2,5
prune98p5,DDoS-TCP_Flood,-0.17885601118359734,0.36778937388849314,0.0,5
prune98p5,DDoS-UDP_Flood,0.19397523767411012,0.44901755441762475,0.4,5
prune98p5,DDoS-UDP_Fragmentation,0.0238594142259414,0.0030873467377391973,0.0,5
prune98p5,DNS_Spoofing,0.1869350579771153,0.0673829921164997,0.8,5
prune98p5,DictionaryBruteForce,0.14214285714285713,0.1177563841758092,0.6,5
prune98p5,DoS-HTTP_Flood,0.18946190431782153,0.05969136836587293,1.0,5
prune98p5,DoS-SYN_Flood,0.1313370859093845,0.03127397152562689,0.2,5
prune98p5,DoS-TCP_Flood,0.3972108550506138,0.29287624686986363,0.6,5
prune98p5,DoS-UDP_Flood,-0.0658687466379774,0.3489258080781026,0.4,5
prune98p5,MITM-ArpSpoofing,0.10968892122976168,0.06853558909375489,0.4,5
prune98p5,Mirai-greeth_flood,0.029122390086572757,0.14098759969690383,0.2,5
prune98p5,Mirai-greip_flood,0.47902419245844036,0.26398140908488477,1.0,5
prune98p5,Mirai-udpplain,0.011032571032571003,0.004045055789687702,0.0,5
prune98p5,Recon-HostDiscovery,0.09532700948577136,0.1593558502278743,0.4,5
prune98p5,Recon-OSScan,0.021347150259067357,0.022663022638609764,0.0,5
prune98p5,Recon-PingSweep,0.0,0.0,0.0,5
prune98p5,Recon-PortScan,0.11556035557032485,0.01721452561839431,0.8,5
prune98p5,SqlInjection,0.035578144853875476,0.009029650828177823,0.0,5
prune98p5,Uploading_Attack,0.0,0.0,0.0,5
prune98p5,VulnerabilityScan,0.1666064861250418,0.10131288048986904,0.8,5
prune98p5,XSS,0.0020797227036395147,0.004650401339687605,0.0,5
