arch,cell,seed,M0,before,after,loss_before,loss_after,benign_to_attack_before,exact_attack_type_before,benign_to_attack_after,exact_attack_type_after,benign_to_attack_dense,exact_attack_type_dense
cnn1d,gradual_global,1,0.5493973430465274,0.5329172054216926,0.5242875278034455,0.0164801376248348,0.02510981524308198,0.3193948097925921,0.7056284058305894,0.20319962593099763,0.6953478520401286,0.22788150028389165,0.7100802957656981
cnn1d,gradual_global,2,0.5360538093973034,0.5357363464468187,0.5361044099039924,0.00031746295048473705,-5.060050668903582e-05,0.3058682074747002,0.7040610016752354,0.3156541197688788,0.708699670729594,0.2805517517784977,0.7014306895422949
cnn1d,gradual_global,3,0.5406188037061865,0.5363463476286077,0.5358323618788611,0.004272456077578868,0.0047864418273254605,0.2713670218095588,0.7025706198370978,0.24501519655322135,0.6985096181618624,0.2694966767977022,0.7048620337742861
cnn1d,gradual_global,4,0.536900304921525,0.42149518412594694,0.535890606386013,0.11540512079557802,0.001009698535511916,0.5719581844293777,0.5984094891494811,0.23840219097558532,0.7065411202896039,0.3322534317491066,0.7102670748849479
cnn1d,starved_densehead,0,0.5451385144815333,0.2542260171646171,0.518786738180233,0.29091249731691615,0.026351776301300256,0.9310978257239237,0.4038549669766815,0.3135165826124712,0.6946893112279283,0.32089776560569117,0.7094429360907323
cnn1d,starved_densehead,1,0.5493973430465274,0.47080736423041736,0.5209291459009632,0.07858997881611007,0.028468197145564256,0.7198490364383288,0.6542333391100071,0.4118766908252897,0.6945872566576166,0.22788150028389165,0.7100802957656981
cnn1d,starved_densehead,2,0.5360538093973034,0.33452872982743076,0.52763214336268,0.20152507956987264,0.008421666034623354,0.47359807621655925,0.5112914717039262,0.33145185531545374,0.7005776673791231,0.2805517517784977,0.7014306895422949
cnn1d,starved_densehead,3,0.5406188037061865,0.22528116402586174,0.5270330421050745,0.3153376396803248,0.013585761601112023,0.9999666009819311,0.33469662834806385,0.23422731371697672,0.6927695299713091,0.2694966767977022,0.7048620337742861
cnn1d,starved_densehead,4,0.536900304921525,0.29456437502941857,0.5288234396940252,0.2423359298921064,0.00807686522749973,0.5010520690691693,0.46611210598270847,0.2988210146621689,0.7018485356131939,0.3322534317491066,0.7102670748849479
cnn1d,f128_uniform80,0,0.5449326612794696,0.4285474236151078,0.5110284327602795,0.11638523766436182,0.03390422851919006,0.3054340202398049,0.5970673752719851,0.33392338265255,0.6884293223961643,0.24775391603486857,0.7038203069339342
cnn1d,f128_uniform80,1,0.5304314795513608,0.36917704217686564,0.5125249305944316,0.16125443737449519,0.017906548956929225,0.9346715206572926,0.5644773072997901,0.29033766407267625,0.6925326863458687,0.2819211115193213,0.6959698072516511
cnn1d,f128_uniform80,2,0.5402817044813109,0.2854586770749932,0.5272432325565273,0.2548230274063177,0.013038471924783579,0.8943255068300991,0.44017098954422046,0.321699342039344,0.7028748579901026,0.22898366788016433,0.6989005064217357
cnn1d,f128_uniform80,3,0.5461374545259424,0.31822647013030453,0.5268578462041552,0.2279109843956379,0.01927960832178721,0.8776927958318026,0.505809408276048,0.4043953107778631,0.709845377698188,0.26361844961758124,0.7101996803573836
cnn1d,f128_uniform80,4,0.5263897970850578,0.33308063771153584,0.5274866269804062,0.193309159373522,-0.0010968298953483169,0.9844360575799072,0.5370227023279995,0.2656223907017134,0.6973831667725724,0.4064994489162019,0.7024454585716211
mlp,mlp_38w,0,0.5641802330707325,0.335600421033816,0.41084082385668447,0.22857981203691652,0.15333940921404804,0.47733876624027255,0.47658714112414075,0.3160883070037741,0.5593553232048987,0.2073077051534685,0.7259257119750447
mlp,mlp_38w,1,0.5413152137372954,0.24726489196884163,0.3767395271506829,0.2940503217684538,0.16457568658661254,0.49787916235262686,0.3728688887605184,0.4637787649043118,0.5513604066778349,0.20179686717210513,0.7060212196483932
mlp,mlp_38w,2,0.5349953211481185,0.2250702179533935,0.3795561106059142,0.30992510319472505,0.15543921054220433,0.7343442102802178,0.38175533860936206,0.4744330516682809,0.5537904607860128,0.22497578571190008,0.6929062445843683
mlp,mlp_38w,3,0.5691732628614675,0.20279585784874438,0.36272281472497964,0.36637740501272315,0.20645044813648789,0.7303363281119535,0.33696301003215684,0.3825189539427541,0.5213544374482506,0.21325273036972714,0.7270040244160746
mlp,mlp_38w,4,0.5550989941365444,0.13773389922904536,0.32734775519957976,0.41736509490749907,0.22775123893696464,0.9997662068735179,0.23084358692931276,0.4552286162786814,0.4226927002098858,0.20500317290671655,0.7211695838869312
mlp,mlp_96w,0,0.5641802330707325,0.303752975493006,0.42189763197690583,0.2604272575777265,0.14228260109382668,0.2624828830032397,0.45176477384322106,0.2928759894459103,0.5821712591223307,0.2073077051534685,0.7259257119750447
mlp,mlp_96w,1,0.5413152137372954,0.42434420763200914,0.46709428594764213,0.11697100610528627,0.07422092778965328,0.2609799271901406,0.5861244295534631,0.2820547075915968,0.6389232280053145,0.20179686717210513,0.7060212196483932
mlp,mlp_96w,2,0.5349953211481185,0.3950181190028637,0.5021693190817744,0.13997720214525483,0.03282600206634412,0.05400621221736081,0.5290701480754049,0.23977155071640893,0.6757341189609689,0.22497578571190008,0.6929062445843683
mlp,mlp_96w,3,0.5691732628614675,0.44281908333526204,0.4943588602117557,0.12635417952620548,0.07481440264971184,0.2791489930196052,0.6192498026303122,0.24875588657693465,0.6698996784318256,0.21325273036972714,0.7270040244160746
mlp,mlp_96w,4,0.5550989941365444,0.3106795604960483,0.4821427292831263,0.24441943364049612,0.0729562648534181,0.9497678768244213,0.4291722026457166,0.25777362145552923,0.6486781044807733,0.20500317290671655,0.7211695838869312
mlp,mlp_192w,0,0.5641802330707325,0.492478770509727,0.5114566550574359,0.07170146256100551,0.052723578013296635,0.20717410908119302,0.6486704022490517,0.23760061454193246,0.6752893150790441,0.2073077051534685,0.7259257119750447
mlp,mlp_192w,1,0.5413152137372954,0.507543382836468,0.5324802349377507,0.03377183090082736,0.008834978799544757,0.31695668147356465,0.6858086380528758,0.25226278347416586,0.698925538674831,0.20179686717210513,0.7060212196483932
mlp,mlp_192w,2,0.5349953211481185,0.4851147080732069,0.5446161318382474,0.04988061307491165,-0.009620810690128878,0.19254533916702848,0.6533764658309745,0.16385558264587022,0.7129590048716615,0.22497578571190008,0.6929062445843683
mlp,mlp_192w,3,0.5691732628614675,0.5170903770101183,0.5352040456116217,0.05208288585134924,0.03396921724984581,0.24147490063792124,0.6979839408468603,0.264186232924752,0.7079063408622649,0.21325273036972714,0.7270040244160746
mlp,mlp_192w,4,0.5550989941365444,0.47095614310683315,0.5383694521933223,0.08414285102971125,0.01672954194322207,0.18509735813767075,0.6290836269809177,0.193179920510337,0.7064718002041092,0.20500317290671655,0.7211695838869312
