set_id,architecture,budget,target,observed,additive_prediction,interaction_residual
shallow_b25_s22287,shallow,0.25,raw_fine_f1_loss,0.11348194591275046,0.26528332355126305,-0.1518013776385126
shallow_b25_s22289,shallow,0.25,raw_fine_f1_loss,0.4032675641241171,0.41218659894418114,-0.008919034820064065
shallow_b25_s22291,shallow,0.25,raw_fine_f1_loss,0.15889176249194592,0.2962687450050407,-0.13737698251309477
shallow_b25_s22293,shallow,0.25,raw_fine_f1_loss,0.3232665308625515,0.3356461191437791,-0.012379588281227594
shallow_b25_s22295,shallow,0.25,raw_fine_f1_loss,0.31904306941893446,0.3747297073939255,-0.05568663797499107
shallow_b25_s22297,shallow,0.25,raw_fine_f1_loss,0.2541288970186489,0.32666966160013877,-0.07254076458148989
shallow_b25_s22299,shallow,0.25,raw_fine_f1_loss,0.41099779455070723,0.3613709717767353,0.04962682277397196
shallow_b25_s22301,shallow,0.25,raw_fine_f1_loss,0.2986420371024491,0.38580647285928166,-0.08716443575683258
shallow_b25_s22303,shallow,0.25,raw_fine_f1_loss,0.26605457600528226,0.32693201289401397,-0.060877436888731706
shallow_b25_s22305,shallow,0.25,raw_fine_f1_loss,0.19507398012486676,0.28216647207066353,-0.08709249194579677
shallow_b25_s22307,shallow,0.25,raw_fine_f1_loss,0.406333478756272,0.4458194385496843,-0.039485959793412295
shallow_b25_s22309,shallow,0.25,raw_fine_f1_loss,0.5052043012407831,0.4317625522865176,0.07344174895426547
shallow_b25_s22311,shallow,0.25,raw_fine_f1_loss,0.498506703485172,0.49877987025860904,-0.000273166773437028
shallow_b25_s22313,shallow,0.25,raw_fine_f1_loss,0.36041743830525574,0.45818041166850554,-0.0977629733632498
shallow_b25_s22315,shallow,0.25,raw_fine_f1_loss,0.20850653387597035,0.3087906363199965,-0.10028410244402614
shallow_b25_s22277,shallow,0.25,raw_family_f1_loss,0.20451165294949075,0.2665139803629786,-0.06200232741348782
shallow_b25_s22279,shallow,0.25,raw_family_f1_loss,0.276336945900884,0.36046258804857556,-0.08412564214769158
shallow_b25_s22281,shallow,0.25,raw_family_f1_loss,0.3929818230012998,0.2637331616463077,0.12924866135499208
shallow_b25_s22283,shallow,0.25,raw_family_f1_loss,0.30401109672254933,0.24333306485854847,0.060678031864000864
shallow_b25_s22285,shallow,0.25,raw_family_f1_loss,0.24158226123612236,0.19964945455626576,0.041932806679856605
shallow_b25_s22287,shallow,0.25,raw_family_f1_loss,0.10219489326804732,0.1529486167184834,-0.05075372345043608
shallow_b25_s22289,shallow,0.25,raw_family_f1_loss,0.23191539404140138,0.3149642961489718,-0.08304890210757043
shallow_b25_s22291,shallow,0.25,raw_family_f1_loss,0.10468241999280004,0.18375664715725132,-0.07907422716445128
shallow_b25_s22293,shallow,0.25,raw_family_f1_loss,0.25770464781638697,0.2433507354325531,0.014353912383833878
shallow_b25_s22295,shallow,0.25,raw_family_f1_loss,0.17679081115201317,0.2989596287010088,-0.12216881754899561
shallow_b25_s22297,shallow,0.25,raw_family_f1_loss,0.1328828545014616,0.20465537468261435,-0.07177252018115277
shallow_b25_s22299,shallow,0.25,raw_family_f1_loss,0.31163026012627004,0.21845942188236,0.09317083824391004
shallow_b25_s22301,shallow,0.25,raw_family_f1_loss,0.19271662333471223,0.3062943512453685,-0.11357772791065629
shallow_b25_s22303,shallow,0.25,raw_family_f1_loss,0.20884435537550544,0.23137493481643032,-0.022530579440924875
shallow_b25_s22305,shallow,0.25,raw_family_f1_loss,0.16130569471236694,0.1895978477084443,-0.028292152996077347
shallow_b25_s22307,shallow,0.25,raw_family_f1_loss,0.30946660308407825,0.3250661547784942,-0.015599551694415958
shallow_b25_s22309,shallow,0.25,raw_family_f1_loss,0.40984720333463753,0.31094023655928055,0.09890696677535699
shallow_b25_s22311,shallow,0.25,raw_family_f1_loss,0.43828300784661345,0.36232712452983973,0.07595588331677372
shallow_b25_s22313,shallow,0.25,raw_family_f1_loss,0.22204459683167116,0.32535526547249694,-0.10331066864082578
shallow_b25_s22315,shallow,0.25,raw_family_f1_loss,0.09789788660015147,0.18226821831385373,-0.08437033171370226
shallow_b40_s22427,shallow,0.4,raw_awbir,0.47584576454181166,0.46269015012486625,0.013155614416945405
shallow_b40_s22429,shallow,0.4,raw_awbir,0.5046168811123056,0.46373746102429364,0.040879420088011986
shallow_b40_s22431,shallow,0.4,raw_awbir,0.5172847185963406,0.4633415081065546,0.05394321048978601
shallow_b40_s22433,shallow,0.4,raw_awbir,0.428868333103625,0.4639546519838374,-0.03508631888021241
shallow_b40_s22435,shallow,0.4,raw_awbir,0.41048480411543337,0.46324815568023353,-0.052763351564800165
shallow_b40_s22437,shallow,0.4,raw_awbir,0.28831083594825124,0.46484745356423424,-0.176536617615983
shallow_b40_s22439,shallow,0.4,raw_awbir,0.35273803915457214,0.4642229599141487,-0.11148492075957656
shallow_b40_s22441,shallow,0.4,raw_awbir,0.3227956255867672,0.46459699557214934,-0.14180136998538212
shallow_b40_s22443,shallow,0.4,raw_awbir,0.42226304009156423,0.46445050329526905,-0.04218746320370481
shallow_b40_s22445,shallow,0.4,raw_awbir,0.49961071180492034,0.4630270831899817,0.036583628614938635
shallow_b40_s22447,shallow,0.4,raw_awbir,0.6029264399746948,0.4643657155937669,0.13856072438092787
shallow_b40_s22449,shallow,0.4,raw_awbir,0.5045853806784292,0.4637907083184164,0.040794672360012774
shallow_b40_s22451,shallow,0.4,raw_awbir,0.32246387572190327,0.4623647904169872,-0.13990091469508392
shallow_b40_s22453,shallow,0.4,raw_awbir,0.4964804328636504,0.4632837775694265,0.03319665529422389
shallow_b40_s22455,shallow,0.4,raw_awbir,0.44342150212310283,0.46344831955225196,-0.020026817429149135
shallow_b40_s22457,shallow,0.4,raw_awbir,0.4776305150235271,0.46313553961590537,0.014494975407621735
shallow_b40_s22459,shallow,0.4,raw_awbir,0.3747152970612511,0.46436687008947997,-0.08965157302822885
shallow_b40_s22461,shallow,0.4,raw_awbir,0.5476512256987796,0.4637565339119462,0.08389469178683334
shallow_b40_s22463,shallow,0.4,raw_awbir,0.358071027063122,0.46425491646969724,-0.10618388940657525
shallow_b40_s22465,shallow,0.4,raw_awbir,0.31038112378591304,0.46351751011508824,-0.1531363863291752
shallow_b40_s22427,shallow,0.4,raw_hsr_delta,0.21614173228346456,0.2676751233650993,-0.05153339108163474
shallow_b40_s22429,shallow,0.4,raw_hsr_delta,0.18471514590088,0.27665569148466007,-0.09194054558378006
shallow_b40_s22431,shallow,0.4,raw_hsr_delta,0.1777443260768875,0.256852774064866,-0.0791084479879785
