label,0,1,2,3,4,mean,std,support,tier,null_band_2sigma
Recon-HostDiscovery,0.7047428856714928,0.7121817274088866,0.6693959061407888,0.7236645032451323,0.7976035946080878,0.7215177234148775,0.04214002443654639,20030,measurable,0.0843
DoS-SYN_Flood,0.16439051397988372,0.19641044569530314,0.20711451508720125,0.15387099750853558,0.2365968441450586,0.19167666328319646,0.029840780557411795,21674,measurable,0.0597
DoS-UDP_Flood,0.6823112784651246,0.7169625246548323,0.7223865877712031,0.5988434642280797,0.6834767796306258,0.6807961269499732,0.04418935451980465,22308,measurable,0.0884
DNS_Spoofing,0.612758792239103,0.5719643335501894,0.4980674294898779,0.6002449198270253,0.5514522980368145,0.566897554628602,0.04053915195778683,26131,measurable,0.0811
MITM-ArpSpoofing,0.12505002728761141,0.08582863380025468,0.12555939603420047,0.1059486992905221,0.08848462797889758,0.10617427687829724,0.017082134257138535,27485,measurable,0.0342
Mirai-udpplain,0.9874220374220374,0.9916493416493416,0.987941787941788,0.9876299376299377,0.9862092862092862,0.9881704781704782,0.001835941821725661,28860,robust,0.0037
Mirai-greeth_flood,0.9728399253097946,0.9844848073332202,0.9647258529960957,0.9802410456628756,0.9708368698013919,0.9746257002206755,0.0069897825508424445,29455,robust,0.014
Mirai-greip_flood,0.9839167455061495,0.9848966076496823,0.9760440600081092,0.9828355183132855,0.9813488309230978,0.9818083524800649,0.0031137096382806736,29596,robust,0.0062
DDoS-UDP_Fragmentation,0.9898242677824268,0.990928870292887,0.9889874476987448,0.9902928870292887,0.990694560669456,0.9901456066945606,0.0006900919915568872,29875,robust,0.0014
DDoS-ACK_Fragmentation,0.9651481704461837,0.8943407585791692,0.9753495217071376,0.8565121412803532,0.9407318215265235,0.9264164827078734,0.044754852016402176,29898,robust,0.0895
VulnerabilityScan,0.6740220661985958,0.7219993313273153,0.5956201939150786,0.6292544299565362,0.7,0.6641792042795052,0.04613730853071616,29910,measurable,0.0923
DDoS-ICMP_Fragmentation,0.9721331194867683,0.9700614808874632,0.9684576316492917,0.9692595562683775,0.9705292702485966,0.9700882117080993,0.001242767569752294,29928,robust,0.0025
BenignTraffic,0.6791022343943088,0.7721184997161084,0.7194482482215023,0.7305033232022978,0.6677465682508934,0.7137837747570221,0.037514805932363324,29941,measurable,0.075
