label,0,1,2,3,4,mean,std,support,tier,null_band_2sigma,final_tier
DDoS-PSHACK_Flood,0.9983433423068958,0.9982915717539864,0.9979291778836198,0.9976185545661628,0.9980327189894388,0.9980430731000206,0.0002627578699616,19316,robust,0.0005,robust
DDoS-SYN_Flood,0.5225642330195879,0.1938946832866954,0.1524802849147799,0.6776901551767998,0.1065886542864411,0.3306436021368608,0.227120185189184,19655,measurable,0.4542,unstable_confusable
Recon-HostDiscovery,0.7047428856714928,0.7121817274088866,0.6693959061407888,0.7236645032451323,0.7976035946080878,0.7215177234148775,0.0421400244365463,20030,measurable,0.0843,measurable
DoS-SYN_Flood,0.1643905139798837,0.1964104456953031,0.2071145150872012,0.1538709975085355,0.2365968441450586,0.1916766632831964,0.0298407805574117,21674,measurable,0.0597,measurable
DoS-UDP_Flood,0.6823112784651246,0.7169625246548323,0.7223865877712031,0.5988434642280797,0.6834767796306258,0.6807961269499732,0.0441893545198046,22308,measurable,0.0884,measurable
DNS_Spoofing,0.612758792239103,0.5719643335501894,0.4980674294898779,0.6002449198270253,0.5514522980368145,0.566897554628602,0.0405391519577868,26131,measurable,0.0811,measurable
MITM-ArpSpoofing,0.1250500272876114,0.0858286338002546,0.1255593960342004,0.1059486992905221,0.0884846279788975,0.1061742768782972,0.0170821342571385,27485,measurable,0.0342,measurable
Mirai-udpplain,0.9874220374220374,0.9916493416493416,0.987941787941788,0.9876299376299376,0.9862092862092862,0.9881704781704782,0.0018359418217256,28860,robust,0.0037,robust
Mirai-greeth_flood,0.9728399253097946,0.9844848073332202,0.9647258529960956,0.9802410456628756,0.970836869801392,0.9746257002206756,0.0069897825508424,29455,robust,0.014,robust
Mirai-greip_flood,0.9839167455061496,0.9848966076496825,0.9760440600081092,0.9828355183132856,0.9813488309230978,0.9818083524800648,0.0031137096382806,29596,robust,0.0062,robust
DDoS-UDP_Fragmentation,0.9898242677824268,0.990928870292887,0.9889874476987448,0.9902928870292887,0.990694560669456,0.9901456066945606,0.0006900919915568,29875,robust,0.0014,robust
DDoS-ACK_Fragmentation,0.9651481704461836,0.8943407585791692,0.9753495217071376,0.8565121412803532,0.9407318215265236,0.9264164827078734,0.0447548520164021,29898,robust,0.0895,robust
VulnerabilityScan,0.6740220661985958,0.7219993313273153,0.5956201939150786,0.6292544299565362,0.7,0.6641792042795052,0.0461373085307161,29910,measurable,0.0923,measurable
DDoS-ICMP_Fragmentation,0.9721331194867684,0.9700614808874632,0.9684576316492916,0.9692595562683776,0.9705292702485966,0.9700882117080992,0.0012427675697522,29928,robust,0.0025,robust
BenignTraffic,0.6791022343943088,0.7721184997161084,0.7194482482215023,0.7305033232022978,0.6677465682508934,0.7137837747570221,0.0375148059323633,29941,measurable,0.075,measurable
