budget,metric,method,full,minimal,none,rank_full,rank_minimal,rank_none
0.4,fine_macro_f1,saber_v2,0.5660173379153065,0.5410777264733305,0.4045311783063265,1.0,1.0,2.0
0.4,fine_macro_f1,taylor,0.5509242013583485,0.532361235550521,0.1540721833510214,5.0,3.0,3.0
0.4,hsr_balanced_soc,fisher,0.1638439844661749,0.1518895663746943,0.1582334552565029,4.0,4.0,1.0
0.4,hsr_balanced_soc,magnitude,0.1787875532769051,0.1487693285243776,0.5072777026252019,5.0,3.0,5.0
0.4,hsr_balanced_soc,random,0.1528505078716001,0.1592999947201016,0.456161004127424,2.0,5.0,4.0
0.4,hsr_balanced_soc,saber_v2,0.1512348589811981,0.1484820292287889,0.1918999076928118,1.0,2.0,2.0
0.4,hsr_balanced_soc,taylor,0.1559346967608734,0.144570899021034,0.3987845309902722,3.0,1.0,3.0
0.55,awbir,fisher,0.111116911517555,0.1555360733589506,0.2534273159475522,1.0,4.0,2.0
0.55,awbir,magnitude,0.123509740156006,0.1516408948183364,0.5044291671407305,5.0,3.0,5.0
0.55,awbir,random,0.1153010878609425,0.1643368190670485,0.5002726167340309,3.0,5.0,4.0
0.55,awbir,saber_v2,0.1170198074780539,0.121789377407397,0.2020244174849102,4.0,2.0,1.0
0.55,awbir,taylor,0.1145464133354917,0.1139099319420027,0.3406351357628996,2.0,1.0,3.0
0.55,family_macro_f1,fisher,0.6556608843264806,0.5802291454312836,0.3086171291014199,3.0,5.0,2.0
0.55,family_macro_f1,magnitude,0.6345448043003385,0.5894938345371274,0.0661411505691205,5.0,4.0,5.0
0.55,family_macro_f1,random,0.6408811781644445,0.6077682812697254,0.1584752593118925,4.0,3.0,3.0
0.55,family_macro_f1,saber_v2,0.676316706280183,0.6103782255760267,0.4037766737578288,1.0,2.0,1.0
0.55,family_macro_f1,taylor,0.6597493681942277,0.6183942283118102,0.077249102326327,2.0,1.0,4.0
0.55,fine_macro_f1,fisher,0.567185532999616,0.5173326908041042,0.2538789935867572,3.0,5.0,2.0
0.55,fine_macro_f1,magnitude,0.5462272336396063,0.5304137176804675,0.0091884415811752,4.0,4.0,5.0
0.55,fine_macro_f1,random,0.5425359121189129,0.5335391655810021,0.0308676739621816,5.0,2.0,3.0
0.55,fine_macro_f1,saber_v2,0.5687796143280168,0.5411798002732551,0.3141698826303703,2.0,1.0,1.0
0.55,fine_macro_f1,taylor,0.5797712239836468,0.5304427997673132,0.0279117334612757,1.0,3.0,4.0
0.55,hsr_balanced_soc,fisher,0.1567751109233814,0.1498438788682082,0.3294612865109522,2.0,3.0,2.0
0.55,hsr_balanced_soc,magnitude,0.1790373470877719,0.1412139760729572,0.5029514631690678,5.0,1.0,4.0
0.55,hsr_balanced_soc,random,0.1719539083081931,0.1455169111502349,0.4172365012116456,4.0,2.0,3.0
0.55,hsr_balanced_soc,saber_v2,0.1565325997309072,0.1498548027957972,0.2355402701487293,1.0,4.0,1.0
0.55,hsr_balanced_soc,taylor,0.1597831964504518,0.150195265205652,0.5313030607024449,3.0,5.0,5.0
