architecture,method,regime,recovery_seed,epoch,train_loss,val_n,val_fine_accuracy,val_fine_macro_f1,val_binary_accuracy,val_binary_balanced_accuracy,val_binary_attack_recall,val_binary_attack_f1,val_family_accuracy,val_family_macro_f1,val_exact_attack_type_rate,val_attack_to_benign_rate,val_benign_to_attack_rate,val_same_family_attack_substitution_rate,val_cross_family_attack_substitution_rate,val_ece15,val_nll,val_brier,val_hsr_miss_sensitive,val_hsr_balanced_soc,val_hsr_alert_fatigue,val_awbir,val_teacher_correction_fine,val_teacher_degradation_fine,val_net_teacher_correction_fine,val_teacher_correction_family,val_teacher_degradation_family,val_net_teacher_correction_family,val_teacher_correction_binary,val_teacher_degradation_binary,val_net_teacher_correction_binary
shallow,random,full_ce,401,4,0.502320899951257,549253.0,0.6771251135633306,0.5324679030126488,0.937655324595405,0.9591618524952705,0.9350237717908082,0.9659403431329155,0.7798100328992286,0.6009819206917871,0.6594731886164991,0.06497622820919176,0.016700066800267203,0.10860502240459992,0.1669455607697092,0.1784383491058313,1.1451255519629624,0.4840033891898794,0.15769872900102502,0.17722470336984958,0.14951743549875923,0.1512626571735234,0.09705545531840518,0.17534542369363482,-0.07828996837522964,0.08452753102850599,0.16014477845364522,-0.07561724742513923,0.04298019309862668,0.05441208332043703,-0.011431890221810348
shallow,random,full_ce,503,1,0.5839759000538383,549253.0,0.7064995548499508,0.553619375367033,0.9352047235062895,0.9654197926187003,0.9315075879094111,0.9645201714325022,0.8308721117590618,0.6172122607518911,0.6896168591966695,0.06849241209058891,0.0006680026720106881,0.1315430193351601,0.11034770937758154,0.1456113319909984,0.8086158408746489,0.40822246927447514,0.13766303203320387,0.1522547896870841,0.12888432106879708,0.10278079443325798,0.08975645103440491,0.13867197812301435,-0.04891552708860944,0.08443285698940196,0.10898802555470793,-0.02455516856530597,0.042909187569298665,0.05679167888022459,-0.013882491310925928
shallow,random,full_ce,503,2,0.5220209158799468,549253.0,0.6956102196983903,0.5625324810869295,0.9250363675755982,0.9602628176634487,0.9207260361285006,0.9587213172605729,0.8184625300180427,0.6276458938670937,0.6780727615137692,0.07927396387149946,0.0002004008016032064,0.12993512582970193,0.11271814878502945,0.18417629461845736,1.0113231503179958,0.4571472303795007,0.1487177433107633,0.16347402745183004,0.13783047156774747,0.1202589172776182,0.08947242891709285,0.14927729115726268,-0.05980486224016983,0.08413609028990283,0.12110084059622797,-0.036964750306325136,0.0424704098111435,0.06652125705276075,-0.024050847241617254
shallow,random,full_ce,503,3,0.5097721539941702,549253.0,0.6772343528392198,0.5377854437498018,0.9163281766326264,0.9556104833576047,0.9115215679176142,0.953704440573917,0.8072327324566274,0.5957221363773287,0.6586432459807476,0.08847843208238576,0.0003006012024048096,0.13749318811583766,0.11538513382102894,0.2001420772748025,1.184458837494126,0.4922158794061064,0.15987365263973677,0.1751222114399011,0.14748813388365653,0.12065213166257385,0.08653389239567194,0.16471462149501231,-0.07818072909934037,0.08386481275477785,0.13205936062251822,-0.04819454786774037,0.04019641221804888,0.07295545040263776,-0.03275903818458888
shallow,random,full_ce,503,4,0.5021686100812048,549253.0,0.6920380953768118,0.5195967264566497,0.9282425403229477,0.9617380053343456,0.9241440133407021,0.9605575364797504,0.8243523476430716,0.5902367943960833,0.6743216518746883,0.07585598665929796,0.0006680026720106881,0.13994257798283502,0.10987978348317874,0.19032559022562778,1.052449403496625,0.4589420960053825,0.145727621575728,0.1605398605014447,0.13582119715322447,0.13594510093192047,0.08639006068241775,0.14976704724416617,-0.06337698656174842,0.08627353878813589,0.11734847146943211,-0.031074932681296227,0.04286731251354112,0.06371198700780879,-0.020844674494267676
shallow,random,full_ce,503,5,0.49575047688029245,549253.0,0.6717651064263646,0.5048786137133062,0.9175225260490156,0.9559745536765949,0.9128175108268038,0.9543969711398593,0.8008385935079099,0.5689680492021039,0.652891416159426,0.08718248917319613,0.0008684034736138944,0.13651497266581042,0.12341112200156745,0.20594912989686176,1.220400328613643,0.4993671834758105,0.16229618530379747,0.17828359608413608,0.15014811025155986,0.14572180138372717,0.08215885939630735,0.165808834908503,-0.08364997551219566,0.08322212168162942,0.1378108084980874,-0.054588686816457996,0.041665680478759334,0.07323036924695905,-0.03156468876819972
shallow,magnitude,minimal_ce,101,1,0.8296058562757317,549253.0,0.6623268329895331,0.5067510988600451,0.9403517140552714,0.9510037857219362,0.9390483196068652,0.9675006596685587,0.8218398442976188,0.5817455358631185,0.6449944445835171,0.060951680393134776,0.03704074816299265,0.16870942957330165,0.1253444454500465,0.10966747736155236,0.7422309752137866,0.3894907262031554,0.14397539324622108,0.1618503676811961,0.13928098708609693,0.12853743258925326,0.07791673418260801,0.17100498313163515,-0.09308824894902713,0.07318303222740705,0.1067704682541561,-0.03358743602674906,0.03948817757936689,0.04822367834131083,-0.008735500761943946
shallow,magnitude,minimal_ce,211,1,0.8234302094879316,549253.0,0.6636395249548023,0.5173663093118871,0.9415715526360348,0.9581483556044004,0.9395432041947727,0.9681603609788814,0.8360482327816143,0.6083408642075487,0.6455875358406202,0.06045679580522729,0.023246492985971944,0.18234860286570911,0.11160706548844339,0.11453431984537081,0.7614668565087294,0.404464735325929,0.13897451022874097,0.1557173106018538,0.1342395945038079,0.1507196820754552,0.08221712034344829,0.17399267732720622,-0.09177555698375793,0.07826812052005178,0.0976471680628053,-0.01937904754275352,0.0373598323541246,0.044875494535305226,-0.007515662181180625
shallow,magnitude,minimal_ce,307,1,0.8175512825566451,549253.0,0.6752625839094188,0.5234223396928188,0.9467604182407743,0.955321376742428,0.945712893765417,0.9710900024122971,0.8260328118371679,0.6118424852525236,0.6585623699002335,0.054287106234583,0.03507014028056112,0.1594625977011937,0.12768792616398975,0.1115827441053578,0.7652652046102786,0.40052319600435216,0.13729799078627397,0.15506551625571457,0.13349185166034597,0.12128167540361058,0.08133410286334349,0.16148660089248487,-0.08015249802914139,0.07737964107615251,0.10677410956335241,-0.0293944684871999,0.03946997103338534,0.04179676760982644,-0.0023267965764410953
shallow,magnitude,minimal_ce,401,1,0.8231035754499502,549253.0,0.66396724278247,0.5126152596291206,0.9490307745246725,0.9580799897893466,0.9479235066328014,0.9723515184196466,0.8371479081588995,0.5978021765961503,0.6464251809602302,0.052076493367198586,0.03176352705410822,0.18316506615470823,0.11833325951786303,0.11429845150300418,0.7495761801530374,0.4041423525948064,0.13447552099548538,0.1520425013609393,0.13169923514300333,0.13028919990245266,0.08298361592927121,0.1744314550853614,-0.09144783915609019,0.07858309376553246,0.09686246593100083,-0.018279372165468363,0.039551900490302286,0.039608340782845065,-5.6440292542779547e-05
