group_id,module_path,layer_index,channel_index,out_channels,in_channels,kernel_size,parameter_cost,flops_cost,batchnorm_path,downstream_path,downstream_kind,random,magnitude,taylor,fisher,bn_gamma,r_sbl,profile_min,profile_mean,profile_max,profile_aggregation,profile_cvar_q,v_c,selection_priority,protected,selected_for_pruning,selection_order
conv.0:out:61,conv.0,0,61,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.4710962061431325,0.7737953364849091,0.3368426322937011,0.0761810784693807,1.078052043914795,0.0002956053306031,0.0002857165734955,0.0002904295294647,0.0002956053306031,cvar,0.75,0.2469409084345128,1.4845156807938883e-05,False,False,
conv.0:out:62,conv.0,0,62,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.5652361064811888,1.097988247871399,1.223015512013808,2.1765377502844787,1.2999480962753296,0.0032633148230512,0.0031634534492545,0.0032274789718076,0.0032633148230512,cvar,0.75,1.4367471036189836,1.7811687983903346e-05,False,False,
conv.0:out:63,conv.0,0,63,64,1,3,390,31734.0,conv.2,conv.3,conv_in,0.7649988574160256,1.3920070677995682,0.8984372284263372,0.2737462958553806,0.8598693013191223,0.0002947221236747,0.0002863467324119,0.0002896744793888,0.0002947221236747,cvar,0.75,0.2244917349404662,2.4106600410160255e-05,False,False,
conv.3:out:0,conv.3,1,0,128,64,3,229,15812.0,conv.5,head,linear_in,0.6347183200005908,13.069807291030884,0.2708606533007696,0.0010760375976133,1.8497693538665767,0.0005958904387714,0.0005914015143559,0.0005942413257566,0.0005958904387714,cvar,0.75,0.0064133805478882,4.014155831018156e-05,False,False,
conv.3:out:1,conv.3,1,1,128,64,3,229,15812.0,conv.5,head,linear_in,0.5535794006579958,13.384104117751122,1.165346511125972,0.017498532395998,2.052964448928833,0.001672333445076,0.0015909896006066,0.0016297799222886,0.001672333445076,cvar,0.75,0.0529103895200784,3.501008099279002e-05,False,False,
conv.3:out:2,conv.3,1,2,128,64,3,229,15812.0,conv.5,head,linear_in,0.5592071607454135,12.664950549602509,0.2033258099429076,0.000582767483133,2.118234395980835,0.0006310393827383,0.000623747125858,0.0006264581389102,0.0006310393827383,cvar,0.75,0.0090856224428417,3.536599802336286e-05,False,False,
conv.3:out:3,conv.3,1,3,128,64,3,229,15812.0,conv.5,head,linear_in,0.3039500980626122,13.479193955659866,10.025531834363935,1.993887559324503,2.1844165325164795,0.002809198594861,0.0027242692133124,0.00275781319021,0.002809198594861,cvar,0.75,0.0668060473738363,1.9222748422882127e-05,False,False,
conv.3:out:4,conv.3,1,4,128,64,3,229,15812.0,conv.5,head,linear_in,0.0308178345679394,13.714113213121893,2.429394540004432,0.095683636853937,1.9857728481292725,0.0012676975600217,0.0012068379119423,0.0012314286013437,0.0012676975600217,cvar,0.75,0.0347391446343949,1.9490155937224514e-06,False,True,6.0
conv.3:out:5,conv.3,1,5,128,64,3,229,15812.0,conv.5,head,linear_in,0.4367173892323623,14.30328257754445,0.5911666722314294,0.0071506255736114,2.369526624679565,0.0014851523166952,0.0014651073773417,0.0014767188943149,0.0014851523166952,cvar,0.75,0.0459625605931994,2.761936435823187e-05,False,False,
conv.3:out:6,conv.3,1,6,128,64,3,229,15812.0,conv.5,head,linear_in,0.2145846728195292,13.614233940839767,3.1325241051614285,0.185218952037394,1.8890833854675293,0.0011787254491171,0.0011486802344293,0.0011611256648659,0.0011787254491171,cvar,0.75,0.0336702478764135,1.3571001316691703e-05,False,False,
conv.3:out:7,conv.3,1,7,128,64,3,229,15812.0,conv.5,head,linear_in,0.4085286437246361,12.201598070561886,0.2358157900511287,0.0011637001515964,1.537355899810791,0.0002441529230591,0.0002382934191823,0.000241093872948,0.0002441529230591,cvar,0.75,0.0021377935159627,2.583662052394612e-05,False,False,
conv.3:out:8,conv.3,1,8,128,64,3,229,15812.0,conv.5,head,linear_in,0.8534030732681661,14.238877326250076,3.251563096791506,0.1414133686805144,2.5526838302612305,0.0020843003717781,0.0020525481157214,0.0020727323293782,0.0020843003717781,cvar,0.75,0.060392666825948,5.3971861451313314e-05,False,False,
conv.3:out:9,conv.3,1,9,128,64,3,229,15812.0,conv.5,head,linear_in,0.2339394858653407,15.433267533779144,2.9715651337057354,0.2660934943938627,2.385253667831421,0.0010408320768304,0.0010309536513297,0.001037485316248,0.0010408320768304,cvar,0.75,0.0283257640865066,1.4795059819462477e-05,False,False,
conv.3:out:10,conv.3,1,10,128,64,3,229,15812.0,conv.5,head,linear_in,0.058302741689066,13.828325904905796,0.9258247138466686,0.0116436961281579,1.9539237022399905,0.0010975303898751,0.00107640980291,0.0010888775057114,0.0010975303898751,cvar,0.75,0.03099800598146,3.68724650196471e-06,False,True,13.0
conv.3:out:11,conv.3,1,11,128,64,3,229,15812.0,conv.5,head,linear_in,0.2813838920219965,15.86472124606371,1.8349041833542288,0.0751760291801474,2.574246644973755,0.0013178412954479,0.0012808769160923,0.0013034340908908,0.0013178412954479,cvar,0.75,0.0395491800453111,1.7795591450923127e-05,False,False,
conv.3:out:12,conv.3,1,12,128,64,3,229,15812.0,conv.5,head,linear_in,0.2935937577666836,13.0611705891788,0.3270730651915073,0.0017744420018289,2.1937057971954346,0.0006388592046657,0.0006259599113913,0.0006336719473623,0.0006388592046657,cvar,0.75,0.0101545192008231,1.8567781290582066e-05,False,False,
conv.3:out:13,conv.3,1,13,128,64,3,229,15812.0,conv.5,head,linear_in,0.6619165147268951,13.0844354480505,0.9282742446288468,0.0152863619849085,2.184095621109009,0.0006727886148467,0.000665945406931,0.0006691824954077,0.0006727886148467,cvar,0.75,0.0117578643377952,4.18616566359028e-05,False,False,
conv.3:out:14,conv.3,1,14,128,64,3,229,15812.0,conv.5,head,linear_in,0.5570321523412783,14.13749365042895,1.535765856335638,0.0477513327805922,2.257902145385742,0.001506540622033,0.0014830895293516,0.0014946741847577,0.001506540622033,cvar,0.75,0.0481003541091621,3.522844373521872e-05,False,False,
conv.3:out:15,conv.3,1,15,128,64,3,229,15812.0,conv.5,head,linear_in,0.7838982091064135,13.642832197248936,0.7095735319890082,0.0076992457936285,1.993212938308716,0.0010630472001486,0.0010358886217021,0.0010471642571839,0.0010630472001486,cvar,0.75,0.0288602124654973,4.957615792476685e-05,False,False,
conv.3:out:16,conv.3,1,16,128,64,3,229,15812.0,conv.5,head,linear_in,0.6643135403273875,14.800110809504986,1.933509051427245,0.0439325240440666,1.8859127759933472,0.001723510006448,0.0016792393985464,0.0017027640948251,0.001723510006448,cvar,0.75,0.0550481830360411,4.2013251981241305e-05,False,False,
conv.3:out:17,conv.3,1,17,128,64,3,229,15812.0,conv.5,head,linear_in,0.4063868614400705,14.104219675064089,3.559472032263875,0.3234458130114944,2.062222480773926,0.0019000041586944,0.0018252936095247,0.0018535790094754,0.0019000041586944,cvar,0.75,0.0566515281730132,2.5701167558820548e-05,False,False,
